日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-02-23,=23520.1400,=29117.7100,=7031715874572.5801,=6258508284460,=3025683517189.2402,=2.3742,=0.8994,=2.1873,=1.8284,=1.4453
2022-02-22,=23541.6200,=29144.3000,=7017190424364.9004,=6228798278099,=3016519710175.1812,=2.3836,=0.9052,=2.1871,=1.8283,=1.4453
2022-02-21,=23991.1100,=29700.7600,=7190521578955.2803,=6391129916929,=3092138635463.5107,=2.4140,=0.9208,=2.1865,=1.8281,=1.4453
2022-02-18,=24010.2300,=29724.4300,=7221649423585.2383,=6425825364069,=3106932038791.5103,=2.3927,=0.9091,=2.1864,=1.8281,=1.4453
2022-02-17,=23868.6200,=29549.1200,=7171995993975.2617,=6377633710268,=3083438210625.9712,=2.3842,=0.9061,=2.1858,=1.8281,=1.4453
2022-02-16,=23886.2900,=29571,=7192321159433.0068,=6394700325191,=3089307031270.0615,=2.3790,=0.9025,=2.1858,=1.8280,=1.4446
2022-02-15,=23870.1700,=29551.0500,=7180352892911.1797,=6388269398216,=3087362501490.3003,=2.3782,=0.9025,=2.1851,=1.8279,=1.4446
2022-02-14,=23683.6200,=29320.0900,=7109607901074.7607,=6319898463806,=3059574574434.4009,=2.3834,=0.9060,=2.1841,=1.8278,=1.4446
2022-02-11,=23600.7200,=29217.4700,=7061254255342.8711,=6266547774265,=3041476430263.5508,=2.4137,=0.9207,=2.1839,=1.8277,=1.4446
2022-02-10,=23775.8100,=29434.2300,=7107426086780.1992,=6303727124077,=3066657827545.3501,=2.4655,=0.9393,=2.1833,=1.8275,=1.4446
2022-02-09,=23624.4100,=29246.8000,=7115834135775.1504,=6317789618434,=3067359001419.3706,=2.4127,=0.9203,=2.1833,=1.8273,=1.4440
2022-02-08,=22866.4400,=28308.4400,=6894176827765.3203,=6119068991287,=2971268586051.6396,=2.3599,=0.8971,=2.1800,=1.8273,=1.4440
2022-02-07,=23142.9600,=28650.7600,=6995042165374.0684,=6215676328299,=3012499489643.4204,=2.3753,=0.9026,=2.1788,=1.8272,=1.4440
2022-01-28,=23046.7200,=28531.6200,=7003093157109.0488,=6234066934423,=3014755610989.6694,=2.3688,=0.9006,=2.1768,=1.8271,=1.4440
2022-01-27,=23275.9900,=28815.4500,=7147099527918.9805,=6376998939408,=3074138082524.4990,=2.3483,=0.8908,=2.1758,=1.8270,=1.4440
2022-01-26,=23663.1300,=29294.7300,=7227782613297.4902,=6437465685318,=3104552557004.3599,=2.4084,=0.9189,=2.1758,=1.8270,=1.4439
2022-01-25,=23415.7600,=28988.4900,=7169828515870.5020,=6390927919529,=3081568505275.1099,=2.3900,=0.9090,=2.1741,=1.8270,=1.4439
2022-01-24,=23977.9800,=29684.5100,=7311177581076.3301,=6494239166689,=3137822499556.0605,=2.4726,=0.9421,=2.1740,=1.8269,=1.4439
2022-01-21,=24212.5900,=29974.9500,=7403083751938.0303,=6577532560954,=3176734621050.3804,=2.4888,=0.9483,=2.1720,=1.8269,=1.4439
2022-01-20,=24196.7700,=29955.3600,=7367005346479.4502,=6531557610541,=3164244638471.5801,=2.5301,=0.9597,=2.1718,=1.8268,=1.4439
2022-01-19,=23759.1700,=29413.6200,=7224226339241.6797,=6397530777884,=3097063768417.4312,=2.5059,=0.9528,=2.1718,=1.8267,=1.4438
2022-01-18,=23929,=29623.8700,=7241532687842.4199,=6407610267101,=3102981163345.3315,=2.5252,=0.9580,=2.1689,=1.8267,=1.4438
2022-01-17,=23704.0100,=29345.3400,=7154448121910.9785,=6329480521979,=3067094417920.8804,=2.5358,=0.9630,=2.1677,=1.8266,=1.4438
2022-01-14,=23584.6700,=29197.5900,=7141907097000.5615,=6312221323471,=3058378557913.0493,=2.5271,=0.9597,=2.1676,=1.8266,=1.4438
2022-01-13,=23816.0100,=29483.9900,=7211190800244.5801,=6366963496570,=3083856966102.6411,=2.5691,=0.9708,=2.1633,=1.8266,=1.4438
2022-01-12,=24538.8400,=30378.8500,=7458299389710.1094,=6595423259258,=3195563532697.6597,=2.6251,=0.9787,=2.1633,=1.8264,=1.4434
2022-01-11,=24347.2100,=30141.6100,=7378736125690.8896,=6526815684161,=3162568213703.1294,=2.6169,=0.9780,=2.1632,=1.8262,=1.4434
2022-01-10,=24856.6200,=30772.2600,=7506133868228.0801,=6629862286221,=3219308615341.4995,=2.6679,=0.9810,=2.1629,=1.8260,=1.4434
2022-01-07,=24653.1200,=30520.3200,=7461735153037.0596,=6594640643085,=3192271616748.7197,=2.6053,=0.9780,=2.1576,=1.8258,=1.4434
2022-01-06,=25014.5700,=30967.8000,=7573200454907.5781,=6699252901815,=3242422877547.3188,=2.6418,=0.9800,=2.1574,=1.8258,=1.4434
2022-01-05,=25431.6600,=31484.1500,=7699689117791.3604,=6811861224680,=3302115387588.9800,=2.6692,=0.9813,=2.1574,=1.8258,=1.4434
2022-01-04,=25447.4300,=31503.6800,=7721524462386.9199,=6844799098300,=3314946719897.4502,=2.6612,=0.9813,=2.1570,=1.8258,=1.4434
2021-12-31,=25216.0700,=31217.2600,=7675678319227.3701,=6819657522006,=3294865745725.6704,=2.5894,=0.9757,=2.1565,=1.8257,=1.4434
2021-12-30,=25245.7500,=31254,=7715543646789.2178,=6863296720568,=3311396799697.0200,=2.5619,=0.9724,=2.1551,=1.8255,=1.4434
2021-12-29,=25052.7300,=31015.0300,=7645016368021.2510,=6796487139409,=3279134342009.3311,=2.5571,=0.9707,=2.1550,=1.8253,=1.4434
2021-12-28,=25922.4300,=32091.7200,=7946236782423.0703,=7078048437834,=3409369283356.9092,=2.5956,=0.9766,=2.1550,=1.8253,=1.4431
