日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2010-05-20,=5183.3270,,=719087251837.0001,=570936428466,=329071446142.9075,=4.3966,=0.1070,=5.5576,=5.0613,=4.5160
2010-05-19,=5290.7220,,=729581128829.6000,=578021298542,=334646995233.0726,=4.5116,=0.1869,=5.5576,=5.0760,=4.5199
2010-05-18,=5272.4180,,=727258150707.0999,=576623345846,=333744285638.1068,=4.5011,=0.1737,=5.5576,=5.0784,=4.5221
2010-05-17,=5227.4830,,=721985368594.2001,=572211186559,=331086304647.8059,=4.4436,=0.1368,=5.5581,=5.0808,=4.5221
2010-05-14,=5498.7270,,=757856609928.8003,=601701815281,=348191576389.7199,=4.7058,=0.3460,=5.5581,=5.0833,=4.5333
2010-05-13,=5458.1340,,=752902818280.0999,=598929141264,=346090162637.4829,=4.6612,=0.3143,=5.5581,=5.0857,=4.5333
2010-05-12,=5327.5630,,=735772773558.3999,=585130473949,=337835319254.2063,=4.5532,=0.2249,=5.5581,=5.0864,=4.5333
2010-05-11,=5483.6560,,=754666184076.6001,=600727163865,=347045371877.9656,=4.7432,=0.3750,=5.5581,=5.0871,=4.5333
2010-05-10,=5640.4070,,=772583576279.2998,=615266527485,=356163897914.1435,=4.9117,=0.4155,=5.5622,=5.1079,=4.5221
2010-05-07,=5713.3120,,=777529144515.5000,=619178121384,=359252155383.7622,=5.0110,=0.4563,=5.5622,=5.1287,=4.5221
2010-05-06,=5714.4720,,=777673048030.4001,=614760358019,=359296381629.4097,=5.0044,=0.4537,=5.5622,=5.1317,=4.5221
2010-05-05,=5840.6420,,=796271945354.7999,=629651649883,=367850013435.1605,=5.0808,=0.4804,=5.5622,=5.1346,=4.5221
2010-05-04,=5667.0010,,=774485523929.8999,=611499046586,=357364789987.4374,=4.9016,=0.4187,=5.5622,=5.1356,=4.5221
2010-04-30,=5629.0790,,=769887878062.3002,=608858091986,=355435663898.2749,=4.8590,=0.4109,=5.5628,=5.1365,=4.5199
2010-04-29,=5760.1280,,=787877708774.5000,=623832139305,=367755491826.3694,=5.0262,=0.4627,=5.5628,=5.1457,=4.5199
2010-04-28,=5894.1030,,=801560761116.4999,=630367969773,=373685255196.8244,=5.2087,=0.5350,=5.5628,=5.1548,=4.5199
2010-04-27,=5919.1760,,=804302347886.4998,=634086706350,=370784355610.2401,=5.2611,=0.5578,=5.5628,=5.1457,=4.5199
2010-04-26,=6098.5200,,=827604163284.9999,=653421235571,=382013035172.0672,=5.5017,=0.7121,=5.5628,=5.1365,=4.5199
2010-04-23,=6174.7640,,=842200691664.6998,=666132648395,=388235612572.5082,=5.5731,=0.8173,=5.5677,=5.1356,=4.5160
2010-04-22,=6218.1070,,=849676052403.9000,=674041913114,=394465927052.3013,=5.6832,=0.9235,=5.5628,=5.1346,=4.5160
2010-04-21,=6163.6040,,=844198405761.9003,=669142476552,=391167869585.8300,=5.5912,=0.8615,=5.5622,=5.1317,=4.5160
2010-04-20,=6002.5360,,=820847654209.6000,=649858133039,=368913784905.0606,=5.5576,=0.7938,=5.5581,=5.1287,=4.5160
