日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-06-24,=25863.1000,=31870.5400,=7738263124449.1201,=7231498258068,=3411388676359.4380,=39.9440,=0.8372,=38.5392,=29.5557,=23.3457
2021-06-23,=25822.9900,=31815.3000,=7690235518471.5498,=7181966053102,=3392967320022.4536,=39.6961,=0.8316,=38.5275,=29.5518,=23.3457
2021-06-22,=26184.7600,=32260.8500,=7829223879237.2500,=7322431800478,=3447846569818.3574,=40.4135,=0.8453,=38.4494,=29.5465,=23.3457
2021-06-21,=26037.0300,=32078.8500,=7796761617332.9102,=7297031324745,=3436196909201.5908,=40.2460,=0.8422,=38.4438,=29.5411,=23.3457
2021-06-18,=26318.4300,=32424.4500,=7844261822525.2881,=7334604533781,=3457133877531.7969,=40.4912,=0.8459,=38.4438,=29.5398,=23.3322
2021-06-17,=26678.1500,=32866.9200,=7989705411546.8701,=7472899504067,=3520324279967.7817,=41.2419,=0.8596,=38.4336,=29.5386,=23.3322
2021-06-16,=26573.8400,=32737.5000,=7963658457091.8906,=7444275810213,=3510601637374.5933,=41.1075,=0.8571,=38.4258,=29.5353,=23.3322
2021-06-15,=26787.5400,=33000.7600,=8059166854544.6621,=7534245217257,=3551108543532.2852,=41.6005,=0.8647,=38.4178,=29.5320,=23.3322
2021-06-11,=26994.8100,=33254.6600,=8220866677279.9980,=7695404769685,=3628415728179.3730,=41.7641,=0.8663,=38.4174,=29.5291,=23.3322
2021-06-10,=27570.9800,=33897.8100,=8400163283987.8018,=7862645802171,=3706399580449.8936,=42.6750,=0.8780,=38.4174,=29.5262,=23.3176
2021-06-09,=27400.6000,=33688.3200,=8307801870053.5898,=7766994642721,=3669691801843.4912,=42.2058,=0.8735,=38.4163,=29.5233,=23.3176
2021-06-08,=27271.8400,=33511.4300,=8285000539381.1299,=7745644756615,=3656417739967.2842,=42.0900,=0.8714,=38.4156,=29.5204,=23.3176
2021-06-07,=28164.7500,=34606.8800,=8591294205463.3184,=8031080328756,=3782704974616.5078,=43.6460,=0.8924,=38.3562,=29.5114,=23.3176
2021-06-04,=28291.1200,=34762.1500,=8578194881646.7803,=8017825708497,=3788196990048.6318,=43.5795,=0.8903,=38.3538,=29.5024,=23.3176
2021-06-03,=28030.9400,=34442.4600,=8490554131651.0596,=7909771468396,=3750101690500.0449,=43.1342,=0.8847,=38.3538,=29.5009,=23.3019
2021-06-02,=28003.8400,=34373.2600,=8479320511423.8301,=7897173925423,=3744287385333.2778,=43.0772,=0.8836,=38.3375,=29.4995,=23.3019
2021-06-01,=28250.3100,=34675.2200,=8556804811164.4004,=7970529000070,=3778184315343.2202,=43.4708,=0.8888,=38.3326,=29.4978,=23.3019
2021-05-31,=28068.4600,=34444.1100,=8489627663831.6602,=7907897314876,=3750774967563.1089,=43.1295,=0.8849,=38.3044,=29.4962,=23.3019
2021-05-28,=28047.1200,=34417.9200,=8496357802824.1729,=7911664278783,=3756528221520.9258,=43.1637,=0.8852,=38.2739,=29.4927,=23.3019
2021-05-27,=28240.3900,=34653.1800,=8554133776210.2988,=7963860839459,=3782580849299.3970,=43.4572,=0.8887,=38.2739,=29.4892,=23.2849
