日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=4.1015,=0.3793,=9.1070,=4.4507,=3.5302
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=4.2406,=0.4155,=9.1070,=4.4517,=3.5302
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=4.2466,=0.4171,=9.1070,=4.4526,=3.5302
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=4.2346,=0.4140,=9.1200,=4.4534,=3.5280
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=4.2295,=0.4122,=9.1200,=4.4542,=3.5280
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=4.4672,=0.5073,=9.1200,=4.4547,=3.5280
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=4.4361,=0.4924,=9.1200,=4.4542,=3.5280
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=4.3307,=0.4456,=9.1200,=4.4547,=3.5280
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=4.4154,=0.4806,=9.1279,=4.4552,=3.5262
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=4.4471,=0.4962,=9.1279,=4.4559,=3.5262
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=4.5531,=0.5278,=9.1279,=4.4566,=3.5262
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=4.5451,=0.5268,=9.1279,=4.4559,=3.5262
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=4.6467,=0.5327,=9.1279,=4.4552,=3.5262
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=4.6147,=0.5303,=9.1294,=4.4547,=3.5261
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=4.4960,=0.5181,=9.1294,=4.4542,=3.5261
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=4.4306,=0.4913,=9.1294,=4.4534,=3.5261
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=4.4976,=0.5188,=9.1294,=4.4542,=3.5261
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=4.4205,=0.4871,=9.1294,=4.4534,=3.5261
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=4.4215,=0.4874,=9.1441,=4.4542,=3.5257
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=4.5405,=0.5248,=9.1441,=4.4547,=3.5257
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=4.4751,=0.5112,=9.1441,=4.4542,=3.5257
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=4.5207,=0.5220,=9.1441,=4.4534,=3.5257
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=4.4958,=0.5175,=9.1441,=4.4526,=3.5257
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=4.4570,=0.5032,=9.1527,=4.4517,=3.5228
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=3.8924,=0.3015,=9.1527,=4.4507,=3.5228
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=3.8150,=0.2765,=9.1527,=4.4517,=3.5228
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=3.8586,=0.2907,=9.1527,=4.4526,=3.5228
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=3.8674,=0.2923,=9.1527,=4.4534,=3.5228
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=3.7963,=0.2722,=9.1541,=4.4542,=3.5223
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=3.9547,=0.3209,=9.1541,=4.4547,=3.5223
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=4.0027,=0.3423,=9.1541,=4.4552,=3.5223
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=4.0342,=0.3629,=9.1541,=4.4559,=3.5223
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=4.0579,=0.3681,=9.1541,=4.4566,=3.5223
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=4.1245,=0.3874,=9.1545,=4.4577,=3.5223
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=4.1710,=0.3976,=9.1545,=4.4587,=3.5223
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=4.3368,=0.4481,=9.1545,=4.4600,=3.5223
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=4.3212,=0.4427,=9.1545,=4.4612,=3.5223
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=4.3765,=0.4621,=9.1545,=4.4614,=3.5223
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=4.4123,=0.4788,=9.1584,=4.4617,=3.5210
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=4.4314,=0.4876,=9.1584,=4.4618,=3.5210
2026-05-21,=1764.1700,=1818.8200,=6092268091753.1719,=5074609977030,=2947791803290.0024,=4.3419,=0.4496,=9.1584,=4.4620,=3.5210
2026-05-20,=1832.0200,=1888.5800,=6339632717685.6807,=5271320792213,=3060427926375.5845,=4.4740,=0.5046,=9.1584,=4.4633,=3.5210
2026-05-19,=1775.1300,=1829.9300,=6103603249135.4805,=5127590190018,=2962348991021.6440,=4.4750,=0.5050,=9.1584,=4.4620,=3.5210
2026-05-18,=1709.9600,=1762.7500,=5895007378337.3291,=4921601115439,=2854000788502.3936,=4.4120,=0.4790,=9.1700,=4.4618,=3.5207
2026-05-15,=1696.2600,=1748.6200,=5864970397101.4111,=4882509573468,=2831803697462.8003,=4.3968,=0.4723,=9.1700,=4.4620,=3.5207
2026-05-14,=1725.0900,=1778.3500,=5970981049421.7705,=4987701093593,=2880533253519.2085,=4.4709,=0.5039,=9.1700,=4.4633,=3.5207
2026-05-13,=1770.1500,=1824.7400,=6154793757569.3408,=5145651861154,=2957352468341.5605,=4.5484,=0.5171,=9.1700,=4.4620,=3.5207
2026-05-12,=1723.7800,=1776.9400,=6021771086040.9785,=5022023946891,=2878672320654.3428,=4.4552,=0.4968,=9.1700,=4.4618,=3.5207
2026-05-11,=1716.6900,=1769.6300,=5999012285864.7100,=4992549283827,=2865789926416.5005,=4.4873,=0.5071,=9.1742,=4.4620,=3.5206
2026-05-08,=1640.4600,=1691.0500,=5769449484746.6602,=4776757438293,=2734229573699.7852,=4.4158,=0.4825,=9.1742,=4.4618,=3.5206
2026-05-07,=1678.8900,=1730.4800,=5923482866287.1992,=4899256462636,=2802258061235.7598,=4.3994,=0.4743,=9.1742,=4.4620,=3.5206
2026-05-06,=1656.9500,=1707.8600,=5852482521752.1406,=4841534482925,=2766102110343.8608,=4.3837,=0.4668,=9.1742,=4.4633,=3.5206
2026-04-30,=1571.0700,=1619.3400,=5558542259325.9902,=4550643368921,=2616232529267.8789,=4.3269,=0.4499,=9.1742,=4.4646,=3.5206
2026-04-29,=1493.5000,=1539.4000,=5282973057187.9990,=4313292904532,=2474250187888.0693,=4.2793,=0.4359,=9.1771,=4.4652,=3.5201
2026-04-28,=1488.6600,=1534.4000,=5270235865935.9883,=4302220169730,=2463455183758.5098,=4.2308,=0.4191,=9.1771,=4.4658,=3.5201
2026-04-27,=1508.3800,=1554.7300,=5355202284178.8486,=4367945127408,=2476039124610.4600,=4.2741,=0.4323,=9.1771,=4.4660,=3.5201
2026-04-24,=1453.6900,=1498.3500,=5173387265130.5801,=4225530488318,=2383675719221.3599,=4.2180,=0.4161,=9.1771,=4.4662,=3.5201
2026-04-23,=1432.5900,=1476.6100,=5074026349051.2402,=4158820146906,=2345396563056.1899,=4.2580,=0.4235,=9.1771,=4.4673,=3.5201
2026-04-22,=1451.1400,=1495.7300,=5123906426222.5293,=4200544960356,=2366119444269.8501,=4.4194,=0.4813,=9.1820,=4.4685,=3.5167
2026-04-21,=1426.6800,=1470.5200,=5051364344322.6592,=4134063042892,=2324886437256.3003,=4.3951,=0.4709,=9.1820,=4.4696,=3.5167
2026-04-20,=1450.5200,=1495.0900,=5134655295268.2900,=4207932776032,=2363826654583.0303,=4.4354,=0.4856,=9.1820,=4.4707,=3.5167
2026-04-17,=1423.3500,=1467.0900,=5040762688269.5293,=4135946379590,=2320785349183.6396,=4.3879,=0.4694,=9.1820,=4.4742,=3.5167
2026-04-16,=1422.2300,=1465.9300,=5021064781481.3301,=4122222571932,=2319306748973.7388,=4.4106,=0.4769,=9.1820,=4.4777,=3.5167
2026-04-15,=1406.3200,=1449.5400,=4968197275598.9199,=4073023071383,=2291779460640.3604,=4.3564,=0.4571,=9.1891,=4.4789,=3.5164
2026-04-14,=1405.0700,=1448.2500,=4943538319083.8213,=4061340054365,=2288867802572.8403,=4.3611,=0.4596,=9.1891,=4.4801,=3.5164
2026-04-13,=1375.2900,=1417.5500,=4852046509759.7197,=3977718864018,=2239983636023.3398,=4.3375,=0.4527,=9.1891,=4.4802,=3.5164
2026-04-10,=1364.4900,=1406.4200,=4808788446825.8701,=3933141220919,=2220514758030.2104,=4.3277,=0.4509,=9.1891,=4.4803,=3.5164
2026-04-09,=1343.9500,=1385.2400,=4742783812466.8008,=3875243132294,=2184453589468.6504,=4.2759,=0.4353,=9.1891,=4.4803,=3.5164
2026-04-08,=1352.6900,=1394.2500,=4779203709370.9697,=3900473445056,=2197337512791.7100,=4.3706,=0.4602,=9.1907,=4.4803,=3.5152
2026-04-07,=1274.0100,=1313.1600,=4506261958094.2695,=3679797663994,=2070184619475.0496,=4.1390,=0.4004,=9.1907,=4.4844,=3.5152
2026-04-03,=1256.2100,=1294.8100,=4427611486989.6201,=3627997877380,=2039444979943.9304,=4.1528,=0.4043,=9.1907,=4.4885,=3.5152
2026-04-02,=1262.1800,=1300.9700,=4451249320747.7910,=3642972348032,=2048152159026.0601,=4.2397,=0.4235,=9.1907,=4.4889,=3.5152
2026-04-01,=1298.2000,=1338.0900,=4580507617119.3496,=3745747860963,=2107803520596.2190,=4.3588,=0.4557,=9.1907,=4.4892,=3.5152
2026-03-31,=1256.3300,=1294.9300,=4431333813583.9893,=3617998360237,=2038339318549.6003,=4.2858,=0.4401,=9.1931,=4.4913,=3.5150
2026-03-30,=1289.7800,=1329.4100,=4534324269964.3906,=3705210833802,=2079769706122.7209,=4.3873,=0.4651,=9.1931,=4.4934,=3.5150
2026-03-27,=1300.7600,=1340.7300,=4579780902493.0293,=3738200832693,=2094225818196.6704,=4.5091,=0.5033,=9.1931,=4.4952,=3.5150
2026-03-26,=1288.8100,=1328.4100,=4530806819127.3291,=3695303895456,=2075770398451.9199,=4.4457,=0.4847,=9.1931,=4.4934,=3.5150
2026-03-25,=1315.4100,=1355.8300,=4625431271788.5098,=3759714460672,=2118463891486.6699,=4.5752,=0.5069,=9.1931,=4.4952,=3.5150
2026-03-24,=1290.7900,=1330.4500,=4553176857007.2402,=3691469054523,=2077881657566.0801,=4.5271,=0.5044,=9.2112,=4.4934,=3.5150
2026-03-23,=1261.4400,=1300.2000,=4448549633247.7891,=3598082232128,=2030333966237.7605,=4.4587,=0.4894,=9.2112,=4.4913,=3.5150
2026-03-20,=1318.3100,=1358.8200,=4646396362249.2793,=3759098788702,=2122053138902.3701,=4.6144,=0.5073,=9.2112,=4.4934,=3.5150
2026-03-19,=1339.0300,=1380.1800,=4727101916454.5508,=3813505269348,=2140516848408.2903,=4.6272,=0.5084,=9.2112,=4.4913,=3.5150
2026-03-18,=1372.5800,=1414.7500,=4832539530372.2002,=3907072832863,=2193679094921.3796,=4.6943,=0.5095,=9.2112,=4.4892,=3.5150
2026-03-17,=1354.1500,=1395.7600,=4781543805899.0703,=3864392271551,=2164440428935.8401,=4.7088,=0.5099,=9.2115,=4.4889,=3.5124
2026-03-16,=1384.9900,=1427.5400,=4891573130805.1387,=3949816296177,=2211616683164.6499,=4.8181,=0.5124,=9.2115,=4.4885,=3.5124
2026-03-13,=1373.6400,=1415.8400,=4769400208537.2695,=3860339698329,=2122649392845.2104,=4.2132,=0.4220,=9.2115,=4.4844,=3.5124
2026-03-12,=1383.6500,=1426.1700,=4799699192072.3994,=3893792028028,=2138281269237.1101,=4.2230,=0.4238,=9.2115,=4.4885,=3.5124
2026-03-11,=1401.0800,=1444.1400,=4854167987477.3594,=3937429774583,=2163643552048.3501,=4.1819,=0.4131,=9.2115,=4.4889,=3.5124
2026-03-10,=1420.5400,=1464.1900,=4910582299224.8896,=3995047431202,=2196795112451.6997,=4.1523,=0.4090,=9.2174,=4.4892,=3.5123
2026-03-09,=1390.4800,=1433.2100,=4796964176910.1201,=3901184112854,=2149277814100.4399,=4.0606,=0.3835,=9.2174,=4.4913,=3.5123
2026-03-06,=1414.3900,=1457.8600,=4874844721291.7207,=3967387968985,=2187769172956.9199,=4.0822,=0.3919,=9.2174,=4.4934,=3.5123
2026-03-05,=1405.3500,=1448.5400,=4853157937083.1113,=3947848623113,=2178368245995.5400,=3.9989,=0.3554,=9.2174,=4.4952,=3.5123
2026-03-04,=1381.5600,=1424.0100,=4774814404887.0811,=3874937161467,=2139525186811.8301,=3.9758,=0.3446,=9.2174,=4.4971,=3.5123
2026-03-03,=1388.4100,=1431.0700,=4818343196328.2793,=3905585429403,=2152551888521.4500,=4.0313,=0.3744,=9.2204,=4.4979,=3.5116
2026-03-02,=1464.7700,=1509.7800,=5067923507461.3203,=4116617248634,=2271667151348.5405,=4.1530,=0.4071,=9.2204,=4.4987,=3.5116
2026-02-27,=1488.0200,=1533.7500,=5135855465398.1699,=4165304159787,=2305344565949.5908,=4.2623,=0.4295,=9.2204,=4.4999,=3.5116
2026-02-26,=1485.8600,=1531.5200,=5138564262704.1396,=4159952518047,=2301650967225.1099,=4.2776,=0.4343,=9.2204,=4.5011,=3.5116
2026-02-25,=1473.2800,=1518.5600,=5081987488958.0195,=4103659447297,=2276447678483.0010,=4.3244,=0.4472,=9.2204,=4.5043,=3.5116
2026-02-24,=1465.3700,=1510.3900,=5052837077620.5596,=4077626095054,=2264355982564.6499,=4.2870,=0.4393,=9.2264,=4.5076,=3.5074
2026-02-13,=1470.3300,=1515.5100,=5088155530519.8203,=4111789846928,=2275957635251.3398,=4.2627,=0.4308,=9.2264,=4.5130,=3.5074
2026-02-12,=1480.9900,=1526.5000,=5117248241962.6289,=4145444244760,=2291869880327.7305,=4.3602,=0.4533,=9.2264,=4.5184,=3.5074
2026-02-11,=1455.1100,=1499.8300,=5030926712444.6895,=4071917124621,=2251837173453.3301,=4.3434,=0.4500,=9.2264,=4.5254,=3.5074
2026-02-10,=1471.5000,=1516.7100,=5082597499353.1592,=4115179618710,=2279110907769.1602,=4.3637,=0.4540,=9.2264,=4.5324,=3.5074
2026-02-09,=1458.1600,=1502.9700,=5033334952863.8203,=4073834680040,=2256487354740.2988,=4.4068,=0.4670,=9.2270,=4.5338,=3.5068
2026-02-06,=1422.4100,=1466.1100,=4907902080624.0195,=3979797176291,=2198970925373.6399,=4.3657,=0.4547,=9.2270,=4.5352,=3.5068
2026-02-05,=1432.5200,=1476.5400,=4922660724633.1602,=3999579278552,=2214575529949.9702,=4.3428,=0.4506,=9.2270,=4.5400,=3.5068
2026-02-04,=1453.4800,=1498.1400,=5004696358909.3203,=4057072486298,=2246514726084.9502,=4.4125,=0.4680,=9.2270,=4.5448,=3.5068
2026-02-03,=1471.0700,=1516.2700,=5058636856897.0703,=4107276191621,=2278511366372.7095,=4.2724,=0.4356,=9.2270,=4.5722,=3.5068
2026-02-02,=1450.9000,=1495.4800,=5028461393339.6484,=4076845301619,=2256609885739.5405,=4.1141,=0.4031,=9.2373,=4.5995,=3.5034
2026-01-30,=1509.4000,=1555.7800,=5233180562621.7998,=4233154400409,=2345084068270.6997,=4.2070,=0.4191,=9.2373,=4.6102,=3.5034
2026-01-29,=1507.6400,=1553.9700,=5241255718198.9902,=4239199810460,=2337264026977.7808,=4.3460,=0.4500,=9.2373,=4.6210,=3.5034
2026-01-28,=1554.8000,=1602.5300,=5407343038347.3691,=4359905168290,=2413172986464.0103,=4.4065,=0.4645,=9.2373,=4.6277,=3.5034
2026-01-27,=1555.9800,=1603.7400,=5396761044928.3604,=4373769920497,=2413133526538.0098,=4.4617,=0.4821,=9.2373,=4.6345,=3.5034
2026-01-26,=1532.8000,=1579.8500,=5328017948159.6094,=4328811037169,=2380445167264.0801,=4.4380,=0.4757,=9.2447,=4.6821,=3.5014
2026-01-23,=1553.7100,=1601.4000,=5422205043151.9404,=4402548931292,=2414560492814.7397,=4.5352,=0.4963,=9.2447,=4.7297,=3.5014
2026-01-22,=1541.6400,=1588.9600,=5403503776741.7402,=4291465851126,=2401651092270.2700,=4.2604,=0.4322,=9.2447,=4.7457,=3.5014
2026-01-21,=1535.3900,=1582.5200,=5394489371909.4707,=4275194948772,=2392593192242.7705,=4.2118,=0.4220,=9.2447,=4.7618,=3.5014
2026-01-20,=1482.9900,=1528.5200,=5208720685076.0381,=4122872927454,=2306396274118.0103,=4.1973,=0.4186,=9.2447,=4.7620,=3.5014
2026-01-19,=1506.8600,=1553.1100,=5314091514972.2500,=4203228284657,=2347430831011.3101,=4.3253,=0.4482,=9.2522,=4.7622,=3.5009
2026-01-16,=1514.0700,=1560.5400,=5328026889794.8203,=4208228923032,=2355761566892.1997,=4.3141,=0.4463,=9.2522,=4.8039,=3.5009
2026-01-15,=1493.9500,=1539.8000,=5266041833670.2900,=4166603316487,=2326829961590.9497,=4.3021,=0.4429,=9.2522,=4.8455,=3.5009
2026-01-14,=1500.9100,=1546.9800,=5304336909748.7500,=4196059901038,=2336492758552.0200,=4.3229,=0.4470,=9.2522,=4.8499,=3.5009
2026-01-13,=1469.5700,=1514.6800,=5200169538465.8896,=4097571228196,=2285649737412.6499,=4.3142,=0.4465,=9.2522,=4.8543,=3.5009
2026-01-12,=1511.8400,=1558.2400,=5362961404578.7197,=4233669728131,=2356437454285.3389,=4.3996,=0.4604,=9.2582,=4.8725,=3.4984
2026-01-09,=1475.9700,=1521.2700,=5266011385499.2002,=4131619333352,=2304032635765.6499,=4.2810,=0.4389,=9.2582,=4.8908,=3.4984
2026-01-08,=1455.1700,=1499.8400,=5201328313498.6406,=4064282650007,=2272216178635.9995,=4.2606,=0.4340,=9.2582,=4.8924,=3.4984
2026-01-07,=1443.3900,=1487.6900,=5143889489324.5801,=4005366640087,=2248604092767.7002,=4.2016,=0.4215,=9.2582,=4.8940,=3.4984
2026-01-06,=1429.3000,=1473.1800,=5112943238435.8408,=3966648493916,=2226879673802.0698,=4.2034,=0.4218,=9.2582,=4.9110,=3.4984
2026-01-05,=1403.4100,=1446.4900,=5034827969830.7412,=3906135209301,=2188237795605.8604,=4.1045,=0.4070,=9.2631,=4.9280,=3.4984
2025-12-31,=1344.2000,=1385.4600,=4841677758938.4600,=3760130218349,=2092443760108.1096,=4.0081,=0.3679,=9.2631,=4.9287,=3.4984
2025-12-30,=1359.8700,=1401.6200,=4900947411295.3398,=3803758234469,=2119844775256.8999,=4.0402,=0.3886,=9.2631,=4.9295,=3.4984
2025-12-29,=1346.3200,=1387.6500,=4842602142837.7588,=3742956750294,=2094249404241.2800,=4.0672,=0.3942,=9.2631,=4.9295,=3.4984
2025-12-26,=1345.8300,=1387.1400,=4831371318796.4697,=3717697259529,=2089068616771.5403,=4.0932,=0.4021,=9.2631,=4.9295,=3.4984
2025-12-25,=1349.0600,=1390.4700,=4846221243179.7813,=3731774673226,=2095887543133.1597,=4.0739,=0.3971,=9.2790,=4.9297,=3.4931
2025-12-24,=1352.1300,=1393.6300,=4854652417646.2295,=3735786626322,=2100218467484.3401,=4.0463,=0.3906,=9.2790,=4.9300,=3.4931
2025-12-23,=1340.0200,=1381.1500,=4806661417800,=3708915589645,=2082340307291.3003,=3.9965,=0.3643,=9.2790,=4.9370,=3.4931
2025-12-22,=1335.2500,=1376.2300,=4785365583100.2100,=3661505080839,=2071081294836.7500,=4.0131,=0.3706,=9.2790,=4.9440,=3.4931
2025-12-19,=1308.5900,=1348.7600,=4669615549955.0391,=3587881010745,=2027341763394.4597,=4.0033,=0.3679,=9.2790,=4.9590,=3.4931
2025-12-18,=1305.9700,=1346.0500,=4660473449369.4805,=3587107994141,=2024367610040.7000,=3.9739,=0.3544,=9.2911,=4.9739,=3.4931
2025-12-17,=1325.3300,=1366.0200,=4728654084633.6416,=3647901011205,=2055146203106.5190,=4.0244,=0.3768,=9.2911,=4.9772,=3.4931
2025-12-16,=1293.3800,=1333.0800,=4609890569664.3516,=3551594976607,=2004050465241.7695,=3.9612,=0.3496,=9.2911,=4.9806,=3.4931
2025-12-15,=1318.9100,=1359.3900,=4704416204174.1494,=3625584386996,=2046206805449.7705,=4.0423,=0.3873,=9.2911,=4.9826,=3.4931
2025-12-12,=1348.8800,=1390.2900,=4758227049596.9482,=3663386579779,=2070660797746.3503,=3.9984,=0.3654,=9.2911,=4.9846,=3.4931
2025-12-11,=1325.8300,=1366.5300,=4679700318926.6387,=3609500702818,=2036288726454.6599,=3.8938,=0.3267,=9.3501,=4.9888,=3.4895
2025-12-10,=1346.7000,=1388.0400,=4758892226746.4717,=3669689042030,=2069509975515.6304,=3.9321,=0.3361,=9.3501,=4.9931,=3.4895
2025-12-09,=1347.1100,=1388.4600,=4758513205768.5313,=3671887429944,=2071233055715.7000,=3.9367,=0.3379,=9.3501,=4.9933,=3.4895
2025-12-08,=1350.8000,=1392.2600,=4766072138989.5488,=3672232084550,=2075886717486.6697,=3.9571,=0.3474,=9.3501,=4.9936,=3.4895
2025-12-05,=1326.1000,=1366.8100,=4673088661801.4287,=3599902755355,=2035335874340.1001,=3.9419,=0.3400,=9.3501,=4.9977,=3.4895
2025-12-04,=1326.1600,=1366.8700,=4677418216350.5215,=3602252455537,=2036559935585.6699,=3.9072,=0.3310,=9.3616,=5.0018,=3.4889
2025-12-03,=1308.3700,=1348.5300,=4607576259151.9404,=3552196185168,=2006319197720.7100,=3.9328,=0.3367,=9.3616,=5.0038,=3.4889
2025-12-02,=1320.1600,=1360.6600,=4650426506870.5195,=3582579172666,=2024090180457.6609,=3.9860,=0.3569,=9.3616,=5.0058,=3.4889
2025-12-01,=1336.7600,=1377.7600,=4710630924193.8398,=3631730560106,=2051223057055.0601,=3.9936,=0.3603,=9.3616,=5.0095,=3.4889
2025-11-28,=1327.1500,=1367.8600,=4678021451228.6709,=3597015189411,=2036365322054.9299,=3.9799,=0.3559,=9.3616,=5.0132,=3.4889
2025-11-27,=1310.7000,=1350.9100,=4625762450748.2998,=3555466094869,=2011501887112.3101,=3.9384,=0.3392,=9.3850,=5.0135,=3.4887
2025-11-26,=1315.0400,=1355.3800,=4636150051002.1504,=3564694902958,=2017398062719.2500,=3.9428,=0.3403,=9.3850,=5.0139,=3.4887
2025-11-25,=1302.1700,=1342.1100,=4586375486962.7607,=3520383108283,=1994786843459.5305,=3.9717,=0.3506,=9.3850,=5.0147,=3.4887
2025-11-24,=1296.6000,=1336.3800,=4563680687943.2090,=3509299897878,=1986725377644.4304,=3.9378,=0.3393,=9.3850,=5.0156,=3.4887
2025-11-21,=1285.8300,=1325.2800,=4532770441676.5293,=3476705871243,=1970936339837.2896,=3.9234,=0.3364,=9.3850,=5.0183,=3.4887
2025-11-20,=1328.1900,=1368.9300,=4682944567863.3408,=3591597439696,=2038367045741.5696,=4.0268,=0.3715,=9.3864,=5.0210,=3.4886
2025-11-19,=1344.8000,=1386.0500,=4723930645436.2500,=3633886433061,=2062621387236.4600,=4.1074,=0.3935,=9.3864,=5.0234,=3.4886
2025-11-18,=1357.9300,=1399.5800,=4769010005128.5078,=3663735388798,=2081969109789.4199,=4.1582,=0.4023,=9.3864,=5.0257,=3.4886
2025-11-17,=1354.0400,=1395.5800,=4752846879084.8496,=3648802536795,=2073816498123.7395,=4.1638,=0.4026,=9.3864,=5.0259,=3.4886
2025-11-14,=1361.2300,=1402.9900,=4780293557459.6797,=3671557250561,=2085491023541.7000,=4.2063,=0.4068,=9.3864,=5.0261,=3.4886
2025-11-13,=1399.2900,=1442.2200,=4915212474856.4492,=3773801068035,=2144003118854.8110,=4.2440,=0.4149,=9.4226,=5.0262,=3.4884
2025-11-12,=1379.4500,=1421.7700,=4840719037985.3604,=3728351999149,=2113674074606.4895,=4.1776,=0.4044,=9.4226,=5.0264,=3.4884
2025-11-11,=1387.5300,=1430.1000,=4849431255837.3594,=3740892943637,=2122198538843.3391,=4.2815,=0.4226,=9.4226,=5.0264,=3.4884
2025-11-10,=1407.5600,=1450.7400,=4925222549846.0703,=3804894374760,=2155589849842.8904,=4.2909,=0.4245,=9.4226,=5.0264,=3.4884
2025-11-07,=1415.6900,=1459.1200,=4967446052204.1104,=3836348992998,=2171141064035.4900,=4.2833,=0.4240,=9.4226,=5.0272,=3.4884
2025-11-06,=1436.8600,=1480.9400,=5047798125311.3398,=3898294176472,=2205375482202.9902,=4.3082,=0.4267,=9.4556,=5.0280,=3.4867
2025-11-05,=1390.3900,=1433.0500,=4871599332303.3291,=3755882067348,=2127610283190.5400,=4.2816,=0.4239,=9.4556,=5.0300,=3.4867
2025-11-04,=1387.2400,=1429.8000,=4857589060404.6895,=3751095883485,=2123413840410.3799,=4.1738,=0.4055,=9.4556,=5.0319,=3.4867
2025-11-03,=1400.8600,=1443.8300,=4904400778865.8291,=3785928381893,=2142773305020.1211,=4.2287,=0.4128,=9.4556,=5.0328,=3.4867
2025-10-31,=1415.5300,=1458.9500,=4963216373351.7900,=3825464859087,=2167163218684.2505,=4.1841,=0.4061,=9.4556,=5.0336,=3.4867
2025-10-30,=1461.3000,=1505.9500,=5100290547698.8896,=3939103721444,=2231778472863.5498,=4.2143,=0.4103,=9.4678,=5.0339,=3.4842
2025-10-29,=1489.1200,=1534.6300,=5203983759832.1807,=4014629700134,=2269468869309.1904,=4.2356,=0.4130,=9.4678,=5.0342,=3.4842
2025-10-28,=1471.7300,=1516.7000,=5153548334171.7305,=3971893325244,=2242854145481.6387,=4.0783,=0.3914,=9.4678,=5.0346,=3.4842
2025-10-27,=1484.2100,=1529.5000,=5203216856569.7012,=4004877225785,=2258476950415.8779,=4.1170,=0.3987,=9.4678,=5.0350,=3.4842
2025-10-24,=1462.2200,=1506.8500,=5138061165275.0703,=3948733631256,=2226123603458.1147,=4.0717,=0.3896,=9.4678,=5.0360,=3.4842
