日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2021-07-20,=1522.6300,=1534.4400,=2690074549104.7798,=998626643322,=710250136628.1299,=12.2465,=0.9502,=11.4122,=10.7572,=9.9979
2021-07-19,=1514.1800,=1525.9300,=2683012541293.2603,=969108002887,=706247498431.0598,=12.2100,=0.9500,=11.4002,=10.7554,=9.9979
2021-07-16,=1525.2300,=1537.0700,=2717225147133.5811,=955275790329,=711422774243.7999,=12.3096,=0.9582,=11.3998,=10.7537,=9.9979
2021-07-15,=1560.7000,=1572.7500,=2775343764969.6602,=931456909772,=727692753119.3898,=12.3799,=0.9748,=11.3735,=10.7520,=9.9979
2021-07-14,=1556.7200,=1567.6700,=2786346529895.8101,=901911449159,=725539137335.4698,=12.3450,=0.9705,=11.3735,=10.7475,=9.9847
2021-07-13,=1590.9800,=1602.1700,=2826974544036.9204,=921872466666,=741890742087.9202,=12.5893,=0.9915,=11.3582,=10.7431,=9.9847
2021-07-12,=1601.6100,=1612.7600,=2857029354824.9302,=926406705806,=746681277056.2599,=12.6347,=0.9957,=11.3490,=10.7428,=9.9847
2021-07-09,=1583.7100,=1594.7400,=2838462281390.3398,=918983535905,=738497382929.9799,=12.5690,=0.9957,=11.3340,=10.7425,=9.9847
2021-07-08,=1610.7700,=1621.9900,=2877428129668.0898,=936918474215,=751580414669.7401,=12.7275,=1,=11.3217,=10.7406,=9.9847
2021-07-07,=1570.0300,=1580.9600,=2827256911407.7012,=913436985091,=732195931661.1201,=12.5229,=1,=11.3217,=10.7387,=9.9812
2021-07-06,=1532.7900,=1543.4700,=2764825943025.5200,=890915308707,=715082215087.0399,=12.1699,=0.9740,=11.3092,=10.7376,=9.9812
2021-07-05,=1575.8900,=1586.8700,=2844596933335.1699,=914130773469,=734699113194.2400,=12.3793,=0.9957,=11.3058,=10.7365,=9.9812
2021-07-02,=1538.1600,=1548.8700,=2777647202407.4302,=895556968996,=717470365652.6000,=12.2038,=0.9825,=11.3021,=10.7325,=9.9812
2021-07-01,=1579.8000,=1590.8100,=2867994890534.5498,=920818010254,=737410846510.6200,=12.3964,=1,=11.2676,=10.7284,=9.9812
2021-06-30,=1588.2200,=1599.2800,=2889133208428.3799,=916416558998,=741109836962.8300,=12.3284,=1,=11.2676,=10.7272,=9.9313
2021-06-29,=1562.0800,=1572.9600,=2826313906790.4600,=902289182040,=729124760078.2200,=12.2078,=0.9956,=11.2625,=10.7261,=9.9313
2021-06-28,=1562.9800,=1573.6800,=2829507459775.3604,=902531764992,=729598285692.0898,=12.2691,=1,=11.2366,=10.7248,=9.9313
2021-06-25,=1534.8500,=1545.3600,=2790733471151.2803,=885920602256,=716723433510.3298,=11.9732,=0.9866,=11.2365,=10.7235,=9.9313
2021-06-24,=1504.8100,=1514.8400,=2728630494874.4902,=867444080970,=702515516876.2799,=11.7854,=0.9596,=11.2364,=10.7178,=9.9313
2021-06-23,=1534.3000,=1544.5200,=2774698885128.9307,=882516206843,=715842187737.4601,=11.8752,=0.9865,=11.2364,=10.7122,=9.9042
2021-06-22,=1523.3600,=1533.5100,=2728771229204.0400,=880372646267,=711983285688.6300,=11.7908,=0.9683,=11.2351,=10.7082,=9.9042
2021-06-21,=1528.1300,=1538.0900,=2739690560936.9097,=883283642369,=713961424439.0601,=11.8092,=0.9727,=11.2153,=10.7042,=9.9042
2021-06-18,=1494.7000,=1504.4400,=2690438978990.2104,=859034270878,=697734042718.5802,=11.3582,=0.8630,=11.1995,=10.7039,=9.9042
2021-06-17,=1473.5100,=1483.0700,=2663037186226.2803,=847724276292,=688122136626.1901,=11.1266,=0.7798,=11.1741,=10.7036,=9.9042
2021-06-16,=1406.4700,=1415.3800,=2540744595253.5400,=810333753601,=656905171731.3699,=10.7942,=0.5945,=11.1995,=10.7007,=9.8874
2021-06-15,=1448.2000,=1457.3800,=2598248613902.3999,=834478262227,=676980219292.9700,=11.0665,=0.7407,=11.1995,=10.6977,=9.8874
2021-06-11,=1436.2800,=1445.3800,=2285456972448.3398,=812136661826,=653511307054.5300,=9.5734,=0.1302,=11.1995,=10.6960,=9.8874
2021-06-10,=1450.4000,=1459.0600,=2300362726365.8901,=816138819120,=658372197701.7898,=9.6888,=0.1542,=11.1995,=10.6977,=9.9042
2021-06-09,=1427.3200,=1435.8000,=2264059097335.4502,=786477670749,=648926114462.1399,=9.3501,=0.0986,=11.1995,=10.7007,=9.9313
2021-06-08,=1419.0800,=1427.4800,=2246584846332.1904,=778370487602,=643674742204.5200,=9.3850,=0.0991,=11.2153,=10.7036,=9.9313
2021-06-07,=1433.5700,=1442.0400,=2265637551767.0703,=782992966284,=647863248445.8801,=9.4556,=0.0995,=11.2153,=10.7039,=9.9812
2021-06-04,=1431.5200,=1439.9700,=2258943598597.7002,=780903956874,=646240165893.7200,=9.4917,=0.1095,=11.2153,=10.7042,=9.9847
2021-06-03,=1414.5300,=1422.8100,=2246173286149.5303,=774681300176,=640257051466.9303,=9.4678,=0.1005,=11.2153,=10.7082,=9.9979
2021-06-02,=1426.8500,=1435.1900,=2269840183924.3105,=781838825855,=646089298708.7800,=9.5856,=0.1106,=11.2153,=10.7122,=10.0084
2021-06-01,=1460.5400,=1469.0800,=2332559364386.8398,=801086121149,=661597881325.6801,=9.7116,=0.1353,=11.2351,=10.7178,=10.0084
2021-05-31,=1442.6700,=1450.9600,=2298040158170.4497,=790641857859,=653613529351.8099,=9.5285,=0.1068,=11.2351,=10.7235,=10.0187
2021-05-28,=1386.0400,=1394,=2214219011597.5303,=757271288270,=626169229222.9700,=9.1907,=0.0829,=11.2351,=10.7248,=10.0303
2021-05-27,=1397.7700,=1405.7500,=2247894813257.4204,=767045499084,=632510949986.6200,=9.2582,=0.0882,=11.2351,=10.7261,=10.0425
2021-05-26,=1364.0400,=1371.7600,=2191687455814.7000,=749703910455,=618418996976.5399,=9.1545,=0.0788,=11.2351,=10.7272,=10.0441
2021-05-25,=1370.1200,=1377.8200,=2202520040898.2305,=754456758925,=622186604882.6799,=9.1527,=0.0743,=11.2364,=10.7284,=10.0441
2021-05-24,=1330.8700,=1338.3500,=2141583337270.8501,=731352727388,=603971089362.4998,=8.9724,=0.0697,=11.2364,=10.7325,=10.0474
2021-05-21,=1315.2100,=1322.6000,=2118021958153.4800,=723971134590,=597812717552.5100,=8.8882,=0.0400,=11.2364,=10.7365,=10.0778
2021-05-20,=1329.7900,=1337.2700,=2141692849260.0200,=730659015892,=603729001376.1299,=8.9405,=0.0553,=11.2364,=10.7376,=10.0879
2021-05-19,=1326.1400,=1333.3000,=2138446749259.4905,=727878269274,=601597458631.2400,=8.9372,=0.0455,=11.2364,=10.7387,=10.0882
2021-05-18,=1321.6400,=1328.7700,=2134633519208.6001,=725756010941,=599353978089.4600,=8.9441,=0.0508,=11.2365,=10.7406,=10.0882
2021-05-17,=1328.9200,=1336.0900,=2146290257591.3303,=730651533194,=602964860310.1902,=8.9081,=0.0408,=11.2365,=10.7425,=10.0948
2021-05-14,=1300.5400,=1307.5500,=2105973715999.2300,=713841569511,=589288014997.5300,=8.7882,=0.0308,=11.2365,=10.7428,=10.1042
2021-05-13,=1275.4800,=1282.3600,=2074589304832.8799,=699160293488,=573845147095.3700,=8.6198,=0.0103,=11.2365,=10.7431,=10.1127
2021-05-12,=1270.9100,=1277.7700,=2070760560081.1201,=698880814724,=573372939534.8000,=8.6317,=0.0104,=11.2365,=10.7475,=10.1228
2021-05-11,=1258.1100,=1264.9000,=2038699060282.9500,=690791727520,=567007203896.2300,=8.6145,=0.0052,=11.2366,=10.7520,=10.1228
2021-05-10,=1254.4900,=1261.2500,=2032359182991.9199,=688563785493,=565559285604.1801,=8.5984,=0,=11.2366,=10.7537,=10.1640
2021-05-07,=1263.9000,=1270.7100,=2043982415799.8401,=694944178079,=570313831415.2899,=8.6879,=0,=11.2366,=10.7554,=10.1657
2021-05-06,=1310.1300,=1317.1900,=2113770367003.2900,=722570852516,=592259011634.3600,=8.7868,=0,=11.2366,=10.7572,=10.1729
2021-04-30,=1322.2400,=1329.2800,=2139535284430.9504,=732262578682,=598751878061.4000,=8.7919,=0,=11.2366,=10.7591,=10.1744
2021-04-29,=1324.0500,=1331,=2130554430352.0701,=726244045118,=579400714195.8000,=8.9398,=0,=11.2625,=10.7636,=10.1744
2021-04-28,=1324.2400,=1331.1800,=2133759607507.3401,=725702867437,=572899797897.4700,=9.2631,=0.0054,=11.2625,=10.7681,=10.2071
2021-04-27,=1311.9100,=1318.8000,=2116251853455.1001,=717997680952,=562946106112.8201,=9.2447,=0,=11.2625,=10.7683,=10.2300
2021-04-26,=1314.9100,=1321.8100,=2114999263994.2300,=718272897613,=550038250429.8101,=9.4893,=0,=11.2625,=10.7684,=10.2377
2021-04-23,=1311.8300,=1318.6900,=2111875643248.7000,=716861984527,=538827869456.5399,=9.6349,=0,=11.2625,=10.7705,=10.2410
2021-04-22,=1305.1800,=1312.0100,=2105867882845.8401,=713540806299,=536201830214.1001,=9.6666,=0.0110,=11.2676,=10.7725,=10.2410
2021-04-21,=1286.8600,=1293.5900,=2075902903901.8804,=701832412348,=529807795207.3400,=9.6572,=0.0055,=11.2676,=10.7799,=10.2991
2021-04-20,=1290.5000,=1297.2500,=2084287142463.3401,=703605138173,=530516628298.9100,=9.8701,=0.0389,=11.2676,=10.7873,=10.3103
2021-04-19,=1299.0100,=1305.8000,=2098004467255.0601,=693144777017,=523168213814.4601,=9.9313,=0.0503,=11.2676,=10.7881,=10.3355
2021-04-16,=1274.7000,=1281.3000,=2057964969913.4800,=679547327859,=512665648059.9299,=9.7606,=0.0169,=11.2676,=10.7890,=10.3685
2021-04-15,=1264.1600,=1270.7000,=2050759916546.1499,=673286015499,=505665143143.4299,=9.7472,=0.0113,=11.3021,=10.7895,=10.3685
2021-04-14,=1254.7100,=1261.2100,=2041441759158.5095,=670068428083,=502097757033.7099,=9.7606,=0.0114,=11.3021,=10.7900,=10.3720
2021-04-13,=1241.4000,=1247.8300,=2022794399842.9700,=664117132847,=496772725971.8000,=9.6458,=0,=11.3021,=10.7914,=10.4195
2021-04-12,=1243.5000,=1249.9300,=2023476608320.2100,=665203476264,=497017452311.0098,=9.6904,=0,=11.3021,=10.7927,=10.4460
2021-04-09,=1271.4400,=1278.0300,=2068586854993.7900,=678970898642,=508801156022.5800,=9.8430,=0.0058,=11.3021,=10.7938,=10.4670
2021-04-08,=1291.8600,=1298.5500,=2097604438113.5901,=692836877475,=513314279956.7201,=10.0303,=0.0465,=11.3058,=10.7949,=10.4670
2021-04-07,=1298.7800,=1305.5100,=2113504280072.0801,=696954812312,=516398454393.2400,=10.0778,=0.0643,=11.3058,=10.7953,=10.4870
2021-04-06,=1296.6200,=1303.3300,=2115123665711.3201,=698771885385,=517376225426.0700,=10.0425,=0.0471,=11.3058,=10.7958,=10.5064
2021-04-02,=1299.9200,=1306.6500,=2122991520861.4600,=699263104554,=519317569056.8801,=9.9979,=0.0296,=11.3058,=10.8031,=10.5376
2021-04-01,=1266.7500,=1273.3000,=2063566956300.1201,=683319736615,=506837941872.8099,=9.8874,=0.0060,=11.3058,=10.8105,=10.5404
2021-03-31,=1248.3300,=1254.7400,=2031943276695.8601,=676432067421,=502397074895.5601,=9.8049,=0,=11.3092,=10.8108,=10.5404
2021-03-30,=1248.3400,=1254.7500,=2030837973266.9600,=675560331372,=495843807143.4700,=9.9847,=0.0120,=11.3092,=10.8111,=10.5420
2021-03-29,=1250.7700,=1257.1900,=2028388890217.5200,=676682127476,=496285721071.3001,=10.0187,=0.0182,=11.3092,=10.8159,=10.5498
2021-03-26,=1256.6600,=1263.1100,=2033468431735.8101,=679502269749,=498420785272.5900,=10.1744,=0.0854,=11.3092,=10.8206,=10.5810
2021-03-25,=1219.7100,=1225.9700,=1978545581149.6001,=658492464135,=477515018331.3602,=9.9812,=0.0061,=11.3092,=10.8215,=10.5879
2021-03-24,=1221.4500,=1227.7200,=1990220762582.2600,=657559553767,=477336829430.0200,=10.0084,=0.0062,=11.3217,=10.8223,=10.5879
2021-03-23,=1236.4700,=1242.8200,=2017553871393.3201,=662330197537,=448838311660.6701,=10.1042,=0.0373,=11.3217,=10.8302,=10.5916
2021-03-22,=1242.7600,=1249.1300,=2036188324021.8999,=666589150183,=445075849226.0100,=10.2071,=0.0688,=11.3217,=10.8381,=10.5921
2021-03-19,=1231.2900,=1237.6100,=2014890081583.1001,=659217052166,=437034711933.9101,=10.0441,=0.0063,=11.3217,=10.8435,=10.6021
2021-03-18,=1241.3100,=1247.6800,=2033288493089.1299,=665807476646,=441312195072.7400,=10.2377,=0.0696,=11.3217,=10.8490,=10.6031
2021-03-17,=1236.5400,=1242.8900,=2026132116334.1399,=661020075609,=439120038455.5101,=10.2300,=0.0637,=11.3340,=10.8511,=10.6031
2021-03-16,=1220.3700,=1226.6300,=1998973313044.9004,=650405543982,=432462730140.1101,=10.1657,=0.0513,=11.3340,=10.8532,=10.6152
2021-03-15,=1223.3900,=1229.6700,=2005609187831.6001,=650678131920,=434212934836.9400,=10.1127,=0.0323,=11.3340,=10.8679,=10.6179
2021-03-12,=1261.3200,=1267.8000,=1817538872639.1699,=654683096076,=429166979432.5000,=10.0879,=0.0130,=11.3340,=10.8827,=10.6217
2021-03-11,=1267.3000,=1273.8100,=1825009021838.9900,=656461163144,=431553755987.0200,=10.0948,=0.0196,=11.3340,=10.8876,=10.6264
2021-03-10,=1232.7300,=1239.0600,=1768612008751.6101,=641392722873,=419583833297.2100,=9.9042,=0,=11.3490,=10.8925,=10.6264
2021-03-09,=1230.1400,=1236.4500,=1756359567425.6602,=636125082074,=417678260047.5401,=10.1228,=0.0132,=11.3490,=10.8953,=10.6387
2021-03-08,=1275.4600,=1282,=1819673111952.4695,=657412946234,=432323718314.6101,=10.4670,=0.0800,=11.3490,=10.8981,=10.6391
2021-03-05,=1329.8400,=1336.6700,=1892536575827.3403,=685801584736,=450938827091.4800,=10.6797,=0.2483,=11.3490,=10.8993,=10.6425
