日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-10-20,=963.9500,=975.3000,=2436317872871.9902,=1124574907246,=789981751916.8730,=4.8198,=0.0129,=11.2335,=9.4454,=5.8452
2022-10-19,=949.5000,=960.6800,=2404961397076.1904,=1105730241195,=778813619119.0433,=4.7682,=0.0092,=11.2587,=9.4645,=5.8452
2022-10-18,=960,=971.3000,=2430427387928.2598,=1116735171452,=787135746358.1646,=4.8187,=0.0092,=11.2587,=9.4739,=5.8718
2022-10-17,=963.2200,=974.5600,=2433515682914.0898,=1119125787790,=789175410202.8882,=4.8248,=0.0093,=11.2587,=9.4833,=5.9088
2022-10-14,=954.9200,=966.1700,=2425571003654.7803,=1095296385029,=772925125807.2847,=4.8523,=0.0111,=11.2587,=9.5110,=5.9118
2022-10-13,=926.5200,=937.4300,=2340276811542.6001,=1056990062104,=750338578442.0802,=4.6817,=0.0056,=11.2587,=9.5388,=5.9583
2022-10-12,=924.9100,=935.8000,=2339016901512.7295,=1053472438774,=748002224119.6761,=4.6791,=0.0037,=11.2761,=9.5466,=5.9583
2022-10-11,=892.7400,=903.2500,=2264363804043.8296,=1018315990536,=722765981769.3461,=4.5298,=0,=11.2761,=9.5545,=5.9668
2022-10-10,=897.3400,=907.9000,=2279439639798.6201,=1024013201255,=726118094755.1685,=4.5600,=0,=11.2761,=9.5552,=6.0172
2022-09-30,=939.3800,=950.4400,=2377414577338.5903,=1077423712097,=759692186687.9023,=4.7560,=0,=11.2761,=9.5558,=6.0476
2022-09-29,=961.4700,=972.7900,=2430810505896.5303,=1075533766199,=777740118392.5562,=4.8628,=0.0038,=11.2761,=9.5584,=6.0689
2022-09-28,=956.1900,=967.4400,=2417561387062.8804,=1068442903075,=773522932031.9240,=4.8363,=0,=11.2803,=9.5609,=6.0689
2022-09-27,=976.4500,=987.9400,=2466103483907.5200,=1090457363402,=789681916963.2544,=4.9334,=0.0132,=11.2803,=9.5639,=6.0788
2022-09-26,=961.8300,=973.1500,=2425815826453.9702,=1072301700114,=777776677104.7416,=4.8528,=0,=11.2803,=9.5668,=6.0807
2022-09-23,=960.9400,=972.2500,=2433181754070.7100,=1064280244109,=776883787349.0295,=4.8675,=0,=11.2803,=9.5683,=6.1057
