日期,="华夏上证科创板50成份ETF相对起始点分红再投入收益率",="科创50相对起始点全收益率",="绝对收益率差值(基金相对值 / 指数相对值 - 1)"
2026-01-16,=0.1068,=0.1596,=-0.0455
2026-01-15,=0.0923,=0.1442,=-0.0453
2026-01-14,=0.0974,=0.1495,=-0.0454
2026-01-13,=0.0746,=0.1255,=-0.0452
2026-01-12,=0.1054,=0.1579,=-0.0453
2026-01-09,=0.0793,=0.1304,=-0.0452
2026-01-08,=0.0641,=0.1145,=-0.0452
2026-01-07,=0.0556,=0.1055,=-0.0451
2026-01-06,=0.0454,=0.0947,=-0.0451
2026-01-05,=0.0264,=0.0748,=-0.0451
2025-12-31,=-0.0170,=0.0295,=-0.0452
2025-12-30,=-0.0056,=0.0415,=-0.0452
2025-12-29,=-0.0155,=0.0311,=-0.0452
2025-12-26,=-0.0158,=0.0307,=-0.0452
2025-12-25,=-0.0135,=0.0332,=-0.0452
2025-12-24,=-0.0113,=0.0356,=-0.0452
2025-12-23,=-0.0200,=0.0263,=-0.0451
2025-12-22,=-0.0236,=0.0226,=-0.0452
2025-12-19,=-0.0431,=0.0022,=-0.0452
2025-12-18,=-0.0451,=0.0002,=-0.0453
2025-12-17,=-0.0310,=0.0150,=-0.0453
2025-12-16,=-0.0546,=-0.0094,=-0.0456
2025-12-15,=-0.0359,=0.0101,=-0.0456
2025-12-12,=-0.0144,=0.0331,=-0.0459
2025-12-11,=-0.0322,=0.0154,=-0.0469
2025-12-10,=-0.0171,=0.0314,=-0.0470
2025-12-09,=-0.0169,=0.0317,=-0.0472
2025-12-08,=-0.0142,=0.0345,=-0.0472
2025-12-05,=-0.0324,=0.0156,=-0.0473
2025-12-04,=-0.0326,=0.0157,=-0.0475
2025-12-03,=-0.0454,=0.0021,=-0.0474
2025-12-02,=-0.0368,=0.0111,=-0.0473
2025-12-01,=-0.0247,=0.0238,=-0.0474
2025-11-28,=-0.0318,=0.0164,=-0.0474
2025-11-27,=-0.0438,=0.0038,=-0.0474
2025-11-26,=-0.0406,=0.0071,=-0.0474
2025-11-25,=-0.0501,=-0.0027,=-0.0475
2025-11-24,=-0.0542,=-0.0070,=-0.0476
2025-11-21,=-0.0620,=-0.0152,=-0.0475
2025-11-20,=-0.0312,=0.0172,=-0.0476
2025-11-19,=-0.0192,=0.0299,=-0.0477
2025-11-18,=-0.0097,=0.0400,=-0.0477
2025-11-17,=-0.0124,=0.0370,=-0.0477
2025-11-14,=-0.0072,=0.0425,=-0.0477
2025-11-13,=0.0204,=0.0717,=-0.0478
2025-11-12,=0.0060,=0.0565,=-0.0477
2025-11-11,=0.0119,=0.0627,=-0.0478
2025-11-10,=0.0264,=0.0780,=-0.0479
2025-11-07,=0.0324,=0.0842,=-0.0478
2025-11-06,=0.0477,=0.1004,=-0.0479
2025-11-05,=0.0140,=0.0649,=-0.0478
2025-11-04,=0.0117,=0.0624,=-0.0477
2025-11-03,=0.0218,=0.0729,=-0.0476
2025-10-31,=0.0325,=0.0841,=-0.0476
2025-10-30,=0.0656,=0.1190,=-0.0477
2025-10-29,=0.0858,=0.1403,=-0.0478
2025-10-28,=0.0733,=0.1270,=-0.0477
2025-10-27,=0.0822,=0.1365,=-0.0478
2025-10-24,=0.0663,=0.1197,=-0.0477
2025-10-23,=0.0220,=0.0730,=-0.0475
2025-10-22,=0.0251,=0.0762,=-0.0475
2025-10-21,=0.0256,=0.0768,=-0.0475
2025-10-20,=-0.0024,=0.0473,=-0.0474
2025-10-17,=-0.0059,=0.0436,=-0.0475
2025-10-16,=0.0329,=0.0845,=-0.0476
2025-10-15,=0.0426,=0.0948,=-0.0476
2025-10-14,=0.0283,=0.0797,=-0.0476
2025-10-13,=0.0739,=0.1277,=-0.0477
2025-10-10,=0.0592,=0.1121,=-0.0476
2025-10-09,=0.1219,=0.1783,=-0.0479
2025-09-30,=0.0901,=0.1448,=-0.0477
2025-09-29,=0.0721,=0.1257,=-0.0476
2025-09-26,=0.0578,=0.1107,=-0.0477
2025-09-25,=0.0749,=0.1288,=-0.0477
2025-09-24,=0.0618,=0.1150,=-0.0477
2025-09-23,=0.0261,=0.0774,=-0.0476
2025-09-22,=0.0272,=0.0784,=-0.0474
2025-09-19,=-0.0061,=0.0432,=-0.0472
2025-09-18,=0.0069,=0.0567,=-0.0472
