日期,="华夏上证科创板50成份ETF相对起始点分红再投入收益率",="科创50相对起始点全收益率",="绝对收益率差值(基金相对值 / 指数相对值 - 1)"
2024-06-25,=-0.4777,=-0.4542,=-0.0431
2024-06-24,=-0.4624,=-0.4379,=-0.0435
2024-06-21,=-0.4479,=-0.4233,=-0.0427
2024-06-20,=-0.4502,=-0.4258,=-0.0425
2024-06-19,=-0.4532,=-0.4289,=-0.0425
2024-06-18,=-0.4489,=-0.4250,=-0.0415
2024-06-17,=-0.4488,=-0.4250,=-0.0414
2024-06-14,=-0.4508,=-0.4272,=-0.0412
2024-06-13,=-0.4468,=-0.4236,=-0.0401
2024-06-12,=-0.4495,=-0.4267,=-0.0398
2024-06-11,=-0.4488,=-0.4261,=-0.0395
2024-06-07,=-0.4620,=-0.4397,=-0.0398
2024-06-06,=-0.4591,=-0.4365,=-0.0401
2024-06-05,=-0.4532,=-0.4302,=-0.0404
2024-06-04,=-0.4523,=-0.4289,=-0.0408
2024-06-03,=-0.4547,=-0.4314,=-0.0410
2024-05-31,=-0.4598,=-0.4368,=-0.0407
2024-05-30,=-0.4602,=-0.4373,=-0.0406
2024-05-29,=-0.4666,=-0.4439,=-0.0409
2024-05-28,=-0.4662,=-0.4435,=-0.0408
2024-05-27,=-0.4634,=-0.4406,=-0.0408
2024-05-24,=-0.4717,=-0.4493,=-0.0407
2024-05-23,=-0.4607,=-0.4378,=-0.0408
2024-05-22,=-0.4514,=-0.4283,=-0.0405
2024-05-21,=-0.4561,=-0.4334,=-0.0401
2024-05-20,=-0.4521,=-0.4294,=-0.0399
2024-05-17,=-0.4516,=-0.4287,=-0.0400
2024-05-16,=-0.4574,=-0.4348,=-0.0400
2024-05-15,=-0.4552,=-0.4325,=-0.0400
2024-05-14,=-0.4473,=-0.4243,=-0.0400
2024-05-13,=-0.4450,=-0.4218,=-0.0401
2024-05-10,=-0.4423,=-0.4191,=-0.0399
2024-05-09,=-0.4337,=-0.4103,=-0.0398
2024-05-08,=-0.4463,=-0.4233,=-0.0399
2024-05-07,=-0.4404,=-0.4171,=-0.0399
2024-05-06,=-0.4348,=-0.4112,=-0.0402
2024-04-30,=-0.4423,=-0.4189,=-0.0403
2024-04-29,=-0.4360,=-0.4123,=-0.0403
2024-04-26,=-0.4532,=-0.4304,=-0.0399
2024-04-25,=-0.4668,=-0.4447,=-0.0397
2024-04-24,=-0.4628,=-0.4407,=-0.0395
2024-04-23,=-0.4707,=-0.4489,=-0.0395
2024-04-22,=-0.4678,=-0.4459,=-0.0395
2024-04-19,=-0.4686,=-0.4468,=-0.0394
2024-04-18,=-0.4577,=-0.4354,=-0.0396
2024-04-17,=-0.4543,=-0.4315,=-0.0402
2024-04-16,=-0.4673,=-0.4449,=-0.0404
2024-04-15,=-0.4544,=-0.4314,=-0.0404
2024-04-12,=-0.4630,=-0.4409,=-0.0396
2024-04-11,=-0.4625,=-0.4407,=-0.0389
2024-04-10,=-0.4641,=-0.4429,=-0.0379
2024-04-09,=-0.4540,=-0.4324,=-0.0380
2024-04-08,=-0.4607,=-0.4392,=-0.0383
2024-04-03,=-0.4487,=-0.4270,=-0.0379
2024-04-02,=-0.4400,=-0.4179,=-0.0379
2024-04-01,=-0.4351,=-0.4128,=-0.0380
2024-03-29,=-0.4445,=-0.4225,=-0.0381
2024-03-28,=-0.4443,=-0.4221,=-0.0384
2024-03-27,=-0.4519,=-0.4300,=-0.0384
2024-03-26,=-0.4378,=-0.4154,=-0.0383
2024-03-25,=-0.4310,=-0.4082,=-0.0386
2024-03-22,=-0.4216,=-0.3987,=-0.0382
2024-03-21,=-0.4125,=-0.3896,=-0.0375
2024-03-20,=-0.4065,=-0.3836,=-0.0371
2024-03-19,=-0.4085,=-0.3854,=-0.0377
2024-03-18,=-0.3991,=-0.3750,=-0.0384
2024-03-15,=-0.4116,=-0.3877,=-0.0391
2024-03-14,=-0.4145,=-0.3906,=-0.0392
2024-03-13,=-0.4070,=-0.3830,=-0.0390
2024-03-12,=-0.4052,=-0.3808,=-0.0394
2024-03-11,=-0.4043,=-0.3803,=-0.0388
2024-03-08,=-0.4155,=-0.3918,=-0.0389
2024-03-07,=-0.4218,=-0.3986,=-0.0386
2024-03-06,=-0.4091,=-0.3853,=-0.0387
2024-03-05,=-0.4052,=-0.3808,=-0.0393
2024-03-04,=-0.4045,=-0.3803,=-0.0391
2024-03-01,=-0.4063,=-0.3825,=-0.0384
2024-02-29,=-0.4120,=-0.3884,=-0.0385
2024-02-28,=-0.4382,=-0.4158,=-0.0384
2024-02-27,=-0.4195,=-0.3966,=-0.0379
2024-02-26,=-0.4402,=-0.4181,=-0.0379
2024-02-23,=-0.4431,=-0.4212,=-0.0379
2024-02-22,=-0.4446,=-0.4227,=-0.0379
2024-02-21,=-0.4500,=-0.4282,=-0.0381
2024-02-20,=-0.4507,=-0.4286,=-0.0388
2024-02-19,=-0.4447,=-0.4220,=-0.0392
2024-02-08,=-0.4529,=-0.4310,=-0.0385
2024-02-07,=-0.4595,=-0.4371,=-0.0397
2024-02-06,=-0.4750,=-0.4542,=-0.0380
2024-02-05,=-0.5075,=-0.4876,=-0.0389
2024-02-02,=-0.5088,=-0.4901,=-0.0366
2024-02-01,=-0.4964,=-0.4775,=-0.0361
2024-01-31,=-0.4997,=-0.4815,=-0.0352
2024-01-30,=-0.4902,=-0.4716,=-0.0352
2024-01-29,=-0.4701,=-0.4508,=-0.0351
2024-01-26,=-0.4550,=-0.4351,=-0.0353
2024-01-25,=-0.4411,=-0.4202,=-0.0362
2024-01-24,=-0.4531,=-0.4319,=-0.0373
2024-01-23,=-0.4541,=-0.4323,=-0.0384
2024-01-22,=-0.4600,=-0.4380,=-0.0391
2024-01-19,=-0.4424,=-0.4204,=-0.0379
2024-01-18,=-0.4398,=-0.4183,=-0.0370
2024-01-17,=-0.4479,=-0.4268,=-0.0368
2024-01-16,=-0.4328,=-0.4114,=-0.0364
2024-01-15,=-0.4357,=-0.4144,=-0.0363
2024-01-12,=-0.4321,=-0.4107,=-0.0364
2024-01-11,=-0.4235,=-0.4019,=-0.0361
2024-01-10,=-0.4326,=-0.4116,=-0.0357
2024-01-09,=-0.4285,=-0.4072,=-0.0359
2024-01-08,=-0.4268,=-0.4061,=-0.0349
2024-01-05,=-0.4100,=-0.3884,=-0.0353
2024-01-04,=-0.3982,=-0.3762,=-0.0353
2024-01-03,=-0.3936,=-0.3717,=-0.0349
2024-01-02,=-0.3861,=-0.3641,=-0.0345
2023-12-31,=-0.3770,,
2023-12-29,=-0.3769,=-0.3549,=-0.0341
2023-12-28,=-0.3786,=-0.3561,=-0.0349
2023-12-27,=-0.3937,=-0.3715,=-0.0353
2023-12-26,=-0.3970,=-0.3751,=-0.0349
2023-12-25,=-0.3877,=-0.3661,=-0.0342
2023-12-22,=-0.3831,=-0.3615,=-0.0339
2023-12-21,=-0.3800,=-0.3581,=-0.0342
2023-12-20,=-0.3882,=-0.3672,=-0.0332
2023-12-19,=-0.3808,=-0.3595,=-0.0332
2023-12-18,=-0.3846,=-0.3635,=-0.0332
2023-12-15,=-0.3791,=-0.3583,=-0.0324
2023-12-14,=-0.3736,=-0.3519,=-0.0334
2023-12-13,=-0.3702,=-0.3479,=-0.0343
2023-12-12,=-0.3637,=-0.3413,=-0.0340
2023-12-11,=-0.3585,=-0.3348,=-0.0356
2023-12-08,=-0.3659,=-0.3426,=-0.0354
2023-12-07,=-0.3807,=-0.3583,=-0.0349
2023-12-06,=-0.3795,=-0.3573,=-0.0346
2023-12-05,=-0.3824,=-0.3596,=-0.0356
2023-12-04,=-0.3713,=-0.3474,=-0.0366
2023-12-01,=-0.3678,=-0.3431,=-0.0376
2023-11-30,=-0.3695,=-0.3445,=-0.0380
2023-11-29,=-0.3716,=-0.3473,=-0.0373
2023-11-28,=-0.3655,=-0.3405,=-0.0379
2023-11-27,=-0.3683,=-0.3435,=-0.0378
2023-11-24,=-0.3710,=-0.3461,=-0.0381
2023-11-23,=-0.3620,=-0.3362,=-0.0388
2023-11-22,=-0.3672,=-0.3415,=-0.0390
2023-11-21,=-0.3566,=-0.3308,=-0.0385
2023-11-20,=-0.3510,=-0.3250,=-0.0385
2023-11-17,=-0.3529,=-0.3260,=-0.0399
2023-11-16,=-0.3556,=-0.3292,=-0.0394
2023-11-15,=-0.3447,=-0.3178,=-0.0395
2023-11-14,=-0.3434,=-0.3162,=-0.0397
2023-11-13,=-0.3487,=-0.3221,=-0.0393
2023-11-10,=-0.3532,=-0.3272,=-0.0386
2023-11-09,=-0.3495,=-0.3242,=-0.0375
2023-11-08,=-0.3450,=-0.3198,=-0.0371
2023-11-07,=-0.3503,=-0.3259,=-0.0362
2023-11-06,=-0.3507,=-0.3269,=-0.0354
2023-11-03,=-0.3621,=-0.3381,=-0.0363
2023-11-02,=-0.3736,=-0.3498,=-0.0366
2023-11-01,=-0.3664,=-0.3422,=-0.0368
2023-10-31,=-0.3634,=-0.3388,=-0.0371
2023-10-30,=-0.3603,=-0.3361,=-0.0365
2023-10-27,=-0.3716,=-0.3484,=-0.0357
2023-10-26,=-0.3811,=-0.3579,=-0.0361
2023-10-25,=-0.3820,=-0.3584,=-0.0369
2023-10-24,=-0.3807,=-0.3569,=-0.0371
2023-10-23,=-0.3870,=-0.3648,=-0.0350
2023-10-20,=-0.3720,=-0.3484,=-0.0363
2023-10-19,=-0.3670,=-0.3421,=-0.0377
2023-10-18,=-0.3674,=-0.3424,=-0.0380
2023-10-17,=-0.3587,=-0.3330,=-0.0385
2023-10-16,=-0.3638,=-0.3392,=-0.0372
2023-10-13,=-0.3508,=-0.3258,=-0.0371
2023-10-12,=-0.3452,=-0.3196,=-0.0377
2023-10-11,=-0.3489,=-0.3245,=-0.0361
2023-10-10,=-0.3579,=-0.3331,=-0.0371
2023-10-09,=-0.3541,=-0.3292,=-0.0370
2023-09-28,=-0.3531,=-0.3288,=-0.0362
2023-09-27,=-0.3579,=-0.3345,=-0.0352
2023-09-26,=-0.3615,=-0.3377,=-0.0360
2023-09-25,=-0.3622,=-0.3389,=-0.0354
2023-09-22,=-0.3566,=-0.3326,=-0.0361
2023-09-21,=-0.3729,=-0.3496,=-0.0358
2023-09-20,=-0.3693,=-0.3453,=-0.0366
2023-09-19,=-0.3639,=-0.3396,=-0.0369
2023-09-18,=-0.3593,=-0.3351,=-0.0365
2023-09-15,=-0.3537,=-0.3294,=-0.0362
2023-09-14,=-0.3581,=-0.3341,=-0.0360
2023-09-13,=-0.3520,=-0.3278,=-0.0360
2023-09-12,=-0.3432,=-0.3184,=-0.0364
2023-09-11,=-0.3395,=-0.3139,=-0.0372
2023-09-08,=-0.3440,=-0.3185,=-0.0374
2023-09-07,=-0.3447,=-0.3198,=-0.0367
2023-09-06,=-0.3200,=-0.2935,=-0.0375
2023-09-05,=-0.3227,=-0.2965,=-0.0373
2023-09-04,=-0.3146,=-0.2875,=-0.0380
2023-09-01,=-0.3205,=-0.2933,=-0.0385
2023-08-31,=-0.3150,=-0.2874,=-0.0387
2023-08-30,=-0.3168,=-0.2896,=-0.0383
2023-08-29,=-0.3336,=-0.3072,=-0.0381
2023-08-28,=-0.3597,=-0.3346,=-0.0377
2023-08-25,=-0.3666,=-0.3420,=-0.0373
2023-08-24,=-0.3561,=-0.3306,=-0.0381
2023-08-23,=-0.3603,=-0.3351,=-0.0378
2023-08-22,=-0.3449,=-0.3188,=-0.0383
2023-08-21,=-0.3511,=-0.3256,=-0.0379
2023-08-18,=-0.3422,=-0.3164,=-0.0377
2023-08-17,=-0.3378,=-0.3118,=-0.0378
2023-08-16,=-0.3439,=-0.3183,=-0.0376
2023-08-15,=-0.3328,=-0.3064,=-0.0380
2023-08-14,=-0.3235,=-0.2966,=-0.0383
2023-08-11,=-0.3177,=-0.2903,=-0.0385
2023-08-10,=-0.3034,=-0.2751,=-0.0390
2023-08-09,=-0.3045,=-0.2764,=-0.0388
2023-08-08,=-0.2987,=-0.2703,=-0.0390
2023-08-07,=-0.2965,=-0.2678,=-0.0391
2023-08-04,=-0.2914,=-0.2626,=-0.0390
2023-08-03,=-0.2953,=-0.2667,=-0.0390
2023-08-02,=-0.2967,=-0.2682,=-0.0390
2023-08-01,=-0.2959,=-0.2672,=-0.0391
2023-07-31,=-0.2963,=-0.2678,=-0.0389
2023-07-28,=-0.3010,=-0.2726,=-0.0391
2023-07-27,=-0.3084,=-0.2804,=-0.0389
2023-07-26,=-0.3017,=-0.2733,=-0.0390
2023-07-25,=-0.2997,=-0.2712,=-0.0390
2023-07-24,=-0.3096,=-0.2817,=-0.0389
2023-07-21,=-0.3059,=-0.2779,=-0.0387
2023-07-20,=-0.3018,=-0.2737,=-0.0387
2023-07-19,=-0.2922,=-0.2635,=-0.0389
2023-07-18,=-0.2886,=-0.2598,=-0.0389
2023-07-17,=-0.2852,=-0.2562,=-0.0389
2023-07-14,=-0.2802,=-0.2511,=-0.0388
2023-07-13,=-0.2772,=-0.2479,=-0.0390
2023-07-12,=-0.2852,=-0.2562,=-0.0389
2023-07-11,=-0.2733,=-0.2440,=-0.0388
2023-07-10,=-0.2788,=-0.2498,=-0.0386
2023-07-07,=-0.2802,=-0.2513,=-0.0386
2023-07-06,=-0.2728,=-0.2436,=-0.0387
2023-07-05,=-0.2702,=-0.2408,=-0.0386
2023-07-04,=-0.2631,=-0.2336,=-0.0385
2023-07-03,=-0.2681,=-0.2388,=-0.0384
2023-06-30,=-0.2703,=-0.2413,=-0.0382
2023-06-29,=-0.2729,=-0.2441,=-0.0382
2023-06-28,=-0.2679,=-0.2390,=-0.0380
2023-06-27,=-0.2656,=-0.2367,=-0.0380
2023-06-26,=-0.2668,=-0.2378,=-0.0380
2023-06-21,=-0.2599,=-0.2308,=-0.0378
2023-06-20,=-0.2345,=-0.2044,=-0.0378
2023-06-19,=-0.2345,=-0.2043,=-0.0379
2023-06-16,=-0.2366,=-0.2063,=-0.0382
2023-06-15,=-0.2510,=-0.2206,=-0.0390
2023-06-14,=-0.2502,=-0.2197,=-0.0391
2023-06-13,=-0.2473,=-0.2166,=-0.0392
2023-06-12,=-0.2570,=-0.2263,=-0.0396
2023-06-09,=-0.2517,=-0.2219,=-0.0383
2023-06-08,=-0.2700,=-0.2412,=-0.0380
2023-06-07,=-0.2618,=-0.2322,=-0.0386
2023-06-06,=-0.2592,=-0.2293,=-0.0388
2023-06-05,=-0.2387,=-0.2077,=-0.0391
2023-06-02,=-0.2374,=-0.2065,=-0.0390
2023-06-01,=-0.2373,=-0.2063,=-0.0390
2023-05-31,=-0.2370,=-0.2061,=-0.0390
2023-05-30,=-0.2444,=-0.2137,=-0.0391
2023-05-29,=-0.2559,=-0.2258,=-0.0389
2023-05-26,=-0.2485,=-0.2180,=-0.0389
2023-05-25,=-0.2605,=-0.2308,=-0.0386
2023-05-24,=-0.2677,=-0.2383,=-0.0386
2023-05-23,=-0.2646,=-0.2350,=-0.0387
2023-05-22,=-0.2532,=-0.2230,=-0.0389
2023-05-19,=-0.2474,=-0.2169,=-0.0390
2023-05-18,=-0.2515,=-0.2210,=-0.0391
2023-05-17,=-0.2552,=-0.2250,=-0.0389
2023-05-16,=-0.2579,=-0.2278,=-0.0390
2023-05-15,=-0.2580,=-0.2279,=-0.0390
2023-05-12,=-0.2666,=-0.2367,=-0.0392
2023-05-11,=-0.2580,=-0.2277,=-0.0392
2023-05-10,=-0.2582,=-0.2279,=-0.0392
2023-05-09,=-0.2520,=-0.2215,=-0.0392
2023-05-08,=-0.2355,=-0.2042,=-0.0393
2023-05-05,=-0.2413,=-0.2103,=-0.0393
2023-05-04,=-0.2304,=-0.1990,=-0.0393
2023-04-28,=-0.2134,=-0.1812,=-0.0394
2023-04-27,=-0.2277,=-0.1961,=-0.0392
2023-04-26,=-0.2270,=-0.1954,=-0.0393
2023-04-25,=-0.2222,=-0.1903,=-0.0394
2023-04-24,=-0.2082,=-0.1756,=-0.0395
2023-04-21,=-0.1936,=-0.1604,=-0.0396
2023-04-20,=-0.1590,=-0.1242,=-0.0398
2023-04-19,=-0.1813,=-0.1471,=-0.0401
2023-04-18,=-0.1847,=-0.1506,=-0.0401
2023-04-17,=-0.1773,=-0.1428,=-0.0402
2023-04-14,=-0.1801,=-0.1458,=-0.0402
2023-04-13,=-0.2061,=-0.1729,=-0.0401
2023-04-12,=-0.1848,=-0.1509,=-0.0399
2023-04-11,=-0.1904,=-0.1567,=-0.0401
2023-04-10,=-0.1851,=-0.1511,=-0.0401
2023-04-07,=-0.1620,=-0.1271,=-0.0399
2023-04-06,=-0.1721,=-0.1377,=-0.0399
2023-04-04,=-0.1850,=-0.1511,=-0.0399
2023-04-03,=-0.1870,=-0.1531,=-0.0401
2023-03-31,=-0.2193,=-0.1869,=-0.0398
2023-03-30,=-0.2306,=-0.1988,=-0.0397
2023-03-29,=-0.2331,=-0.2015,=-0.0397
2023-03-28,=-0.2499,=-0.2191,=-0.0394
2023-03-27,=-0.2365,=-0.2050,=-0.0396
2023-03-24,=-0.2340,=-0.2023,=-0.0398
2023-03-23,=-0.2354,=-0.2038,=-0.0397
2023-03-22,=-0.2531,=-0.2226,=-0.0392
2023-03-21,=-0.2559,=-0.2255,=-0.0393
2023-03-20,=-0.2595,=-0.2291,=-0.0394
2023-03-17,=-0.2662,=-0.2363,=-0.0391
2023-03-16,=-0.2827,=-0.2539,=-0.0386
2023-03-15,=-0.2718,=-0.2427,=-0.0385
2023-03-14,=-0.2682,=-0.2381,=-0.0395
2023-03-13,=-0.2781,=-0.2490,=-0.0388
2023-03-10,=-0.2813,=-0.2530,=-0.0379
2023-03-09,=-0.2768,=-0.2495,=-0.0364
2023-03-08,=-0.2785,=-0.2520,=-0.0354
2023-03-07,=-0.2818,=-0.2553,=-0.0357
2023-03-06,=-0.2694,=-0.2424,=-0.0356
2023-03-03,=-0.2760,=-0.2490,=-0.0359
2023-03-02,=-0.2834,=-0.2565,=-0.0362
2023-03-01,=-0.2792,=-0.2522,=-0.0361
2023-02-28,=-0.2822,=-0.2553,=-0.0361
2023-02-27,=-0.2852,=-0.2585,=-0.0360
2023-02-24,=-0.2822,=-0.2552,=-0.0362
2023-02-23,=-0.2809,=-0.2538,=-0.0363
2023-02-22,=-0.2831,=-0.2560,=-0.0364
2023-02-21,=-0.2788,=-0.2514,=-0.0366
2023-02-20,=-0.2765,=-0.2491,=-0.0366
2023-02-17,=-0.2856,=-0.2585,=-0.0367
2023-02-16,=-0.2720,=-0.2443,=-0.0367
2023-02-15,=-0.2584,=-0.2300,=-0.0368
2023-02-14,=-0.2593,=-0.2311,=-0.0367
2023-02-13,=-0.2584,=-0.2301,=-0.0367
2023-02-10,=-0.2580,=-0.2297,=-0.0367
2023-02-09,=-0.2491,=-0.2205,=-0.0367
2023-02-08,=-0.2680,=-0.2401,=-0.0367
2023-02-07,=-0.2612,=-0.2330,=-0.0367
2023-02-06,=-0.2581,=-0.2298,=-0.0367
2023-02-03,=-0.2513,=-0.2227,=-0.0368
2023-02-02,=-0.2529,=-0.2244,=-0.0367
2023-02-01,=-0.2568,=-0.2283,=-0.0368
2023-01-31,=-0.2655,=-0.2374,=-0.0369
2023-01-30,=-0.2531,=-0.2244,=-0.0369
2023-01-20,=-0.2549,=-0.2263,=-0.0370
2023-01-19,=-0.2588,=-0.2304,=-0.0369
2023-01-18,=-0.2710,=-0.2431,=-0.0368
2023-01-17,=-0.2732,=-0.2454,=-0.0368
2023-01-16,=-0.2813,=-0.2537,=-0.0369
2023-01-13,=-0.2945,=-0.2675,=-0.0368
2023-01-12,=-0.2946,=-0.2676,=-0.0369
2023-01-11,=-0.2947,=-0.2678,=-0.0369
2023-01-10,=-0.2830,=-0.2555,=-0.0370
2023-01-09,=-0.2842,=-0.2567,=-0.0370
2023-01-06,=-0.2824,=-0.2549,=-0.0369
2023-01-05,=-0.2879,=-0.2606,=-0.0369
2023-01-04,=-0.2959,=-0.2689,=-0.0369
2023-01-03,=-0.2904,=-0.2633,=-0.0369
2022-12-31,=-0.3050,,
2022-12-30,=-0.3050,=-0.2783,=-0.0369
2022-12-29,=-0.3032,=-0.2766,=-0.0368
2022-12-28,=-0.3068,=-0.2803,=-0.0368
2022-12-27,=-0.3025,=-0.2759,=-0.0368
2022-12-26,=-0.3113,=-0.2849,=-0.0368
2022-12-23,=-0.3336,=-0.3081,=-0.0369
2022-12-22,=-0.3260,=-0.3002,=-0.0369
2022-12-21,=-0.3188,=-0.2927,=-0.0369
2022-12-20,=-0.3101,=-0.2837,=-0.0368
2022-12-19,=-0.3075,=-0.2811,=-0.0366
2022-12-16,=-0.2913,=-0.2645,=-0.0365
2022-12-15,=-0.2834,=-0.2563,=-0.0364
2022-12-14,=-0.2872,=-0.2600,=-0.0367
2022-12-13,=-0.2837,=-0.2562,=-0.0369
2022-12-12,=-0.2724,=-0.2447,=-0.0366
2022-12-09,=-0.2740,=-0.2469,=-0.0359
2022-12-08,=-0.2754,=-0.2502,=-0.0336
2022-12-07,=-0.2732,=-0.2478,=-0.0337
2022-12-06,=-0.2710,=-0.2458,=-0.0334
2022-12-05,=-0.2712,=-0.2455,=-0.0341
2022-12-02,=-0.2684,=-0.2421,=-0.0347
2022-12-01,=-0.2679,=-0.2412,=-0.0353
2022-11-30,=-0.2745,=-0.2480,=-0.0352
2022-11-29,=-0.2727,=-0.2463,=-0.0350
2022-11-28,=-0.2792,=-0.2536,=-0.0343
2022-11-25,=-0.2740,=-0.2482,=-0.0344
2022-11-24,=-0.2631,=-0.2366,=-0.0346
2022-11-23,=-0.2620,=-0.2354,=-0.0348
2022-11-22,=-0.2616,=-0.2348,=-0.0351
2022-11-21,=-0.2511,=-0.2238,=-0.0352
2022-11-18,=-0.2516,=-0.2241,=-0.0354
2022-11-17,=-0.2447,=-0.2168,=-0.0355
2022-11-16,=-0.2485,=-0.2208,=-0.0356
2022-11-15,=-0.2373,=-0.2091,=-0.0357
2022-11-14,=-0.2582,=-0.2310,=-0.0354
2022-11-11,=-0.2578,=-0.2307,=-0.0352
2022-11-10,=-0.2580,=-0.2308,=-0.0353
2022-11-09,=-0.2475,=-0.2200,=-0.0353
2022-11-08,=-0.2373,=-0.2093,=-0.0354
2022-11-07,=-0.2304,=-0.2021,=-0.0356
2022-11-04,=-0.2221,=-0.1934,=-0.0356
2022-11-03,=-0.2399,=-0.2120,=-0.0354
2022-11-02,=-0.2479,=-0.2202,=-0.0355
2022-11-01,=-0.2571,=-0.2297,=-0.0355
2022-10-31,=-0.2674,=-0.2404,=-0.0355
2022-10-28,=-0.2793,=-0.2529,=-0.0354
2022-10-27,=-0.2713,=-0.2445,=-0.0354
2022-10-26,=-0.2724,=-0.2457,=-0.0354
2022-10-25,=-0.2955,=-0.2697,=-0.0353
2022-10-24,=-0.2968,=-0.2711,=-0.0352
2022-10-21,=-0.2979,=-0.2723,=-0.0352
2022-10-20,=-0.3007,=-0.2753,=-0.0351
2022-10-19,=-0.3111,=-0.2861,=-0.0350
2022-10-18,=-0.3035,=-0.2783,=-0.0350
2022-10-17,=-0.3012,=-0.2758,=-0.0350
2022-10-14,=-0.3072,=-0.2821,=-0.0350
2022-10-13,=-0.3277,=-0.3034,=-0.0348
2022-10-12,=-0.3288,=-0.3046,=-0.0348
2022-10-11,=-0.3520,=-0.3288,=-0.0345
2022-10-10,=-0.3486,=-0.3254,=-0.0345
2022-09-30,=-0.3183,=-0.2938,=-0.0347
2022-09-29,=-0.3023,=-0.2771,=-0.0348
2022-09-28,=-0.3061,=-0.2811,=-0.0348
2022-09-27,=-0.2914,=-0.2659,=-0.0348
2022-09-26,=-0.3019,=-0.2769,=-0.0346
2022-09-23,=-0.3025,=-0.2776,=-0.0346
2022-09-22,=-0.2915,=-0.2663,=-0.0344
2022-09-21,=-0.2953,=-0.2704,=-0.0341
2022-09-20,=-0.2847,=-0.2593,=-0.0343
2022-09-19,=-0.2913,=-0.2666,=-0.0338
2022-09-16,=-0.2745,=-0.2493,=-0.0336
2022-09-15,=-0.2731,=-0.2481,=-0.0332
2022-09-14,=-0.2506,=-0.2246,=-0.0335
2022-09-13,=-0.2506,=-0.2247,=-0.0334
2022-09-09,=-0.2486,=-0.2228,=-0.0332
2022-09-08,=-0.2420,=-0.2175,=-0.0312
2022-09-07,=-0.2358,=-0.2109,=-0.0316
2022-09-06,=-0.2455,=-0.2213,=-0.0311
2022-09-05,=-0.2547,=-0.2298,=-0.0322
2022-09-02,=-0.2513,=-0.2255,=-0.0333
2022-09-01,=-0.2543,=-0.2289,=-0.0329
2022-08-31,=-0.2515,=-0.2259,=-0.0331
2022-08-30,=-0.2365,=-0.2104,=-0.0331
2022-08-29,=-0.2333,=-0.2074,=-0.0328
2022-08-26,=-0.2397,=-0.2136,=-0.0331
2022-08-25,=-0.2325,=-0.2062,=-0.0332
2022-08-24,=-0.2230,=-0.1963,=-0.0332
2022-08-23,=-0.1952,=-0.1675,=-0.0333
2022-08-22,=-0.1952,=-0.1676,=-0.0332
2022-08-19,=-0.1945,=-0.1667,=-0.0333
2022-08-18,=-0.1668,=-0.1380,=-0.0334
2022-08-17,=-0.1772,=-0.1488,=-0.0333
2022-08-16,=-0.1736,=-0.1451,=-0.0334
2022-08-15,=-0.1690,=-0.1402,=-0.0335
2022-08-12,=-0.1672,=-0.1384,=-0.0335
2022-08-11,=-0.1478,=-0.1181,=-0.0337
2022-08-10,=-0.1602,=-0.1309,=-0.0337
2022-08-09,=-0.1557,=-0.1262,=-0.0337
2022-08-08,=-0.1627,=-0.1336,=-0.0336
2022-08-05,=-0.1592,=-0.1300,=-0.0336
2022-08-04,=-0.1929,=-0.1650,=-0.0334
2022-08-03,=-0.2006,=-0.1730,=-0.0334
2022-08-02,=-0.2044,=-0.1770,=-0.0332
2022-08-01,=-0.2006,=-0.1731,=-0.0332
2022-07-29,=-0.2088,=-0.1815,=-0.0333
2022-07-28,=-0.1944,=-0.1666,=-0.0333
2022-07-27,=-0.2041,=-0.1767,=-0.0333
2022-07-26,=-0.2121,=-0.1850,=-0.0333
2022-07-25,=-0.2200,=-0.1932,=-0.0333
2022-07-22,=-0.2117,=-0.1848,=-0.0330
2022-07-21,=-0.2076,=-0.1800,=-0.0336
2022-07-20,=-0.2162,=-0.1889,=-0.0336
2022-07-19,=-0.2290,=-0.2022,=-0.0336
2022-07-18,=-0.2240,=-0.1970,=-0.0336
2022-07-15,=-0.2219,=-0.1948,=-0.0336
2022-07-14,=-0.2186,=-0.1914,=-0.0336
2022-07-13,=-0.2359,=-0.2095,=-0.0335
2022-07-12,=-0.2384,=-0.2121,=-0.0334
2022-07-11,=-0.2154,=-0.1882,=-0.0336
2022-07-08,=-0.1988,=-0.1710,=-0.0336
2022-07-07,=-0.1933,=-0.1653,=-0.0336
2022-07-06,=-0.2006,=-0.1728,=-0.0336
2022-07-05,=-0.2084,=-0.1809,=-0.0336
2022-07-04,=-0.2053,=-0.1778,=-0.0335
2022-07-01,=-0.2095,=-0.1823,=-0.0333
2022-06-30,=-0.1975,=-0.1698,=-0.0334
2022-06-29,=-0.2083,=-0.1811,=-0.0332
2022-06-28,=-0.1891,=-0.1611,=-0.0334
2022-06-27,=-0.1992,=-0.1716,=-0.0334
2022-06-24,=-0.2006,=-0.1730,=-0.0334
2022-06-23,=-0.2149,=-0.1878,=-0.0334
2022-06-22,=-0.2282,=-0.2018,=-0.0331
2022-06-21,=-0.2141,=-0.1873,=-0.0330
2022-06-20,=-0.2053,=-0.1781,=-0.0331
2022-06-17,=-0.2077,=-0.1806,=-0.0331
2022-06-16,=-0.2174,=-0.1905,=-0.0332
2022-06-15,=-0.2295,=-0.2027,=-0.0336
2022-06-14,=-0.2245,=-0.1968,=-0.0344
2022-06-13,=-0.2114,=-0.1835,=-0.0342
2022-06-10,=-0.2008,=-0.1727,=-0.0339
