日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM平均值,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2022-12-13,=989.3100,=1000.9500,=2785257496399.3701,=1239522072779,=871330656088.7798,=59.4952,=0.1842,=91.7566,=80.4988,=60.1292
2022-12-12,=1004.6200,=1016.4500,=2828661689170.1699,=1256140236913,=884928039283.3098,=60.8391,=0.2138,=91.7566,=80.6215,=60.1805
2022-12-09,=1001.6900,=1013.4800,=2547440702385.8506,=1282745656939,=895583070055.0900,=56.3671,=0.1123,=91.7566,=80.6631,=60.1805
2022-12-08,=997.3100,=1009.0600,=2542547388836.1396,=1278004803361,=892906454689.7698,=56.3370,=0.1107,=91.7566,=80.7047,=60.3854
2022-12-07,=1000.4700,=1012.2500,=2544193722569.1802,=1279988304473,=894738332258.8701,=56.2961,=0.1092,=91.8464,=80.7317,=60.3854
2022-12-06,=1003.1400,=1014.9500,=2555734167931.5991,=1284154958137,=896559609064.6700,=56.4075,=0.1094,=91.8464,=80.7586,=60.6692
2022-12-05,=1003.6000,=1015.4100,=2556142096931.4800,=1282295578029,=895308298545.5502,=56.2367,=0.1078,=91.8464,=80.8054,=60.6945
2022-12-02,=1008.1400,=1020.0100,=2557842504736.8003,=1282629935505,=898305796698.9700,=56.6386,=0.1150,=91.8464,=80.8522,=60.6991
2022-12-01,=1009.3300,=1021.2100,=2552879264607.4199,=1288955763026,=899738042218.6600,=56.6237,=0.1117,=91.8464,=80.8624,=60.7296
2022-11-30,=1000.2600,=1012.0400,=2533928262764.1401,=1275633957403,=891911787936.9401,=55.9556,=0.1031,=91.9308,=80.8726,=60.7296
2022-11-29,=1002.4500,=1014.2500,=2547230799083.8188,=1277867570812,=893954638192.8497,=56.0406,=0.1033,=91.9308,=80.8733,=60.7718
2022-11-28,=992.8100,=1004.5000,=2515047171626.0898,=1263243490203,=885431075542.9598,=55.6288,=0.0965,=91.9308,=80.8740,=60.8353
2022-11-25,=999.9900,=1011.7600,=2531179330991.9902,=1271167374128,=890730318441.7500,=56.0410,=0.1019,=91.9308,=80.9112,=60.9054
2022-11-24,=1015.3600,=1027.3100,=2570507495296.1401,=1289792924729,=904485294068.8800,=57.2620,=0.1232,=91.9308,=80.9483,=61.0180
2022-11-23,=1017.0200,=1028.9900,=2574754231785.5298,=1292814811482,=905562004289.8904,=56.8762,=0.1129,=92.2525,=80.9530,=61.0180
2022-11-22,=1017.8200,=1029.8000,=2577551861562.0405,=1295518608806,=906263500812.8500,=56.6314,=0.1060,=92.2525,=80.9577,=61.6010
2022-11-21,=1032.4700,=1044.6300,=2616313404362.1812,=1312886644338,=918783499199.8600,=57.6137,=0.1274,=92.2525,=81.0544,=61.6373
2022-11-18,=1031.9900,=1044.1400,=2616146977153.5000,=1311971391158,=918592986569.6400,=57.7179,=0.1294,=92.2525,=81.1511,=61.6651
2022-11-17,=1041.6700,=1053.9400,=2638721843616.5493,=1255961970027,=928245217905.4301,=58.1225,=0.1385,=92.2525,=81.1540,=61.7132
2022-11-16,=1036.4900,=1048.6900,=2626077489192.8101,=1248244226475,=922281566916.2296,=58.0095,=0.1352,=92.3003,=81.1569,=61.7132
2022-11-15,=1052.0400,=1064.4300,=2665228772855.9990,=1268294598071,=937240720837.3199,=58.7311,=0.1462,=92.3003,=81.1626,=61.7301
2022-11-14,=1022.9100,=1034.9600,=2594329399248.8203,=1220511728532,=910007633386.7900,=56.9146,=0.1125,=92.3003,=81.1682,=61.8218
2022-11-11,=1023.2600,=1035.3100,=2591826873473.4600,=1218709335807,=910082363753.9200,=57.2981,=0.1199,=92.3003,=81.1698,=61.8840
2022-11-10,=1023.0600,=1035.1100,=2590730451906.2402,=1214519560622,=905478730320.2600,=57.0427,=0.1147,=92.3003,=81.1713,=61.9975
2022-11-09,=1037.5300,=1049.7400,=2626773206212.9199,=1231685097422,=918386587885.9800,=57.9528,=0.1293,=92.3409,=81.1740,=61.9975
2022-11-08,=1051.7100,=1064.0900,=2664115966204.5098,=1246724497836,=930389879389.1899,=58.9057,=0.1421,=92.3409,=81.1767,=62.0511
2022-11-07,=1061.3500,=1073.8500,=2686375174224.3789,=1257290392030,=938638167616.4098,=59.5632,=0.1495,=92.3409,=81.1860,=62.1099
2022-11-04,=1072.8700,=1085.5000,=2705929787082.4600,=1256854664212,=948231844794.6000,=59.9561,=0.1570,=92.3409,=81.1953,=62.1121
2022-11-03,=1048.0700,=1060.4100,=2647523678163.5200,=1231757218899,=927642060965.8199,=58.9269,=0.1429,=92.3409,=81.1965,=62.2532
2022-11-02,=1037.1800,=1049.3900,=2622002903609.2603,=1215566541526,=916478079748.8398,=57.8002,=0.1268,=92.3583,=81.1978,=62.2532
2022-11-01,=1024.5200,=1036.5800,=2584432515029.9189,=1200632252066,=904869892034.3000,=56.4991,=0.1071,=92.3583,=81.2413,=62.3807
2022-10-31,=1010.3300,=1022.2200,=2543724107228.9297,=1183977151599,=892559298733.2700,=55.6574,=0.1000,=92.3583,=81.2849,=62.5690
2022-10-28,=993.7200,=1005.4200,=2514453417968.8599,=1161092839090,=851249997269.1910,=52.7725,=0.0474,=92.3583,=81.2969,=62.7392
2022-10-27,=1004.9100,=1016.7400,=2539447962302.1611,=1173342024606,=835211284135.5704,=53.6748,=0.0602,=92.3583,=81.3089,=62.7964
2022-10-26,=1003.2500,=1015.0700,=2528330125328.7100,=1173518288089,=834533941228.6002,=55.5553,=0.0951,=92.3982,=81.3114,=62.7964
2022-10-25,=971.3300,=982.7700,=2445500146741.3408,=1137405466739,=805978123583.1172,=53.9337,=0.0659,=92.3982,=81.3139,=62.8641
2022-10-24,=969.4900,=980.9100,=2438587774097.8501,=1128311632327,=804655502814.4169,=54.4047,=0.0752,=92.3982,=81.3515,=62.8713
2022-10-21,=967.9800,=979.3800,=2448397658513.8101,=1127993918581,=794136269135.0923,=54.6789,=0.0809,=92.3982,=81.3891,=62.9066
2022-10-20,=963.9500,=975.3000,=2436317872871.9902,=1124574907246,=789981751916.8730,=54.2740,=0.0718,=92.3982,=81.3969,=62.9217
2022-10-19,=949.5000,=960.6800,=2404961397076.1904,=1105730241195,=778813619119.0433,=54.9415,=0.0793,=92.4382,=81.4048,=62.9217
2022-10-18,=960,=971.3000,=2430427387928.2598,=1116735171452,=787135746358.1646,=55.8270,=0.0869,=92.4382,=81.5325,=62.9562
2022-10-17,=963.2200,=974.5600,=2433515682914.0898,=1119125787790,=789175410202.8882,=55.4834,=0.0852,=92.4382,=81.6602,=62.9872
2022-10-14,=954.9200,=966.1700,=2425571003654.7803,=1095296385029,=772925125807.2847,=55.8349,=0.0853,=92.4382,=81.6762,=63.0785
2022-10-13,=926.5200,=937.4300,=2340276811542.6001,=1056990062104,=750338578442.0802,=53.9188,=0.0632,=92.4382,=81.6923,=63.0989
2022-10-12,=924.9100,=935.8000,=2339016901512.7295,=1053472438774,=748002224119.6761,=53.5964,=0.0596,=92.4807,=81.7446,=63.0989
2022-10-11,=892.7400,=903.2500,=2264363804043.8296,=1018315990536,=722765981769.3461,=52.4546,=0.0410,=92.4807,=81.7969,=63.3921
2022-10-10,=897.3400,=907.9000,=2279439639798.6201,=1024013201255,=726118094755.1685,=49.8313,=0.0168,=92.4807,=81.7977,=63.3925
2022-09-30,=939.3800,=950.4400,=2377414577338.5903,=1077423712097,=759692186687.9023,=52.4571,=0.0393,=92.4807,=81.7985,=63.3942
2022-09-29,=961.4700,=972.7900,=2430810505896.5303,=1075533766199,=777740118392.5562,=53.9327,=0.0563,=92.4807,=81.8010,=63.5222
2022-09-28,=956.1900,=967.4400,=2417561387062.8804,=1068442903075,=773522932031.9240,=56.6611,=0.0771,=92.4878,=81.8034,=63.5222
2022-09-27,=976.4500,=987.9400,=2466103483907.5200,=1090457363402,=789681916963.2544,=57.6731,=0.0923,=92.4878,=81.8444,=63.5470
2022-09-26,=961.8300,=973.1500,=2425815826453.9702,=1072301700114,=777776677104.7416,=53.3338,=0.0509,=92.4878,=81.8854,=63.6148
2022-09-23,=960.9400,=972.2500,=2433181754070.7100,=1064280244109,=776883787349.0295,=53.1439,=0.0491,=92.4878,=81.9065,=63.7753
2022-09-22,=975.8700,=987.3600,=2466938795972.3901,=1083674450681,=789109347672.9192,=54.0556,=0.0549,=92.4878,=81.9277,=63.8265
2022-09-21,=970.3900,=981.8200,=2455573852028.7305,=1078568172502,=784708757368.7764,=56.8636,=0.0740,=92.5496,=81.9712,=63.8265
2022-09-20,=985.1500,=996.7500,=2488228368644.7397,=1095363499196,=796534122199.1760,=54.6218,=0.0608,=92.5496,=82.0146,=63.9106
2022-09-19,=975.5500,=987.0300,=2458784186157.3809,=1087358125089,=789093295354.7089,=54.1852,=0.0552,=92.5496,=82.0433,=63.9172
2022-09-16,=998.5200,=1010.2700,=2514999590211.8701,=1112811868182,=807680109906.0010,=61.6651,=0.1393,=92.5496,=82.0720,=64.1024
2022-09-15,=1000.0800,=1011.8500,=2525025641495.1504,=1114700825067,=808577133729.7231,=61.7301,=0.1415,=92.5496,=82.0774,=64.2819
2022-09-14,=1031.3000,=1043.4500,=2597854281298.6001,=1147827555804,=833607167030.7646,=60.7718,=0.1284,=92.5636,=82.0829,=64.2819
2022-09-13,=1031.1700,=1043.3100,=2601392284159.5098,=1146821159343,=833651028394.3473,=60.6991,=0.1248,=92.5636,=82.2027,=64.4756
2022-09-09,=1033.7800,=1045.9500,=2502166594088.1001,=1143161652778,=829011627398.5555,=57.2584,=0.0750,=92.5636,=82.3226,=64.6878
2022-09-08,=1040.7700,=1053.0300,=2513496603701.2192,=1150311601087,=834720833658.0336,=57.3748,=0.0771,=92.5636,=82.3718,=64.8649
2022-09-07,=1049.5800,=1061.9400,=2538099344757.8701,=1159341219392,=841810584941.2349,=58.0513,=0.0811,=92.5636,=82.4211,=65.1881
2022-09-06,=1035.7800,=1047.9800,=2510436232182.2402,=1141263026495,=831021765071.7922,=57.0711,=0.0735,=92.6701,=82.4426,=65.1881
2022-09-05,=1024.3900,=1036.4500,=2474809702925.5698,=1130318084050,=821616605089.6046,=56.4223,=0.0678,=92.6701,=82.4641,=65.2220
2022-09-02,=1030.1200,=1042.2500,=2487497610237.2397,=1131192702562,=825225177378.8448,=56.7793,=0.0680,=92.6701,=82.4834,=65.3109
2022-09-01,=1025.6600,=1037.7300,=2479462794591.9404,=1125590361903,=822289248941.8237,=56.9895,=0.0681,=92.6701,=82.5026,=65.3976
2022-08-31,=1029.6600,=1041.7800,=2484667929085.0298,=1129139309083,=825470167214.0229,=57.4179,=0.0702,=92.6701,=82.5068,=65.4627
2022-08-30,=1050.2800,=1062.6500,=2536171831527.3604,=1149342090742,=839945047975.0762,=57.8833,=0.0703,=92.6725,=82.5110,=65.4627
2022-08-29,=1054.2800,=1066.7000,=2544921097883.1401,=1154010982435,=843192420344.0885,=58.9532,=0.0822,=92.6725,=82.5274,=65.4757
2022-08-26,=1045.9900,=1058.3100,=2514793515916.7603,=1144212427346,=835179026614.4409,=62.1121,=0.1314,=92.6725,=82.5437,=65.5055
2022-08-25,=1055.8900,=1068.3200,=2533113923781.9399,=1156732777754,=833847813942.2605,=59.6577,=0.0904,=92.6725,=82.5834,=65.5390
2022-08-24,=1068.9800,=1081.5700,=2565689918875.5996,=1169111735006,=844489603494.0752,=60.7296,=0.1063,=92.6725,=82.6230,=65.5935
2022-08-23,=1107.3000,=1120.3400,=2651909437699.6211,=1212414126817,=874895418534.9044,=63.0785,=0.1499,=92.6835,=82.6333,=65.5935
2022-08-22,=1107.2800,=1120.2500,=2653488207106.0405,=1215891329454,=873985402911.3715,=67.1099,=0.2174,=92.6835,=82.6435,=65.6918
2022-08-19,=1108.4500,=1121.4300,=2661081816057.1699,=1214025426289,=874025241315.8333,=67.7806,=0.2277,=92.6835,=82.6600,=65.6918
2022-08-18,=1146.6300,=1160.0600,=2745467296365.4502,=1256078221009,=904931959571.1855,=65.6918,=0.2004,=92.6835,=82.6766,=65.6918
2022-08-17,=1132.3100,=1145.5100,=2713467921743.5303,=1228607975970,=889778744000.2413,=68.0385,=0.2266,=92.6835,=82.7012,=65.7256
2022-08-16,=1137.3000,=1150.5600,=2720652559978.2197,=1234396713638,=892827837845.0703,=68.1435,=0.2311,=93.0689,=82.7259,=65.5935
2022-08-15,=1143.7500,=1157.0800,=2729177091602.6812,=1242300088240,=897344990653.6931,=68.5023,=0.2375,=93.0689,=82.7887,=65.5935
2022-08-12,=1146.1900,=1159.5600,=2728590639838.2100,=1240695935325,=894220157143.5688,=68.8204,=0.2400,=93.0689,=82.8515,=65.5935
2022-08-11,=1173.1400,=1186.8200,=2793744370652.7900,=1272226004662,=916010790209.6696,=71.0007,=0.2585,=93.0689,=82.8519,=65.5935
2022-08-10,=1156.1600,=1169.6400,=2747577447495.3701,=1242631647362,=901943712170.2428,=70.3626,=0.2530,=93.0689,=82.8524,=65.5935
2022-08-09,=1162.3200,=1175.8700,=2762739426468.4395,=1248784693500,=907027502385.2860,=70.6849,=0.2555,=93.1013,=82.8589,=65.5390
2022-08-08,=1152.5800,=1166.0200,=2731588288593.6201,=1240352253912,=900071381522.7145,=70.4999,=0.2540,=93.1013,=82.8655,=65.5390
2022-08-05,=1157.3300,=1170.8300,=2748224941942.1704,=1196451619654,=903099952473.3414,=68.2904,=0.2343,=93.1013,=82.9033,=65.5390
2022-08-04,=1110.9200,=1123.7100,=2636835311913.5396,=1148428511581,=867068358127.6445,=65.5935,=0.2024,=93.1013,=82.9412,=65.5390
2022-08-03,=1100.3500,=1113.0100,=2614395292176.1499,=1136628408702,=858984107146.4122,=65.5390,=0.2008,=93.1013,=82.9777,=65.5390
2022-08-02,=1094.9100,=1107.5200,=2598196332671.3198,=1130829509688,=854378270072.5283,=65.4627,=0.1951,=93.1106,=83.0142,=65.5055
2022-08-01,=1100.1800,=1112.8500,=2622565723407.0293,=1135867182260,=858944446974.1066,=65.4757,=0.1955,=93.1106,=83.0254,=65.7256
2022-07-29,=1088.9100,=1101.4500,=2601382972973.7603,=1123351723749,=849866835925.5997,=64.2819,=0.1796,=93.1106,=83.0366,=65.9206
2022-07-28,=1108.7900,=1121.5500,=2644461994981.0908,=1143722287736,=865779810324.9150,=65.3109,=0.1902,=93.1106,=83.1037,=65.9686
2022-07-27,=1095.7000,=1107.9700,=2615052661110.0903,=1129577941073,=855905432944.4158,=64.6878,=0.1824,=93.1106,=83.1707,=65.9947
2022-07-26,=1084.6600,=1096.8100,=2581579669416.0293,=1118613709654,=847329150262.8198,=63.3925,=0.1602,=93.1359,=83.1756,=65.9947
2022-07-25,=1073.7600,=1085.7900,=2557757197036.6802,=1106357649124,=839380567801.1854,=62.7964,=0.1420,=93.1359,=83.1804,=66.0544
2022-07-22,=1084.9700,=1097.1300,=2593713351365.5298,=1116021998821,=848550760846.0277,=63.5222,=0.1608,=93.1359,=83.2225,=66.3184
2022-07-21,=1091.4100,=1103.5400,=2610242545772.2695,=1007956274978,=854051522948.3180,=64.1024,=0.1736,=93.1359,=83.2645,=66.4898
2022-07-20,=1079.5300,=1091.5300,=2586081798446.2397,=997973608164,=844772705392.8816,=63.3942,=0.1594,=93.1359,=83.2873,=66.6653
2022-07-19,=1061.8500,=1073.5900,=2530953260652.3701,=981416872649,=831201570110.8739,=61.6373,=0.1203,=93.2096,=83.3102,=66.6653
2022-07-18,=1069.3300,=1080.6100,=2550419580765.7900,=988119698720,=836593143133.7125,=62.0511,=0.1289,=93.2096,=83.3132,=67.1733
2022-07-15,=1072.2600,=1083.5700,=2552955112349.1201,=987570634992,=839388530172.2125,=62.5690,=0.1354,=93.2096,=83.3162,=67.2830
2022-07-14,=1076.8100,=1088.1600,=2569428228659.4702,=992086295760,=842692715125.4254,=62.8713,=0.1399,=93.2096,=83.3184,=67.4701
2022-07-13,=1052.7900,=1063.8900,=2521736740593.8604,=970025463862,=823948360032.2761,=61.0180,=0.1172,=93.2096,=83.3205,=67.5639
2022-07-12,=1049.2400,=1060.3100,=2516302033991.2500,=965765569537,=821029383045.5641,=60.6692,=0.1090,=93.3025,=83.3819,=67.5639
2022-07-11,=1081.1600,=1092.5600,=2586685924597.1499,=992597636814,=846534377249.1475,=62.9872,=0.1429,=93.3025,=83.4433,=67.7044
2022-07-08,=1104.0200,=1115.6600,=2638856847960.8901,=1012603752409,=864612658198.0779,=63.9172,=0.1579,=93.3025,=83.5018,=68.0838
2022-07-07,=1111.6700,=1123.3100,=2650752949136.2495,=1019869186161,=870965035668.2828,=64.8649,=0.1603,=93.3025,=83.5603,=68.0973
2022-07-06,=1101.7500,=1113.2800,=2636678868194.1401,=1010539172475,=862990793863.8739,=63.8265,=0.1543,=93.3025,=83.5732,=68.3411
2022-07-05,=1090.9300,=1102.3500,=2630259050994.9199,=1002499426332,=855834738008.8295,=63.3921,=0.1462,=93.3266,=83.5862,=68.3411
2022-07-04,=1095.0900,=1106.5400,=2640905031034.7002,=1007878253951,=859326179555.2888,=63.7753,=0.1507,=93.3266,=83.6592,=68.4668
2022-07-01,=1089.0300,=1100.4100,=2620611563214.6597,=1002506132422,=854365479394.5780,=62.8641,=0.1362,=93.3266,=83.7321,=68.6507
2022-06-30,=1105.6700,=1117.2300,=2657588328281.4800,=1017419653705,=866923827673.3500,=63.6148,=0.1471,=93.3266,=83.7937,=69.1573
