日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM平均值,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=111.9875,=0.9821,=83.8552,=62.0510,=54.1852
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=120.3886,=0.9869,=83.7321,=62.0504,=54.1852
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=124.5397,=0.9890,=83.5862,=62.0498,=54.1852
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=128.7187,=0.9917,=83.5862,=62.0414,=54.0556
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=127.6167,=0.9910,=83.5603,=62.0331,=54.0556
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=132.4165,=0.9979,=83.4433,=62.0153,=54.0556
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=140.0550,=1,=83.3205,=61.9975,=54.0556
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=130.3560,=0.9951,=83.3162,=61.9925,=54.0556
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=130.7253,=0.9958,=83.3162,=61.9874,=53.9623
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=129.7956,=0.9958,=83.3102,=61.9698,=53.9623
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=130.8962,=0.9972,=83.2645,=61.9522,=53.9623
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=131.2272,=0.9979,=83.2566,=61.9181,=53.9623
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=139.2866,=0.9993,=83.1804,=61.8840,=53.9623
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=139.3938,=1,=83.1804,=61.8713,=53.9340
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=131.8500,=1,=83.1707,=61.8585,=53.9340
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=127.6303,=0.9986,=83.0398,=61.8402,=53.9340
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=130.7643,=1,=83.0366,=61.8218,=53.9340
2026-06-24,=1989.4300,=2052.2700,=8201145991288.2998,=5948946602446,=3545480526498.8828,=128.7565,=1,=83.0142,=61.8006,=53.9340
2026-06-23,=1916.2100,=1976.7500,=7896420091228.4463,=5743957270361,=3414231096208.1812,=124.4741,=0.9993,=83.0142,=61.7793,=53.9337
2026-06-22,=1948.9300,=2010.4200,=7902005895276.8594,=5835130943447,=3480600352165.6396,=125.7809,=1,=82.9456,=61.7781,=53.9337
2026-06-18,=1911.5100,=1971.8300,=7807399390545.9307,=5769305135176,=3420985150739.2124,=123.2368,=1,=82.9412,=61.7769,=53.9337
2026-06-17,=1840.8200,=1898.9100,=7462724105579.4199,=5522413616600,=3279971786430.8965,=119.2966,=1,=82.8655,=61.7549,=53.9337
2026-06-16,=1758.4200,=1813.9100,=7171262175670.4111,=5296504529725,=3136523942118.7451,=115.1472,=0.9979,=82.8524,=61.7329,=53.9337
2026-06-15,=1748.3300,=1803.4500,=7156404206399.4189,=5292464931140,=3123898096817.2212,=114.1745,=0.9979,=82.8524,=61.7315,=53.9327
2026-06-12,=1663.2200,=1715.6600,=5814874523530.6270,=4860137774949,=2778299966901.3330,=92.9661,=0.9194,=82.8515,=61.7301,=53.9327
2026-06-11,=1662.4400,=1714.8500,=5819550753371.2891,=4845761064664,=2777982495046.8003,=91.7665,=0.9039,=82.7259,=61.7242,=53.9327
2026-06-10,=1652.2200,=1704.3100,=5772333195552.3623,=4808660169406,=2757949924486.8628,=91.1205,=0.8933,=82.6766,=61.7183,=53.9327
2026-06-09,=1663.1100,=1715.4800,=5804079809074.8184,=4826166317268,=2773242116821.2212,=92.2317,=0.9079,=82.6436,=61.7157,=53.9327
2026-06-08,=1596.5700,=1646.8400,=5576431952393.6904,=4616596595096,=2661080926272.7539,=89.1293,=0.8748,=82.6436,=61.7132,=53.9188
2026-06-05,=1668.3300,=1720.7400,=5823110824687.7705,=4819237862148,=2781735101099.2231,=92.1387,=0.9071,=82.6435,=61.6891,=53.9188
2026-06-04,=1738.0600,=1792.5700,=6074179475301.4893,=5016549219514,=2902514940247.6978,=94.1355,=0.9373,=82.6230,=61.6651,=53.9188
2026-06-03,=1726.1800,=1780.2800,=6037167213785.6504,=4987209534900,=2882242761844.4805,=94.2374,=0.9387,=82.5437,=61.6536,=53.9188
2026-06-02,=1690.5600,=1743.5400,=5917715601795.6406,=4882203925662,=2820327271912.0615,=92.8603,=0.9196,=82.5284,=61.6421,=53.9188
2026-06-01,=1663.6900,=1715.8400,=5827548630788.1504,=4792736441184,=2773166772542.9004,=91.5810,=0.9054,=82.5284,=61.6397,=53.8921
2026-05-29,=1751.3200,=1806.1100,=6138443981639.8496,=5046018418862,=2924587583121.8105,=94.8774,=0.9470,=82.5110,=61.6373,=53.8921
2026-05-28,=1844.2500,=1901.7800,=6491291311938.1797,=5300228062880,=3080012134352.6245,=99.4203,=0.9746,=82.5026,=61.6303,=53.8921
2026-05-27,=1815.4500,=1872.0800,=6366175245764.2803,=5226940240662,=3035135062887.1587,=97.7967,=0.9639,=82.4641,=61.6234,=53.8921
2026-05-26,=1867.7100,=1925.9700,=6551261902723.9316,=5394258553732,=3126023568186.7129,=100.3675,=0.9823,=82.4211,=61.6122,=53.8921
2026-05-25,=1896.0400,=1955.1800,=6637976591169.9883,=5431740877114,=3172964873089.5142,=101.0819,=0.9844,=82.4211,=61.6010,=53.8401
2026-05-22,=1790.7700,=1846.6300,=6195453699357.6611,=5143681805829,=2993576411055.2397,=95.6061,=0.9554,=82.3952,=61.5947,=53.8401
2026-05-21,=1764.1700,=1818.8200,=6092268091753.1719,=5074609977030,=2947791803290.0024,=94.4130,=0.9475,=82.3358,=61.5884,=53.8401
2026-05-20,=1832.0200,=1888.5800,=6339632717685.6807,=5271320792213,=3060427926375.5845,=98.3458,=0.9695,=82.3226,=61.5868,=53.8401
2026-05-19,=1775.1300,=1829.9300,=6103603249135.4805,=5127590190018,=2962348991021.6440,=95.6303,=0.9574,=82.2908,=61.5851,=53.8401
2026-05-18,=1709.9600,=1762.7500,=5895007378337.3291,=4921601115439,=2854000788502.3936,=92.7540,=0.9254,=82.2908,=61.5654,=53.7571
2026-05-15,=1696.2600,=1748.6200,=5864970397101.4111,=4882509573468,=2831803697462.8003,=92.1566,=0.9161,=82.1550,=61.5457,=53.7571
2026-05-14,=1725.0900,=1778.3500,=5970981049421.7705,=4987701093593,=2880533253519.2085,=92.9352,=0.9260,=82.1013,=61.5444,=53.7571
2026-05-13,=1770.1500,=1824.7400,=6154793757569.3408,=5145651861154,=2957352468341.5605,=95.6271,=0.9573,=82.0829,=61.5431,=53.7571
2026-05-12,=1723.7800,=1776.9400,=6021771086040.9785,=5022023946891,=2878672320654.3428,=94.1250,=0.9437,=82.0720,=61.5341,=53.7571
2026-05-11,=1716.6900,=1769.6300,=5999012285864.7100,=4992549283827,=2865789926416.5005,=93.9224,=0.9429,=82.0720,=61.5251,=53.7527
2026-05-08,=1640.4600,=1691.0500,=5769449484746.6602,=4776757438293,=2734229573699.7852,=91.4133,=0.9108,=82.0146,=61.5204,=53.7527
2026-05-07,=1678.8900,=1730.4800,=5923482866287.1992,=4899256462636,=2802258061235.7598,=92.0855,=0.9186,=81.9277,=61.5158,=53.7527
2026-05-06,=1656.9500,=1707.8600,=5852482521752.1406,=4841534482925,=2766102110343.8608,=91.0304,=0.9078,=81.8854,=61.4584,=53.7527
2026-04-30,=1571.0700,=1619.3400,=5558542259325.9902,=4550643368921,=2616232529267.8789,=87.7377,=0.8712,=81.8034,=61.4010,=53.7527
2026-04-29,=1493.5000,=1539.4000,=5282973057187.9990,=4313292904532,=2474250187888.0693,=78.4270,=0.7459,=81.8034,=61.3975,=53.6748
2026-04-28,=1488.6600,=1534.4000,=5270235865935.9883,=4302220169730,=2463455183758.5098,=78.3586,=0.7450,=81.8034,=61.3941,=53.6748
2026-04-27,=1508.3800,=1554.7300,=5355202284178.8486,=4367945127408,=2476039124610.4600,=84.2281,=0.8323,=81.8034,=61.3853,=53.6748
2026-04-24,=1453.6900,=1498.3500,=5173387265130.5801,=4225530488318,=2383675719221.3599,=81.3782,=0.7905,=81.7985,=61.3765,=53.6748
2026-04-23,=1432.5900,=1476.6100,=5074026349051.2402,=4158820146906,=2345396563056.1899,=81.7400,=0.7983,=81.7985,=61.3643,=53.6748
2026-04-22,=1451.1400,=1495.7300,=5123906426222.5293,=4200544960356,=2366119444269.8501,=83.0398,=0.8218,=81.8034,=61.3521,=53.5964
2026-04-21,=1426.6800,=1470.5200,=5051364344322.6592,=4134063042892,=2324886437256.3003,=82.2908,=0.8066,=81.7985,=61.3409,=53.5964
2026-04-20,=1450.5200,=1495.0900,=5134655295268.2900,=4207932776032,=2363826654583.0303,=81.6528,=0.7971,=81.7969,=61.3296,=53.5964
2026-04-17,=1423.3500,=1467.0900,=5040762688269.5293,=4135946379590,=2320785349183.6396,=80.5500,=0.7739,=81.7969,=61.3231,=53.5964
2026-04-16,=1422.2300,=1465.9300,=5021064781481.3301,=4122222571932,=2319306748973.7388,=79.9319,=0.7687,=81.7969,=61.3165,=53.5964
2026-04-15,=1406.3200,=1449.5400,=4968197275598.9199,=4073023071383,=2291779460640.3604,=82.6436,=0.8147,=81.7985,=61.3116,=53.5884
2026-04-14,=1405.0700,=1448.2500,=4943538319083.8213,=4061340054365,=2288867802572.8403,=84.6041,=0.8391,=81.7969,=61.3067,=53.5884
2026-04-13,=1375.2900,=1417.5500,=4852046509759.7197,=3977718864018,=2239983636023.3398,=82.5284,=0.8130,=81.6923,=61.2889,=53.5884
2026-04-10,=1364.4900,=1406.4200,=4808788446825.8701,=3933141220919,=2220514758030.2104,=81.6817,=0.7999,=81.6817,=61.2712,=53.5884
2026-04-09,=1343.9500,=1385.2400,=4742783812466.8008,=3875243132294,=2184453589468.6504,=81.3992,=0.7961,=81.6602,=61.2696,=53.5884
2026-04-08,=1352.6900,=1394.2500,=4779203709370.9697,=3900473445056,=2197337512791.7100,=82.1550,=0.8075,=81.6923,=61.2680,=53.5466
2026-04-07,=1274.0100,=1313.1600,=4506261958094.2695,=3679797663994,=2070184619475.0496,=78.2768,=0.7524,=81.6602,=61.2469,=53.5466
2026-04-03,=1256.2100,=1294.8100,=4427611486989.6201,=3627997877380,=2039444979943.9304,=77.8207,=0.7457,=81.6602,=61.2257,=53.5466
2026-04-02,=1262.1800,=1300.9700,=4451249320747.7910,=3642972348032,=2048152159026.0601,=78.5099,=0.7534,=81.6602,=61.2176,=53.5466
2026-04-01,=1298.2000,=1338.0900,=4580507617119.3496,=3745747860963,=2107803520596.2190,=80.6045,=0.7772,=81.6602,=61.2095,=53.5466
2026-03-31,=1256.3300,=1294.9300,=4431333813583.9893,=3617998360237,=2038339318549.6003,=78.9620,=0.7589,=81.6923,=61.1602,=53.3870
2026-03-30,=1289.7800,=1329.4100,=4534324269964.3906,=3705210833802,=2079769706122.7209,=80.9843,=0.7856,=81.6923,=61.1108,=53.3870
2026-03-27,=1300.7600,=1340.7300,=4579780902493.0293,=3738200832693,=2094225818196.6704,=81.1372,=0.7862,=81.6923,=61.1074,=53.3870
2026-03-26,=1288.8100,=1328.4100,=4530806819127.3291,=3695303895456,=2075770398451.9199,=80.2950,=0.7773,=81.6923,=61.1039,=53.3870
2026-03-25,=1315.4100,=1355.8300,=4625431271788.5098,=3759714460672,=2118463891486.6699,=82.1013,=0.8063,=81.6923,=61.0995,=53.3870
2026-03-24,=1290.7900,=1330.4500,=4553176857007.2402,=3691469054523,=2077881657566.0801,=80.6376,=0.7799,=81.6923,=61.0950,=53.3338
2026-03-23,=1261.4400,=1300.2000,=4448549633247.7891,=3598082232128,=2030333966237.7605,=78.8442,=0.7615,=81.6923,=61.0907,=53.3338
2026-03-20,=1318.3100,=1358.8200,=4646396362249.2793,=3759098788702,=2122053138902.3701,=82.3358,=0.8073,=81.6923,=61.0864,=53.3338
2026-03-19,=1339.0300,=1380.1800,=4727101916454.5508,=3813505269348,=2140516848408.2903,=82.9456,=0.8181,=81.6602,=61.0849,=53.3338
2026-03-18,=1372.5800,=1414.7500,=4832539530372.2002,=3907072832863,=2193679094921.3796,=84.3467,=0.8341,=81.6097,=61.0834,=53.3338
2026-03-17,=1354.1500,=1395.7600,=4781543805899.0703,=3864392271551,=2164440428935.8401,=83.2566,=0.8222,=81.6097,=61.0785,=53.2380
2026-03-16,=1384.9900,=1427.5400,=4891573130805.1387,=3949816296177,=2211616683164.6499,=75.2276,=0.7262,=81.4048,=61.0736,=53.2380
2026-03-13,=1373.6400,=1415.8400,=4769400208537.2695,=3860339698329,=2122649392845.2104,=70.2635,=0.6923,=81.4048,=61.0596,=53.2380
2026-03-12,=1383.6500,=1426.1700,=4799699192072.3994,=3893792028028,=2138281269237.1101,=71.3295,=0.6979,=81.4048,=61.0457,=53.2380
2026-03-11,=1401.0800,=1444.1400,=4854167987477.3594,=3937429774583,=2163643552048.3501,=71.8338,=0.7007,=81.4048,=61.0318,=53.2380
2026-03-10,=1420.5400,=1464.1900,=4910582299224.8896,=3995047431202,=2196795112451.6997,=72.6577,=0.7070,=81.6097,=61.0180,=53.1439
2026-03-09,=1390.4800,=1433.2100,=4796964176910.1201,=3901184112854,=2149277814100.4399,=71.3102,=0.6988,=81.6097,=61.0049,=53.1439
2026-03-06,=1414.3900,=1457.8600,=4874844721291.7207,=3967387968985,=2187769172956.9199,=72.6365,=0.7059,=81.6097,=60.9917,=53.1439
2026-03-05,=1405.3500,=1448.5400,=4853157937083.1113,=3947848623113,=2178368245995.5400,=72.7082,=0.7071,=81.6097,=60.9822,=53.1439
2026-03-04,=1381.5600,=1424.0100,=4774814404887.0811,=3874937161467,=2139525186811.8301,=71.6461,=0.7010,=81.6097,=60.9727,=53.1439
2026-03-03,=1388.4100,=1431.0700,=4818343196328.2793,=3905585429403,=2152551888521.4500,=72.6468,=0.7067,=81.6602,=60.9694,=53.1360
2026-03-02,=1464.7700,=1509.7800,=5067923507461.3203,=4116617248634,=2271667151348.5405,=76.5486,=0.7412,=81.6602,=60.9660,=53.1360
2026-02-27,=1488.0200,=1533.7500,=5135855465398.1699,=4165304159787,=2305344565949.5908,=77.2650,=0.7483,=81.6602,=60.9539,=53.1360
2026-02-26,=1485.8600,=1531.5200,=5138564262704.1396,=4159952518047,=2301650967225.1099,=77.2185,=0.7482,=81.6602,=60.9417,=53.1360
2026-02-25,=1473.2800,=1518.5600,=5081987488958.0195,=4103659447297,=2276447678483.0010,=76.0673,=0.7361,=81.6602,=60.9326,=53.1360
2026-02-24,=1465.3700,=1510.3900,=5052837077620.5596,=4077626095054,=2264355982564.6499,=74.9233,=0.7241,=81.6923,=60.9236,=53.1196
2026-02-13,=1470.3300,=1515.5100,=5088155530519.8203,=4111789846928,=2275957635251.3398,=75.4906,=0.7291,=81.6923,=60.9145,=53.1196
2026-02-12,=1480.9900,=1526.5000,=5117248241962.6289,=4145444244760,=2291869880327.7305,=76.1929,=0.7378,=81.6923,=60.9054,=53.1196
2026-02-11,=1455.1100,=1499.8300,=5030926712444.6895,=4071917124621,=2251837173453.3301,=75.1500,=0.7272,=81.6923,=60.8967,=53.1196
2026-02-10,=1471.5000,=1516.7100,=5082597499353.1592,=4115179618710,=2279110907769.1602,=75.9006,=0.7352,=81.6923,=60.8881,=53.1196
2026-02-09,=1458.1600,=1502.9700,=5033334952863.8203,=4073834680040,=2256487354740.2988,=75.5327,=0.7305,=81.7969,=60.8798,=53.0053
2026-02-06,=1422.4100,=1466.1100,=4907902080624.0195,=3979797176291,=2198970925373.6399,=73.9619,=0.7199,=81.7969,=60.8716,=53.0053
2026-02-05,=1432.5200,=1476.5400,=4922660724633.1602,=3999579278552,=2214575529949.9702,=74.3574,=0.7234,=81.7969,=60.8644,=53.0053
2026-02-04,=1453.4800,=1498.1400,=5004696358909.3203,=4057072486298,=2246514726084.9502,=75.2353,=0.7284,=81.7969,=60.8572,=53.0053
2026-02-03,=1471.0700,=1516.2700,=5058636856897.0703,=4107276191621,=2278511366372.7095,=76.3120,=0.7386,=81.7969,=60.8482,=53.0053
2026-02-02,=1450.9000,=1495.4800,=5028461393339.6484,=4076845301619,=2256609885739.5405,=75.6911,=0.7310,=81.7985,=60.8391,=52.9486
2026-01-30,=1509.4000,=1555.7800,=5233180562621.7998,=4233154400409,=2345084068270.6997,=78.7423,=0.7569,=81.7985,=60.8372,=52.9486
2026-01-29,=1507.6400,=1553.9700,=5241255718198.9902,=4239199810460,=2337264026977.7808,=79.1492,=0.7627,=81.7985,=60.8353,=52.9486
2026-01-28,=1554.8000,=1602.5300,=5407343038347.3691,=4359905168290,=2413172986464.0103,=81.6097,=0.7969,=81.7985,=60.8036,=52.9486
2026-01-27,=1555.9800,=1603.7400,=5396761044928.3604,=4373769920497,=2413133526538.0098,=81.4012,=0.7960,=81.7985,=60.7718,=52.9486
2026-01-26,=1532.8000,=1579.8500,=5328017948159.6094,=4328811037169,=2380445167264.0801,=80.7392,=0.7809,=81.8034,=60.7507,=52.9335
2026-01-23,=1553.7100,=1601.4000,=5422205043151.9404,=4402548931292,=2414560492814.7397,=82.3952,=0.8054,=81.8034,=60.7296,=52.9335
2026-01-22,=1541.6400,=1588.9600,=5403503776741.7402,=4291465851126,=2401651092270.2700,=81.1617,=0.7880,=81.7985,=60.7143,=52.9335
2026-01-21,=1535.3900,=1582.5200,=5394489371909.4707,=4275194948772,=2392593192242.7705,=81.1741,=0.7901,=81.7985,=60.6991,=52.9335
2026-01-20,=1482.9900,=1528.5200,=5208720685076.0381,=4122872927454,=2306396274118.0103,=79.0185,=0.7644,=81.7985,=60.6968,=52.9335
2026-01-19,=1506.8600,=1553.1100,=5314091514972.2500,=4203228284657,=2347430831011.3101,=80.6837,=0.7815,=81.8034,=60.6945,=52.9215
2026-01-16,=1514.0700,=1560.5400,=5328026889794.8203,=4208228923032,=2355761566892.1997,=81.3993,=0.7956,=81.8034,=60.6844,=52.9215
2026-01-15,=1493.9500,=1539.8000,=5266041833670.2900,=4166603316487,=2326829961590.9497,=80.2696,=0.7805,=81.8034,=60.6743,=52.9215
2026-01-14,=1500.9100,=1546.9800,=5304336909748.7500,=4196059901038,=2336492758552.0200,=74.2411,=0.7306,=81.8034,=60.6717,=52.9215
2026-01-13,=1469.5700,=1514.6800,=5200169538465.8896,=4097571228196,=2285649737412.6499,=72.6236,=0.7214,=81.8034,=60.6692,=52.9215
2026-01-12,=1511.8400,=1558.2400,=5362961404578.7197,=4233669728131,=2356437454285.3389,=74.0907,=0.7295,=81.8854,=60.6423,=52.8180
2026-01-09,=1475.9700,=1521.2700,=5266011385499.2002,=4131619333352,=2304032635765.6499,=71.5782,=0.7172,=81.8854,=60.6154,=52.8180
2026-01-08,=1455.1700,=1499.8400,=5201328313498.6406,=4064282650007,=2272216178635.9995,=70.2862,=0.7132,=81.8854,=60.5422,=52.8180
2026-01-07,=1443.3900,=1487.6900,=5143889489324.5801,=4005366640087,=2248604092767.7002,=77.0206,=0.7508,=81.8854,=60.4690,=52.8180
2026-01-06,=1429.3000,=1473.1800,=5112943238435.8408,=3966648493916,=2226879673802.0698,=68.7046,=0.7052,=81.8854,=60.4652,=52.8180
2026-01-05,=1403.4100,=1446.4900,=5034827969830.7412,=3906135209301,=2188237795605.8604,=67.4057,=0.6853,=81.9277,=60.4614,=52.7968
2025-12-31,=1344.2000,=1385.4600,=4841677758938.4600,=3760130218349,=2092443760108.1096,=64.6279,=0.6321,=81.9277,=60.4612,=52.7968
2025-12-30,=1359.8700,=1401.6200,=4900947411295.3398,=3803758234469,=2119844775256.8999,=64.6256,=0.6318,=81.9277,=60.4610,=52.7968
2025-12-29,=1346.3200,=1387.6500,=4842602142837.7588,=3742956750294,=2094249404241.2800,=64.2601,=0.6262,=81.9277,=60.4535,=52.7968
2025-12-26,=1345.8300,=1387.1400,=4831371318796.4697,=3717697259529,=2089068616771.5403,=64.8011,=0.6358,=81.9277,=60.4460,=52.7968
2025-12-25,=1349.0600,=1390.4700,=4846221243179.7813,=3731774673226,=2095887543133.1597,=64.8354,=0.6371,=82.0146,=60.4457,=52.7725
2025-12-24,=1352.1300,=1393.6300,=4854652417646.2295,=3735786626322,=2100218467484.3401,=64.7067,=0.6360,=82.0146,=60.4454,=52.7725
2025-12-23,=1340.0200,=1381.1500,=4806661417800,=3708915589645,=2082340307291.3003,=64.1003,=0.6243,=82.0146,=60.4423,=52.7725
2025-12-22,=1335.2500,=1376.2300,=4785365583100.2100,=3661505080839,=2071081294836.7500,=64.3139,=0.6309,=82.0146,=60.4391,=52.7725
2025-12-19,=1308.5900,=1348.7600,=4669615549955.0391,=3587881010745,=2027341763394.4597,=63.0356,=0.5933,=82.0146,=60.4263,=52.7725
2025-12-18,=1305.9700,=1346.0500,=4660473449369.4805,=3587107994141,=2024367610040.7000,=62.8783,=0.5877,=82.0720,=60.4135,=52.7602
2025-12-17,=1325.3300,=1366.0200,=4728654084633.6416,=3647901011205,=2055146203106.5190,=63.8138,=0.6209,=82.0720,=60.3994,=52.7602
2025-12-16,=1293.3800,=1333.0800,=4609890569664.3516,=3551594976607,=2004050465241.7695,=62.0825,=0.5557,=82.0720,=60.3854,=52.7602
2025-12-15,=1318.9100,=1359.3900,=4704416204174.1494,=3625584386996,=2046206805449.7705,=62.8839,=0.5882,=82.0720,=60.3752,=52.7602
2025-12-12,=1348.8800,=1390.2900,=4758227049596.9482,=3663386579779,=2070660797746.3503,=63.4311,=0.6063,=82.0720,=60.3650,=52.7602
2025-12-11,=1325.8300,=1366.5300,=4679700318926.6387,=3609500702818,=2036288726454.6599,=61.8585,=0.5493,=82.0829,=60.3505,=52.7493
2025-12-10,=1346.7000,=1388.0400,=4758892226746.4717,=3669689042030,=2069509975515.6304,=62.5635,=0.5750,=82.0829,=60.3360,=52.7493
2025-12-09,=1347.1100,=1388.4600,=4758513205768.5313,=3671887429944,=2071233055715.7000,=62.1808,=0.5602,=82.0829,=60.3317,=52.7493
2025-12-08,=1350.8000,=1392.2600,=4766072138989.5488,=3672232084550,=2075886717486.6697,=62.4340,=0.5713,=82.0829,=60.3275,=52.7493
2025-12-05,=1326.1000,=1366.8100,=4673088661801.4287,=3599902755355,=2035335874340.1001,=61.5431,=0.5388,=82.0829,=60.3272,=52.7493
2025-12-04,=1326.1600,=1366.8700,=4677418216350.5215,=3602252455537,=2036559935585.6699,=61.2095,=0.5292,=82.3226,=60.3270,=52.7362
2025-12-03,=1308.3700,=1348.5300,=4607576259151.9404,=3552196185168,=2006319197720.7100,=60.4690,=0.5088,=82.3226,=60.2847,=52.7362
2025-12-02,=1320.1600,=1360.6600,=4650426506870.5195,=3582579172666,=2024090180457.6609,=60.8881,=0.5177,=82.3226,=60.2423,=52.7362
2025-12-01,=1336.7600,=1377.7600,=4710630924193.8398,=3631730560106,=2051223057055.0601,=61.5251,=0.5373,=82.3226,=60.2411,=52.7362
2025-11-28,=1327.1500,=1367.8600,=4678021451228.6709,=3597015189411,=2036365322054.9299,=61.0457,=0.5239,=82.3226,=60.2399,=52.7362
2025-11-27,=1310.7000,=1350.9100,=4625762450748.2998,=3555466094869,=2011501887112.3101,=60.1985,=0.4988,=82.4211,=60.2312,=52.7121
2025-11-26,=1315.0400,=1355.3800,=4636150051002.1504,=3564694902958,=2017398062719.2500,=60.4454,=0.5069,=82.4211,=60.2399,=52.7121
2025-11-25,=1302.1700,=1342.1100,=4586375486962.7607,=3520383108283,=1994786843459.5305,=60.3650,=0.5042,=82.4211,=60.2312,=52.7121
2025-11-24,=1296.6000,=1336.3800,=4563680687943.2090,=3509299897878,=1986725377644.4304,=59.9274,=0.4923,=82.4211,=60.2225,=52.7121
2025-11-21,=1285.8300,=1325.2800,=4532770441676.5293,=3476705871243,=1970936339837.2896,=59.4104,=0.4695,=82.4211,=60.2312,=52.7121
2025-11-20,=1328.1900,=1368.9300,=4682944567863.3408,=3591597439696,=2038367045741.5696,=61.0736,=0.5224,=82.4641,=60.2399,=52.6242
2025-11-19,=1344.8000,=1386.0500,=4723930645436.2500,=3633886433061,=2062621387236.4600,=61.7793,=0.5453,=82.4641,=60.2312,=52.6242
2025-11-18,=1357.9300,=1399.5800,=4769010005128.5078,=3663735388798,=2081969109789.4199,=62.4740,=0.5682,=82.4641,=60.2225,=52.6242
2025-11-17,=1354.0400,=1395.5800,=4752846879084.8496,=3648802536795,=2073816498123.7395,=62.2251,=0.5578,=82.4641,=60.2015,=52.6242
2025-11-14,=1361.2300,=1402.9900,=4780293557459.6797,=3671557250561,=2085491023541.7000,=62.8117,=0.5784,=82.4641,=60.1805,=52.6242
2025-11-13,=1399.2900,=1442.2200,=4915212474856.4492,=3773801068035,=2144003118854.8110,=64.8597,=0.6301,=82.5026,=60.1548,=52.5663
2025-11-12,=1379.4500,=1421.7700,=4840719037985.3604,=3728351999149,=2113674074606.4895,=64.4382,=0.6244,=82.5026,=60.1292,=52.5663
2025-11-11,=1387.5300,=1430.1000,=4849431255837.3594,=3740892943637,=2122198538843.3391,=64.8406,=0.6296,=82.5026,=60.1125,=52.5663
2025-11-10,=1407.5600,=1450.7400,=4925222549846.0703,=3804894374760,=2155589849842.8904,=65.5028,=0.6456,=82.5026,=60.0958,=52.5663
2025-11-07,=1415.6900,=1459.1200,=4967446052204.1104,=3836348992998,=2171141064035.4900,=65.8751,=0.6547,=82.5026,=60.0927,=52.5663
2025-11-06,=1436.8600,=1480.9400,=5047798125311.3398,=3898294176472,=2205375482202.9902,=66.5203,=0.6654,=82.5110,=60.0897,=52.5632
2025-11-05,=1390.3900,=1433.0500,=4871599332303.3291,=3755882067348,=2127610283190.5400,=64.9353,=0.6323,=82.5110,=60.0643,=52.5632
2025-11-04,=1387.2400,=1429.8000,=4857589060404.6895,=3751095883485,=2123413840410.3799,=64.8168,=0.6313,=82.5110,=60.0390,=52.5632
2025-11-03,=1400.8600,=1443.8300,=4904400778865.8291,=3785928381893,=2142773305020.1211,=65.3005,=0.6372,=82.5110,=60.0147,=52.5632
2025-10-31,=1415.5300,=1458.9500,=4963216373351.7900,=3825464859087,=2167163218684.2505,=66.1297,=0.6596,=82.5110,=59.9905,=52.5632
2025-10-30,=1461.3000,=1505.9500,=5100290547698.8896,=3939103721444,=2231778472863.5498,=65.6716,=0.6507,=82.5437,=59.9894,=52.5400
2025-10-29,=1489.1200,=1534.6300,=5203983759832.1807,=4014629700134,=2269468869309.1904,=68.5236,=0.6904,=82.5437,=59.9884,=52.5400
2025-10-28,=1471.7300,=1516.7000,=5153548334171.7305,=3971893325244,=2242854145481.6387,=76.0751,=0.7325,=82.5437,=59.9723,=52.5400
2025-10-27,=1484.2100,=1529.5000,=5203216856569.7012,=4004877225785,=2258476950415.8779,=76.3151,=0.7355,=82.5437,=59.9561,=52.5400
2025-10-24,=1462.2200,=1506.8500,=5138061165275.0703,=3948733631256,=2226123603458.1147,=68.1526,=0.6874,=82.5437,=59.9467,=52.5400
