日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-12-08,=1398.7300,=1405.9100,=1187737944632.3799,=503425325552,=343415017371.1201,=79.4932,=0.0217,=94.7686,=88.9914,=83.0512
2020-12-07,=1406.1900,=1413.4100,=1191623217956.3604,=503940975452,=343047776371.3701,=79.4671,=0.0110,=94.7686,=89.4316,=83.1274
2020-12-04,=1404.8700,=1412.0800,=1189292350064.8098,=501513729869,=341362230537.3900,=81.2016,=0.0556,=94.7686,=89.8718,=83.1455
2020-12-03,=1410.8300,=1418.0700,=1195780787407.6201,=503462434355,=343049236808.5299,=82.1898,=0.1011,=94.7686,=89.9079,=83.2317
2020-12-02,=1408.4900,=1415.7200,=1191973136062.8999,=501571982193,=343318237400.6200,=82.8589,=0.1477,=94.7686,=89.9440,=83.2352
2020-12-01,=1404.2400,=1411.4500,=1186222644142.6101,=498445544521,=340780128157.4400,=81.3629,=0.0575,=94.7786,=89.9669,=83.2352
2020-11-30,=1385.4800,=1392.5900,=1166677110280.8398,=489577952837,=334887713151.4900,=79.9497,=0.0233,=94.7786,=89.9899,=83.2709
2020-11-27,=1387.7700,=1394.8900,=1161977126579.3701,=486948875534,=332884584017.3101,=79.3274,=0,=94.7786,=90.0741,=83.3976
2020-11-26,=1385.3100,=1392.4200,=1158368835112.3501,=484214603022,=331030400623.5200,=79.7331,=0,=94.7786,=90.1584,=83.5018
2020-11-25,=1388.3600,=1395.4900,=1159084883824.5698,=485096388920,=331909216400.1900,=79.9643,=0,=94.7786,=90.1867,=83.5722
2020-11-24,=1412.7500,=1420,=1176127610459.2502,=493062472663,=336816391526.2301,=83.7587,=0.2195,=94.7832,=90.2150,=83.5722
2020-11-23,=1418.1000,=1425.3800,=1181127539667.2400,=494513699905,=337292682019.1099,=83.7061,=0.2099,=94.7832,=90.4409,=83.5722
2020-11-20,=1430.7200,=1438.0600,=1193632618571.0500,=497760190755,=340599322691.3300,=83.9006,=0.2250,=94.7832,=90.6668,=83.5722
2020-11-19,=1435.9200,=1443.3000,=1201783476967.8799,=500718230993,=341412098440.1801,=82.7558,=0.0886,=94.7832,=90.6847,=83.5722
2020-11-18,=1419.2300,=1426.5100,=1184158849502.5801,=492298578645,=337158293105.3700,=81.9383,=0.0385,=94.7832,=90.7026,=83.8461
2020-11-17,=1430.8100,=1438.1500,=1192583605302.0601,=451950252715,=340184969266.9301,=85.5006,=0.2857,=94.8269,=90.8243,=83.8461
2020-11-16,=1446.9500,=1454.3800,=1206136279110.2998,=458348728121,=344060674190.5801,=85.0981,=0.2500,=94.8269,=90.9460,=83.8461
2020-11-13,=1436.8900,=1444.2600,=1197747870582.9902,=454151824966,=344077455028.3200,=85.4604,=0.2667,=94.8269,=91.0455,=83.8461
2020-11-12,=1413.2900,=1420.5500,=1176704090022.1001,=444477479516,=337025812038.1500,=83.1455,=0.1081,=94.8269,=91.1450,=83.8461
2020-11-11,=1395.5100,=1402.6700,=1160894138512.6599,=440056426788,=331238227113.7700,=81.7317,=0.0274,=94.8269,=91.2041,=83.9414
2020-11-10,=1441.9600,=1449.3700,=1202567053981.1599,=455321221225,=343624827303.3702,=84.9161,=0.2222,=95.0846,=91.2633,=83.9414
2020-11-09,=1485.1500,=1492.7700,=1239768349558.7100,=466753693831,=353235984551.5399,=87.2513,=0.2535,=95.0846,=91.3038,=83.9414
2020-11-06,=1441.4700,=1448.8700,=1201932036934.0901,=442588613866,=339929707528.6700,=83.8461,=0.1857,=95.0846,=91.3444,=83.9414
2020-11-05,=1475.3800,=1482.9500,=1229125224954.2700,=441395748047,=347164628782.8500,=83.1274,=0.0870,=95.0846,=91.3918,=84.0498
2020-11-04,=1458.9000,=1466.3800,=1217884174405.8899,=422092260339,=343913927253.8599,=83.0512,=0.0735,=95.0846,=91.4392,=85.1241
2020-11-03,=1449.0100,=1456.4400,=1211363557396.1699,=421126430181,=343050011248.2301,=83.2709,=0.1045,=95.8130,=91.5981,=85.1241
