日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM中位数,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2024-03-05,=817.7700,=833.2900,=2592393807114.4404,=1600738174043,=1001728384671.0398,=8.7839,=0.0959,=16.5333,=10.6813,=9.2142
2024-03-04,=818.5100,=834.0400,=2597042991981.5601,=1598913986501,=1002328688812.5402,=8.9950,=0.1371,=16.5333,=10.6822,=9.2173
2024-03-01,=815.4900,=830.9600,=2591777385217.5195,=1591347044070,=998645734926.6398,=8.9817,=0.1316,=16.5333,=10.6832,=9.2200
2024-02-29,=807.7100,=823.0300,=2568568521288.1797,=1573762967734,=989183327677.8098,=9.1892,=0.1890,=16.5333,=10.6931,=9.2201
2024-02-28,=771.5900,=786.2300,=2454683427870.8203,=1504300642280,=944544031326.0200,=8.9758,=0.1284,=16.5473,=10.7029,=9.2201
2024-02-27,=796.9100,=812.0300,=2530463889956.5103,=1550194025255,=975936359141.0100,=8.9919,=0.1343,=16.5473,=10.7093,=9.2245
2024-02-26,=768.4900,=783.0700,=2443622931455.8604,=1500292516032,=941278714803.1604,=8.7633,=0.0908,=16.5473,=10.7157,=9.2308
2024-02-23,=764.4800,=778.9900,=2428210197799.9199,=1492191037025,=936505075307.4700,=8.7193,=0.0806,=16.5473,=10.7201,=9.2427
2024-02-22,=762.3800,=776.8500,=2423107564121.1899,=1488164159298,=933562714532.6300,=8.6311,=0.0611,=16.5473,=10.7245,=9.2534
2024-02-21,=755.1600,=769.4800,=2401597153494.2896,=1474343654689,=924918557644.1801,=8.6535,=0.0634,=16.5657,=10.7302,=9.2534
2024-02-20,=754.7000,=769.0200,=2397922391814.6904,=1473770562948,=924624291710.5798,=8.4965,=0.0450,=16.5657,=10.7359,=9.2675
2024-02-19,=763.3200,=777.8000,=2424382164826.7603,=1487332944058,=934749161014.9598,=8.5430,=0.0509,=16.5657,=10.7378,=9.2727
2024-02-08,=751.5000,=765.7600,=2391235133218,=1457726293664,=920626051043.8700,=9.1302,=0.1632,=16.5657,=10.7396,=9.2765
2024-02-07,=743.4200,=757.5300,=2362197827725.5791,=1446276199096,=910784173872.0298,=8.7442,=0.0811,=16.5657,=10.7527,=9.2796
