日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB正数等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-17,=1715.4000,=1770.0700,=7267156533226.2197,=5158265433069,=3051934153149.7729,=4.4014,=0.4255,=5.8646,=4.5663,=3.6631
2026-07-16,=1846.8800,=1905.7300,=7823327075783.5801,=5531910612749,=3285075216740.3037,=4.5813,=0.5052,=5.8646,=4.5667,=3.6631
2026-07-15,=1924.2700,=1985.5900,=8048272577820.2598,=5747716720152,=3428244032602.9995,=4.6316,=0.5242,=5.8646,=4.5663,=3.6631
2026-07-14,=2009.7300,=2073.6800,=8433200859293.4199,=5982019271965,=3581036390832.6626,=4.6491,=0.5314,=5.8647,=4.5650,=3.6584
2026-07-13,=1994.3200,=2057.7800,=8430073917108.1504,=5954677326595,=3552738719162.7979,=4.6631,=0.5360,=5.8647,=4.5636,=3.6584
2026-07-10,=2064.9800,=2130.6900,=8618112231856.2822,=6152438628079,=3673468102269.9761,=4.8859,=0.6166,=5.8647,=4.5611,=3.6584
2026-07-09,=2185.8300,=2255.3800,=9128579727857.8105,=6498826162831,=3891142485865.5361,=4.9122,=0.6219,=5.8647,=4.5586,=3.6584
2026-07-08,=2016.2300,=2080.3900,=8359478184141.2197,=6032646100406,=3583661691525.3223,=4.7584,=0.5731,=5.8647,=4.5580,=3.6584
2026-07-07,=2001.5900,=2065.2800,=8233102021293.6504,=5999866002794,=3556662028775.4683,=4.8376,=0.5957,=5.8675,=4.5573,=3.6539
2026-07-06,=1996.1000,=2059.6200,=8130320887391.4287,=5981197265975,=3549324640321.8462,=4.8776,=0.6121,=5.8675,=4.5571,=3.6539
2026-07-03,=1975.6000,=2038.4700,=8014132443329.6377,=5920275738146,=3509572731705.6270,=4.9505,=0.6333,=5.8675,=4.5569,=3.6539
2026-07-02,=1987.2900,=2050.3600,=8071053854902.9004,=5949167032049,=3530090786899.6533,=4.9651,=0.6421,=5.8675,=4.5541,=3.6539
2026-07-01,=2153.0400,=2221.3700,=8688821290477.1982,=6406938389318,=3831422445811.0811,=5.1103,=0.6752,=5.8675,=4.5514,=3.6539
2026-06-30,=2207.8600,=2277.8300,=8961805112310.0293,=6577023242255,=3935911903393.8701,=5.0672,=0.6674,=5.8678,=4.5513,=3.6522
2026-06-29,=2126.0100,=2193.3800,=8622845416354.3701,=6322487534303,=3784135221537.3188,=4.9385,=0.6323,=5.8678,=4.5512,=3.6522
2026-06-26,=2032.2800,=2096.5500,=8278699026816.6816,=6064060506246,=3617445717511.1182,=4.8266,=0.5944,=5.8678,=4.5499,=3.6522
2026-06-25,=2066.3300,=2131.6300,=8485761913766.6602,=6178483960404,=3686047165781.2329,=4.9179,=0.6283,=5.8678,=4.5485,=3.6522
