日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2020-08-13,=1468.2300,=1475.7100,=1143903967186.8999,=362058358124,=160921190059.5300,=22.0096,=0.3333,=23.4161,=22.4989,=21.7518
2020-08-12,=1458.6400,=1466.0800,=1140083049385.6997,=361016607416,=159986273512.4000,=21.7518,=0.2143,=23.4161,=22.7046,=21.7518
2020-08-11,=1491.8400,=1499.4400,=1166482115790.6001,=355492640900,=163677816430.2501,=23.9018,=0.9231,=23.4161,=22.7336,=22.0012
2020-08-10,=1535.6000,=1543.4200,=1200408213327,=366129368410,=168577772659.0501,=22.8756,=0.6667,=23.4161,=22.7046,=20.6786
2020-08-07,=1526.8000,=1534.5800,=1191541821005.8000,=353276792534,=167497378310.4400,=22.7626,=0.6364,=23.4161,=22.4989,=20.6786
2020-08-06,=1573.8700,=1581.8900,=1232837186033.3000,=363789058665,=172697955527.4000,=23.4161,=0.8000,=23.4161,=22.2932,=20.6786
2020-08-05,=1588.6200,=1596.7200,=1245438068636.6001,=367172703967,=174386155932.1800,=23.5557,=0.8889,=23.3035,=22.1694,=20.6786
2020-08-04,=1566.0600,=1574.0400,=1224095012275.5000,=362404642021,=171848342648.6100,=23.3035,=0.8750,=22.7046,=22.0456,=20.6786
2020-08-03,=1622.8100,=1631.0800,=1267782284755.8000,=375838743973,=178064194248.0700,=24.1055,=1,=22.7046,=22.0234,=20.5082
2020-07-31,=1512.9800,=1520.6900,=1186299448727.5000,=347942902195,=166050181390.5800,=22.7046,=1,=22.2932,=22.0012,=20.5082
2020-07-30,=1472.7900,=1480.3000,=1159122956802,=339242970013,=161719997666.6100,=22.0012,=0.6000,=22.0456,=21.3399,=20.5082
2020-07-29,=1476.9200,=1484.4500,=1162683237142.7000,=339292931500,=162179631246.2001,=22.0456,=0.7500,=22.0456,=20.6786,=20.5082
2020-07-28,=1400.5400,=1407.6700,=1106245598810.8999,=320736493479,=153927306476.0500,=20.6786,=0.6667,=20.6786,=20.5934,=20.5082
2020-07-27,=1374.5200,=1381.5200,=1087181382392.3000,=315574524266,=150899911883.8700,=20.3420,=0,=22.2932,=20.5082,=20.3420
