日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-05-08,=1026.4400,=1053.3500,=3549304762855.3804,=2312790977649,=1479088587549.4998,=4.8169,=0.3115,=7.9939,=5.5847,=4.5124
2025-05-07,=1030.1900,=1057.1900,=3564906898049.2388,=2318923753773,=1484535641982.4597,=4.7956,=0.3022,=7.9939,=5.5857,=4.5124
2025-05-06,=1026.5200,=1053.4300,=3542766412042.9902,=2308302153510,=1479326111198.6499,=4.7144,=0.2766,=7.9953,=5.5867,=4.5090
2025-04-30,=1012.4200,=1038.9600,=3496655135875.9507,=2275318628002,=1459202783091.1101,=4.6386,=0.2526,=7.9953,=5.5878,=4.5090
2025-04-29,=1003.8700,=1030.1800,=3475255936546.3496,=2259999595270,=1434597400642.7800,=4.5565,=0.2216,=7.9953,=5.5905,=4.5090
2025-04-28,=1002.8300,=1029.1200,=3477254888614.7305,=2262417127472,=1426979439630.8994,=4.6203,=0.2470,=7.9953,=5.5931,=4.5090
2025-04-25,=1004.5700,=1030.9100,=3477278093875.3496,=2261587092366,=1428557227076.8799,=4.7112,=0.2732,=7.9953,=5.5986,=4.5090
2025-04-24,=1003.3200,=1029.6200,=3479341008633.0298,=2238503812077,=1427000948317.6602,=4.6665,=0.2587,=8.0052,=5.6040,=4.5087
2025-04-23,=1012.6500,=1039.2000,=3509497800376.1299,=2257000327546,=1434061640374.9204,=4.7404,=0.2798,=8.0052,=5.6072,=4.5087
2025-04-22,=1016.2200,=1042.8600,=3526265265900.1196,=2267478156242,=1439358959443.1899,=4.7624,=0.2870,=8.0052,=5.6105,=4.5087
2025-04-21,=1019.4100,=1046.1400,=3531247738388.9609,=2275274503304,=1444188444043.8101,=4.8245,=0.3098,=8.0052,=5.6113,=4.5087
2025-04-18,=1008.6000,=1035.0400,=3500853539798.9292,=2190262298648,=1368339310642.2200,=4.7582,=0.2840,=8.0052,=5.6120,=4.5087
2025-04-17,=1016.8100,=1043.4700,=3529349773534.0103,=2206322000384,=1377898258205.5696,=4.7930,=0.2964,=8.0079,=5.6120,=4.5056
