日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-07-28,=1055.1100,=1086.2600,=3688022899119.4800,=2535856082394,=1551396449419.9851,=43.0239,=0.6453,=64.3935,=40.7817,=33.1433
2025-07-25,=1054.2000,=1085.3200,=3689854788597.4502,=2532141455547,=1550336239376.1362,=42.8479,=0.6392,=64.3935,=40.7813,=33.1433
2025-07-24,=1032.8400,=1063,=3624746999273.7891,=2438734826146,=1518543961353.7488,=42.7450,=0.6373,=64.3935,=40.7738,=33.1433
2025-07-23,=1020.8600,=1050.6700,=3575192180262.2109,=2411285777707,=1500763767555.1831,=42.2864,=0.6205,=64.3936,=40.7664,=33.0496
2025-07-22,=1016.2700,=1045.9500,=3563976632439.8906,=2399082026538,=1493852893219.5984,=42.2594,=0.6177,=64.3936,=40.7657,=33.0496
2025-07-21,=1007.8900,=1037.3300,=3531244785933.0996,=2355439308305,=1481817854193.6672,=41.8138,=0.5876,=64.3936,=40.7650,=33.0496
2025-07-18,=1007.5300,=1036.9500,=3528166140231.9102,=2352260412552,=1481154338574.4587,=41.5644,=0.5740,=64.3936,=40.7604,=33.0496
2025-07-17,=1005.6500,=1035.0200,=3517932682959.8813,=2345366277857,=1478754976936.5305,=41.5364,=0.5712,=64.3936,=40.7558,=33.0496
2025-07-16,=997.6300,=1026.7700,=3484288981691.3906,=2326997412156,=1466616742495.7195,=41.2664,=0.5534,=64.6789,=40.7554,=33.0227
2025-07-15,=996.2500,=1025.3400,=3482837453925.2490,=2321560206304,=1464833710154.7500,=41.4890,=0.5680,=64.6789,=40.7550,=33.0227
2025-07-14,=992.3900,=1021.3700,=3470905975534.8789,=2314632838481,=1459161370284.6858,=41.4215,=0.5635,=64.6789,=40.7506,=33.0227
2025-07-11,=994.4500,=1023.4800,=3479673926808.9009,=2310892336588,=1462353355018.6990,=41.2759,=0.5573,=64.6789,=40.7462,=33.0227
2025-07-10,=979.9900,=1008.4600,=3429152150546.2100,=2277369679712,=1440446334668.1174,=40.9548,=0.5179,=64.6789,=40.7442,=33.0227
2025-07-09,=983.1100,=1011.5800,=3439574671999.9897,=2285028897529,=1444983320289.0493,=40.9885,=0.5208,=64.7538,=40.7422,=32.9539
2025-07-08,=991.9500,=1020.6700,=3467076769012.7402,=2303928590739,=1458135651308.4814,=41.1170,=0.5346,=64.7538,=40.7393,=32.9539
2025-07-07,=978.2900,=1006.5300,=3422484076583.8804,=2272316178374,=1437846816479.3254,=40.5910,=0.4883,=64.7538,=40.7363,=32.9539
2025-07-04,=984.8000,=1013.2300,=3441705769743.4995,=2287013280037,=1447548937095.5544,=40.7962,=0.5088,=64.7538,=40.7393,=32.9539
2025-07-03,=984.9500,=1013.3700,=3442979575455.7900,=2289165666578,=1447925490226.8171,=41.0366,=0.5275,=64.7538,=40.7363,=32.9539
2025-07-02,=982.6400,=1010.9300,=3436183165782.0103,=2285385746226,=1444380597838.3335,=40.8528,=0.5129,=64.9240,=40.7356,=32.9450
2025-07-01,=994.8000,=1023.3700,=3477259529442.6304,=2315559636731,=1462613716611.5298,=41.1897,=0.5460,=64.9240,=40.7348,=32.9450
2025-06-30,=1003.4100,=1032.2300,=3505700207078.0591,=2335869650943,=1475130591942.8904,=41.2697,=0.5531,=64.9240,=40.7337,=32.9450
2025-06-27,=988.2100,=1016.5700,=3453117266703.0903,=2281056740684,=1452637375670.9800,=40.7821,=0.5084,=64.9240,=40.7327,=32.9450
2025-06-26,=989.9700,=1018.3800,=3460393809602.6494,=2282686191732,=1455500648314.4700,=40.7101,=0.4987,=64.9240,=40.7228,=32.9450
2025-06-25,=995.6100,=1024.1800,=3479575737696.6304,=2298358708419,=1464151821181.2000,=41.0056,=0.5227,=65.0217,=40.7327,=32.9310
2025-06-24,=978.7100,=1006.8000,=3415590264172.9302,=2261166679377,=1438725892488.9502,=40.3918,=0.4719,=65.0217,=40.7228,=32.9310
2025-06-23,=961.4900,=988.9700,=3357591491065.9595,=2202836097631,=1413042614998.5698,=39.7572,=0.4076,=65.0217,=40.7327,=32.9310
2025-06-20,=957.8700,=985.2500,=3327992911450.0898,=2192413340781,=1406646600266.8804,=39.6850,=0.4029,=65.0217,=40.7337,=32.9310
2025-06-19,=962.9400,=990.4700,=3344922929055.1387,=2206926433435,=1414207020193.5596,=39.8119,=0.4141,=65.0217,=40.7348,=32.9310
2025-06-18,=968.1800,=995.6800,=3369697567972.2891,=2220661296375,=1421848592284.7302,=40.1438,=0.4448,=65.0497,=40.7356,=32.9284
2025-06-17,=963.0800,=990.4400,=3356595500553.4185,=2205581260234,=1414664476495.2798,=39.7912,=0.4115,=65.0497,=40.7363,=32.9284
2025-06-16,=970.8900,=998.4700,=3388035514457.7197,=2226048954194,=1426298228910.3604,=39.9071,=0.4236,=65.0497,=40.7393,=32.9284
2025-06-13,=972.9400,=1000.4800,=3365871016751.8301,=2198536490376,=1400104219548.9202,=39.5519,=0.3978,=65.0497,=40.7422,=32.9284
2025-06-12,=977.9700,=1005.2000,=3377419968425.0601,=2209307587096,=1407113995454.1299,=39.8001,=0.4125,=65.0497,=40.7442,=32.9284
2025-06-11,=980.9300,=1008.2200,=3384896706956.3296,=2214071653203,=1411602471435.0300,=39.8510,=0.4171,=65.1013,=40.7462,=32.9233
2025-06-10,=982.9000,=1010.2400,=3392376063256.2402,=2214997694114,=1414175216987.1101,=39.7667,=0.4098,=65.1013,=40.7506,=32.9233
2025-06-09,=997.6100,=1025.3600,=3440372438635.2212,=2252477538209,=1435617074190.9795,=40.3940,=0.4686,=65.1013,=40.7550,=32.9233
2025-06-06,=991.6400,=1019.0900,=3414290443813.0811,=2226174121042,=1427731878569.9102,=40.1427,=0.4419,=65.1013,=40.7554,=32.9233
