iter,val_sharpe,val_net,val_mdd,turn_mean,equity_mean,equity_min,equity_max,act_std,act_sat
0,0.469,1.139868573651497,-0.1625,0.0010011271887007647,0.8349371371804103,0.8337098360061646,0.8367326259613037,0.01125988271087408,0.0
1,0.4664,1.1391395805264533,-0.1623,0.0013809278785186622,0.8372178783280184,0.8350756168365479,0.8384570479393005,0.021073443815112114,0.0
2,0.4716,1.1401238213001923,-0.1618,0.00246413400605641,0.8378064653753949,0.8336654901504517,0.8406128883361816,0.034532587975263596,0.0
3,0.4685,1.1393521596901137,-0.162,0.0027224695696751087,0.8397436011093613,0.8342500925064087,0.8427385687828064,0.03789035230875015,0.0
4,0.4742,1.1407101985410184,-0.1614,0.002945435644618651,0.8392262932508828,0.8326879739761353,0.8419294357299805,0.041144102811813354,0.0
5,0.4672,1.1384631784642776,-0.1614,0.003179941690906989,0.8374998920857195,0.8314601182937622,0.8399567008018494,0.045797865837812424,0.0
6,0.4727,1.1406506143403345,-0.1618,0.003620860009034095,0.8391428399199802,0.8322622776031494,0.8418071269989014,0.04631340503692627,0.0
7,0.4664,1.13800744461603,-0.1613,0.003771399096685833,0.8411434634204127,0.8336291909217834,0.8439577221870422,0.05416124686598778,0.0
8,0.4667,1.1381250534331588,-0.1607,0.004354293847140947,0.8415496716351384,0.8350172638893127,0.8448693752288818,0.06814827024936676,0.0
9,0.4529,1.133544344083058,-0.1608,0.005147205936880271,0.8385508215512751,0.8314026594161987,0.8427416086196899,0.08282089978456497,0.0
10,0.4601,1.1338401295121021,-0.1587,0.00675222384332188,0.8342082167582182,0.8264257907867432,0.839876651763916,0.0956106036901474,0.0
11,0.4488,1.1312692964905449,-0.1604,0.006956969834597412,0.8328228666844971,0.8250334858894348,0.8402109146118164,0.09740587323904037,0.0
12,0.435,1.128610516568639,-0.1627,0.007853319899563574,0.8357133269309998,0.826918363571167,0.8461265563964844,0.1145956739783287,0.0
13,0.4217,1.122420640556826,-0.1603,0.007989911340301532,0.832880614480995,0.8209972977638245,0.8464405536651611,0.12269806116819382,0.0
14,0.4137,1.1189092203696538,-0.159,0.008649281108294011,0.8229532339976909,0.806522011756897,0.8429079651832581,0.13587559759616852,0.0
15,0.4196,1.1199483501707175,-0.1583,0.01046009568012984,0.8173574627441552,0.7912212610244751,0.8447713255882263,0.16895745694637299,0.0
16,0.4196,1.1185858201433705,-0.156,0.011035087782898495,0.8138094974019362,0.7816311717033386,0.8460876941680908,0.18985073268413544,0.0
17,0.4157,1.1165809190731988,-0.1546,0.012678583012560387,0.8056323046046965,0.7671043276786804,0.8478912711143494,0.23047222197055817,0.0
18,0.4298,1.1182064691355047,-0.1503,0.01454698177041188,0.7801953117432059,0.7499999403953552,0.8418416976928711,0.25152260065078735,0.0
19,0.4637,1.124414441909805,-0.1441,0.011670248676313706,0.761454168253696,0.7499999403953552,0.8274100422859192,0.25301626324653625,0.0
20,0.4791,1.1256658212841437,-0.1429,0.005717248702532921,0.750537726503568,0.7499999403953552,0.7987768650054932,0.25625330209732056,0.0
21,0.4885,1.1285210577961373,-0.1433,0.004630842737337854,0.7501258736294039,0.7499998807907104,0.7759519219398499,0.24868164956569672,0.0
22,0.4994,1.1321198653088338,-0.144,0.0029850790815023364,0.7500000001422545,0.7499999403953552,0.7500000596046448,0.21773885190486908,0.0
23,0.5053,1.134408771622986,-0.1447,0.002155729064935716,0.7499999971549095,0.7499999403953552,0.7500000596046448,0.19637052714824677,0.0
24,0.5095,1.135869507578639,-0.1451,0.0014927548162976996,0.7499999998577455,0.7499998807907104,0.7500000596046448,0.1924770325422287,0.0
25,0.5122,1.136743005527073,-0.1452,0.0010931763913580228,0.750000000569018,0.7499998807907104,0.7500001192092896,0.18208612501621246,0.04125468803273099
26,0.514,1.1372955637190998,-0.1454,0.0007677754133868616,0.7499999997154909,0.7499999403953552,0.7500001192092896,0.16882596909999847,0.11762700306853051
27,0.5145,1.13744223104225,-0.1454,0.0006833325778100826,0.7500000014225452,0.7499999403953552,0.7500000596046448,0.1502772569656372,0.13672008182748038
28,0.5147,1.1375272453147143,-0.1454,0.0006640087235229965,0.7500000004267635,0.7499999403953552,0.7500000596046448,0.14496925473213196,0.13910671667234914
29,0.5153,1.1377213849819523,-0.1454,0.0006524550957440761,0.7500000008535271,0.7499999403953552,0.7500000596046448,0.1392805427312851,0.13944766450733037
30,0.5155,1.1377863641634796,-0.1455,0.0006199295061300364,0.7500000007112726,0.7499998807907104,0.7500000596046448,0.1268337219953537,0.14217524718718036
31,0.5152,1.1377222915266365,-0.1455,0.0006261144660253229,0.7499999987197093,0.7499998807907104,0.7500001192092896,0.12908367812633514,0.14217524718718036
32,0.5154,1.1377790887756007,-0.1455,0.0006234801790025752,0.7500000019915634,0.7499999403953552,0.7500000596046448,0.14507965743541718,0.14217524718718036
33,0.5156,1.1378246830280776,-0.1455,0.0006219882491380332,0.7500000002845091,0.7499999403953552,0.7500000596046448,0.14795157313346863,0.14251619502216162
34,0.5158,1.1378787613505534,-0.1455,0.0006015572279051551,0.7499999982929457,0.7499998807907104,0.7500001192092896,0.14048171043395996,0.14251619502216162
35,0.5157,1.1378666641875268,-0.1455,0.0005869722807322026,0.7500000036986175,0.7499999403953552,0.7500001192092896,0.1443776786327362,0.14285714285714285
36,0.5161,1.1379457513763833,-0.1455,0.0005742828395030948,0.7499999987197093,0.7499998807907104,0.7500000596046448,0.13371573388576508,0.14285714285714285
37,0.516,1.137930453035227,-0.1454,0.0005690703315211367,0.75,0.7499998807907104,0.7500001192092896,0.1420224905014038,0.14285714285714285
38,0.5161,1.1379432257077777,-0.1454,0.0005687703167339497,0.7500000014225452,0.7499999403953552,0.7500000596046448,0.14888933300971985,0.14285714285714285
39,0.5162,1.1379876145519519,-0.1454,0.00056893175783476,0.7500000004267635,0.7499999403953552,0.7500000596046448,0.145034521818161,0.14285714285714285
40,0.5161,1.1379837031960731,-0.1455,0.0005665383432816207,0.7499999998577455,0.7499999403953552,0.7500000596046448,0.14208371937274933,0.14285714285714285
41,0.5161,1.1379858740278357,-0.1455,0.0005658370284874855,0.7499999988619638,0.7499999403953552,0.7500000596046448,0.1471622735261917,0.14285714285714285
42,0.516,1.1379539501926434,-0.1455,0.0005655381339546604,0.7499999990042183,0.7499999403953552,0.7500000596046448,0.15283901989459991,0.14285714285714285
43,0.5161,1.1379850998017895,-0.1455,0.0005622536726384857,0.7499999974394186,0.7499999403953552,0.7500000596046448,0.1505059152841568,0.14285714285714285
44,0.5161,1.1379865575104502,-0.1455,0.0005613933350704166,0.7499999991464729,0.7499999403953552,0.7500000596046448,0.15902408957481384,0.14285714285714285
45,0.5161,1.1379744716039433,-0.1455,0.0005540049730451125,0.7499999981506912,0.7499998807907104,0.7500000596046448,0.15014638006687164,0.14285714285714285
46,0.5161,1.1380069794703116,-0.1455,0.0005493228432671267,0.7500000014225452,0.7499998807907104,0.7500001192092896,0.14660415053367615,0.14285714285714285
