date,consume_pe,zz500_pb_quantile,consume_rsi14,gold_macd_bar,bond10_std20,zz500_ma20,hs300_ma20_amt,hs300_obv,gold_ma20_amt,consume_macd_dea,bond10_atr14,yield_2y,gold_atr14,hs300_rsi14,bond10_ma5,yield_1y,consume_atr14,zz500_rsi14,consume_ma20_amt,hs300_macd_dea,hs300_pe,pmi_生产经营活动预期指数,pmi_制造业采购经理指数,bond_10y_2y_spread,margin_5d_chg,north_net,hs300_ma5,zz500_ma5,north_20d_sum,margin_total,m1_m2_spread,yield_10y,社融存量增速(近似),hs300_pe_quantile,score_valuation,score_macro,score_sentiment,score_trend,score_total
2015-01-05,25.4392,0.1013295058196496,72.37337672909146,0.00043961948343015,0.32265276661113024,1.5139999999986111,6241418165.259573,16648410248.0,968956197.4424,0.0204139016564744,0.40355486282341435,3.3783,0.0154977729086273,76.47472421045805,103.77039999999968,3.2314,0.0258509308138776,53.81351551641499,1936755.9045999865,0.1719599300852084,13.24,47.4,49.8,0.318,3.011083402001047,,3.5438000000038405,1.4973999999993004,,1037927132359.0,-9.0,3.6251,15.6417546182706,0.0075471698113207,13.0,12.0,14.0,12.0,51.0
2015-01-06,25.6192,0.1013295058196496,73.46488811665456,0.00043961948343015,0.32265276661113024,1.5158499999986117,6241418165.259573,15200279635.147182,968956197.4424,0.0212336021686092,0.40355486282341435,3.3589,0.0154977729086273,74.22228355911611,103.77039999999968,3.2189,0.0270044357557434,57.283504292727415,1601015.3559999862,0.1744045718400468,13.24,47.4,49.8,0.3452,3.2100818408485,,3.577000000003841,1.5007999999993005,,1045994364434.0,-9.0,3.6353,15.6417546182706,0.0075471698113207,13.0,12.0,14.0,7.0,46.0
2015-01-07,25.3628,0.1013295058196496,68.86071820874575,0.00043961948343015,0.32265276661113024,1.5167499999986114,6241418165.259573,15200279635.147182,968956197.4424,0.0221673630156056,0.40355486282341435,3.3255,0.0154977729086273,74.12823248562798,103.77039999999968,3.1767,0.0268612617731903,57.4332452316488,1517753.4435499862,0.1765819963173521,13.24,47.4,49.8,0.3886,3.2092581572419787,,3.61340000000384,1.5089999999993002,,1057801770588.0,-9.0,3.6408,15.6417546182706,0.0075471698113207,13.0,12.0,14.0,9.0,48.0
2015-01-08,25.3461,0.1013295058196496,68.44078665255262,0.00043961948343015,0.32265276661113024,1.5200499999986117,6241418165.259573,15200279635.147182,968956197.4424,0.0230571870639476,0.40355486282341435,3.3146,0.0154977729086273,66.83215283622454,103.77039999999968,3.189,0.0261568859322482,54.55018395623961,1375956.2223499862,0.1767989706280092,13.24,47.4,49.8,0.39,3.133976644380354,,3.63380000000384,1.5195999999993002,,1060898071626.0,-9.0,3.6415,15.6417546182706,0.0075471698113207,13.0,12.0,12.5,9.0,46.5
2015-01-09,25.0517,0.1013295058196496,62.30325631711556,0.00043961948343015,0.32265276661113024,1.5200999999986116,6241418165.259573,15200279635.147182,968956197.4424,0.0235809580984872,0.40355486282341435,3.3337,0.0154977729086273,64.60653588099875,103.77039999999968,3.1787,0.0261456797942304,52.915550185487525,1296639.618649986,0.1749580231709137,13.24,47.4,49.8,0.3772,4.124257048991442,,3.63020000000384,1.5247999999993005,,1067956909894.0,-9.0,3.6348,15.6417546182706,0.0075471698113207,13.0,15.0,12.5,9.0,49.5
2015-01-12,24.8375,0.1013295058196496,59.25142269682214,0.00043961948343015,0.32265276661113024,1.5180999999986111,6241418165.259573,15200279635.147182,968956197.4424,0.0236664561514005,0.40355486282341435,3.3025,0.0154977729086273,63.64091772192694,103.77039999999968,3.2146,0.0293495598089283,48.60235658516848,1385653.971749986,0.1713494524254088,13.24,47.4,49.8,0.3827,3.958789746310232,,3.6016000000038404,1.5207999999993005,,1079016485249.0,-9.0,3.6371,15.6417546182706,0.0075471698113207,13.0,15.0,12.5,3.0,43.5
2015-01-13,24.8488,0.1013295058196496,58.480193258743405,0.00043961948343015,0.32265276661113024,1.5166999999986113,6239961686.995197,15200279635.147182,968956197.4424,0.0233869217682668,0.40355486282341435,3.2681,0.0154977729086273,62.99566525470509,103.77039999999968,3.2014,0.0291817341082905,52.57605253987402,1363178.495699986,0.1663199159144534,13.24,47.4,49.8,0.3516,3.734604241308492,,3.5766000000038405,1.5163999999993003,,1085058114332.0,-9.0,3.5836,15.6417546182706,0.0075471698113207,13.0,15.0,12.5,3.0,43.5
2015-01-14,24.52,0.1013295058196496,53.94330290173237,0.00043961948343015,0.32265276661113024,1.5137499999986113,6226186076.115198,15200279635.147182,968956197.4424,0.0226484892634941,0.40355486282341435,3.246,0.0154977729086273,62.21924897131571,103.77039999999968,3.2012,0.0285258959576983,51.354405430676586,1340751.039799986,0.1601566901461501,13.24,47.4,49.8,0.3215,3.7689545968370375,,3.5502000000038407,1.5105999999993005,,1097669839046.0,-9.0,3.5411,15.6417546182706,0.0075471698113207,13.0,15.0,12.5,3.0,43.5
2015-01-15,24.7472,0.1013295058196496,56.94118788378715,0.00043961948343015,0.32265276661113024,1.5118999999986111,6190844829.151998,15200279635.147182,968956197.4424,0.0217690618297084,0.40355486282341435,3.2267,0.0154977729086273,67.59554725826756,103.77039999999968,3.2059,0.027631189103577,55.94746561743912,1318987.452049986,0.154836388495805,13.24,47.4,49.8,0.3374,4.929724304413408,,3.559800000003841,1.5125999999993005,,1113197421708.0,-9.0,3.5464,15.6417546182706,0.0075471698113207,13.0,13.0,12.5,6.5,45.0
2015-01-16,25.003,0.1013295058196496,58.39925648288982,0.00043961948343015,0.32265276661113024,1.5113499999986113,6091798661.638397,15200279635.147182,968956197.4424,0.0208775185296407,0.40355486282341435,3.2248,0.0154977729086273,69.11036441690392,103.77039999999968,3.2029,0.0263718184533215,58.3207574706111,1293755.0132499863,0.1504809522173133,13.24,47.4,49.8,0.2929,4.723706799556848,,3.58100000000384,1.518999999999301,,1118404063063.0,-9.0,3.5017,15.6417546182706,0.0075471698113207,13.0,12.0,12.5,7.5,45.0
