date,year,month,上交所融资余额(元),上交所融券余额(元),上交所融资融券余额(元),深交所融资余额(元),深交所融券余额(元),深交所融资融券余额(元),沪深融资余额合计(元),沪深融券余额合计(元),沪深融资融券余额合计(元),沪深融资余额合计(亿元),沪深融资融券余额合计(亿元),融资买入额_x,融券卖出量_x,融券余量_x,融资买入额_y,融券卖出量_y,融券余量_y
2015-04-16,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-17,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-20,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-21,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-22,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-23,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-24,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-27,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-28,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-29,2015,4,578682092143.0,3416567962.0,582098660105.0,402844790525.0,928213119.0,403773003644.0,981526882668.0,4344781081.0,985871663749.0,9815.26882668,9858.71663749,32575427391.0,80668836.0,419667372.0,32510062183.0,22399652.0,72016267.0
2015-04-30,2015,4,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-04,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-05,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-06,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-07,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-08,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-11,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-12,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-13,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-14,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-15,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
2015-05-18,2015,5,606152968284.0,4080179520.0,610233147804.0,417776439867.0,1142020244.0,418918460111.0,1023929408151.0,5222199764.0,1029151607915.0,10239.29408151,10291.51607915,27606992716.0,98061706.0,493267595.0,24439128825.0,18813484.0,82741055.0
