train_iter,sharpe,cum_ret,vol,mdd
0,-1.7336,-0.2399,0.1679,-0.2399
1,-1.7154,-0.2425,0.1714,-0.2425
2,-1.7113,-0.2414,0.1711,-0.2414
3,-1.7191,-0.238,0.168,-0.238
4,-1.7219,-0.2402,0.1692,-0.2402
5,-1.7057,-0.2419,0.172,-0.2419
6,-1.7014,-0.2447,0.1743,-0.2447
7,-1.7083,-0.2426,0.1722,-0.2426
8,-1.7182,-0.2436,0.1719,-0.2436
9,-1.7236,-0.238,0.1675,-0.238
10,-1.7286,-0.2367,0.1662,-0.2367
11,-1.7245,-0.2375,0.1671,-0.2375
12,-1.7235,-0.2378,0.1674,-0.2378
13,-1.722,-0.2353,0.1659,-0.2353
14,-1.7156,-0.2343,0.1658,-0.2343
15,-1.7108,-0.2326,0.1651,-0.2326
16,-1.7033,-0.234,0.1668,-0.234
17,-1.7001,-0.2322,0.1659,-0.2322
18,-1.7071,-0.2303,0.1639,-0.2303
19,-1.7091,-0.2301,0.1636,-0.2301
20,-1.7086,-0.235,0.167,-0.235
21,-1.7115,-0.2377,0.1686,-0.2377
22,-1.7173,-0.2387,0.1687,-0.2387
23,-1.7049,-0.2391,0.1701,-0.2391
24,-1.7123,-0.238,0.1686,-0.238
25,-1.7105,-0.2397,0.17,-0.2397
26,-1.7215,-0.237,0.1671,-0.237
27,-1.7286,-0.234,0.1644,-0.234
28,-1.7136,-0.235,0.1665,-0.235
29,-1.7202,-0.2338,0.1651,-0.2338
30,-1.7134,-0.2364,0.1674,-0.2364
31,-1.7332,-0.2335,0.1636,-0.2335
32,-1.7348,-0.2342,0.1639,-0.2342
33,-1.7529,-0.2336,0.1618,-0.2336
34,-1.7565,-0.2332,0.1612,-0.2332
35,-1.7443,-0.2322,0.1617,-0.2322
36,-1.7423,-0.2322,0.1619,-0.2322
37,-1.7481,-0.2322,0.1613,-0.2322
38,-1.744,-0.232,0.1616,-0.232
39,-1.7469,-0.232,0.1613,-0.232
40,-1.752,-0.235,0.1628,-0.235
41,-1.7451,-0.2335,0.1624,-0.2335
42,-1.7145,-0.2336,0.1654,-0.2336
43,-1.7206,-0.2326,0.1642,-0.2326
44,-1.7146,-0.2335,0.1654,-0.2335
45,-1.7112,-0.2344,0.1663,-0.2344
46,-1.7071,-0.2348,0.1669,-0.2348
47,-1.6934,-0.2348,0.1683,-0.2348
48,-1.7125,-0.2331,0.1653,-0.2331
49,-1.7059,-0.2322,0.1653,-0.2322
