train_iter,sharpe,cum_ret,vol,mdd
0,1.3008,0.1299,0.1272,-0.0631
1,1.2911,0.1296,0.1278,-0.0638
2,1.2867,0.1308,0.1295,-0.0648
3,1.2784,0.1287,0.1282,-0.0643
4,1.2982,0.1286,0.1262,-0.0632
5,1.2989,0.1301,0.1276,-0.0641
6,1.2939,0.1312,0.1292,-0.0653
7,1.3039,0.1333,0.1303,-0.0654
8,1.2771,0.1299,0.1295,-0.0645
9,1.3168,0.1321,0.1278,-0.0642
10,1.3092,0.1323,0.1287,-0.065
11,1.3015,0.1301,0.1274,-0.0643
12,1.3206,0.1285,0.1239,-0.0624
13,1.3366,0.1313,0.1252,-0.0625
14,1.3475,0.133,0.1258,-0.0629
15,1.3414,0.1308,0.1242,-0.0629
16,1.3561,0.1318,0.1239,-0.0629
17,1.3594,0.1296,0.1214,-0.0615
18,1.3504,0.1286,0.1213,-0.0614
19,1.3471,0.1283,0.1213,-0.0613
20,1.3562,0.1307,0.1228,-0.0618
21,1.3642,0.1334,0.1246,-0.0629
22,1.387,0.1361,0.1251,-0.0632
23,1.3823,0.1369,0.1263,-0.0641
24,1.3615,0.1371,0.1284,-0.0651
25,1.3488,0.139,0.1314,-0.0668
26,1.3608,0.14,0.1312,-0.0668
27,1.3733,0.1385,0.1286,-0.0658
28,1.389,0.1392,0.1278,-0.0655
29,1.3681,0.139,0.1295,-0.0662
30,1.3726,0.1403,0.1303,-0.0666
31,1.367,0.1363,0.1271,-0.0647
32,1.3513,0.1348,0.1271,-0.0645
33,1.3524,0.1336,0.1259,-0.0641
34,1.3535,0.1332,0.1254,-0.0639
35,1.3564,0.1316,0.1236,-0.063
36,1.3435,0.1323,0.1254,-0.0641
37,1.3323,0.135,0.1292,-0.0662
38,1.3433,0.136,0.1291,-0.0657
39,1.3461,0.1369,0.1297,-0.0656
40,1.3423,0.1374,0.1305,-0.0658
41,1.3252,0.1369,0.1317,-0.0666
42,1.3384,0.1388,0.1322,-0.067
43,1.3383,0.1365,0.13,-0.0658
44,1.3323,0.1368,0.1309,-0.0661
45,1.3394,0.1392,0.1325,-0.0672
46,1.3395,0.1387,0.132,-0.0676
47,1.3454,0.1412,0.1338,-0.068
48,1.3505,0.1413,0.1335,-0.0678
49,1.3623,0.1417,0.1326,-0.0675
