train_iter,sharpe,cum_ret,vol,mdd
0,0.4484,0.0636,0.1794,-0.1315
1,0.4721,0.0678,0.1817,-0.1324
2,0.4551,0.0643,0.1785,-0.1297
3,0.4648,0.0652,0.1772,-0.1296
4,0.4288,0.0606,0.1786,-0.1311
5,0.4041,0.0581,0.1815,-0.1337
6,0.4457,0.0639,0.1812,-0.133
7,0.4562,0.0653,0.181,-0.1327
8,0.3818,0.0562,0.1859,-0.1362
9,0.4337,0.0618,0.1801,-0.1321
10,0.4738,0.0676,0.1804,-0.1324
11,0.4698,0.0661,0.1779,-0.1306
12,0.3618,0.0503,0.1755,-0.129
13,0.354,0.0501,0.1786,-0.1314
14,0.4327,0.0611,0.1785,-0.1314
15,0.4449,0.0627,0.1779,-0.1311
16,0.3594,0.0514,0.1805,-0.1334
17,0.4125,0.0581,0.1778,-0.1312
18,0.3526,0.0488,0.1745,-0.1287
19,0.3655,0.0501,0.173,-0.1278
20,0.4738,0.0655,0.1747,-0.1286
21,0.5079,0.0709,0.1765,-0.1295
22,0.4223,0.0584,0.1746,-0.1284
23,0.4785,0.0655,0.173,-0.1267
24,0.4946,0.0686,0.1754,-0.1286
25,0.5203,0.0727,0.1768,-0.1294
26,0.459,0.064,0.1764,-0.1298
27,0.3927,0.0548,0.1762,-0.1299
28,0.3996,0.0555,0.1753,-0.1294
29,0.3854,0.0522,0.1711,-0.126
30,0.4626,0.0632,0.1725,-0.1267
31,0.3874,0.0527,0.1716,-0.1266
32,0.3624,0.0491,0.1711,-0.1267
33,0.3645,0.0489,0.1692,-0.1253
34,0.3631,0.049,0.1701,-0.1262
35,0.4362,0.0568,0.1645,-0.1222
36,0.4549,0.0586,0.1626,-0.1202
37,0.3975,0.0528,0.1675,-0.124
38,0.3596,0.0487,0.1709,-0.1261
39,0.3801,0.0519,0.1724,-0.1269
40,0.3547,0.0498,0.1771,-0.1302
41,0.4425,0.0608,0.1737,-0.1272
42,0.4932,0.0675,0.1731,-0.1261
43,0.4086,0.056,0.1731,-0.1265
44,0.504,0.0699,0.1754,-0.1278
45,0.4119,0.0575,0.1764,-0.1292
46,0.4325,0.0602,0.1759,-0.1291
47,0.4086,0.0568,0.1755,-0.1286
48,0.4946,0.0682,0.1743,-0.1275
49,0.5721,0.0764,0.1691,-0.1229
