train_iter,sharpe,cum_ret,vol,mdd
0,0.6708,0.032,0.06,-0.0303
1,0.69,0.0322,0.0587,-0.0292
2,0.6304,0.0307,0.0613,-0.0311
3,0.658,0.0332,0.0634,-0.0323
4,0.6479,0.0337,0.0654,-0.0334
5,0.6217,0.0346,0.0701,-0.0357
6,0.6499,0.0344,0.0666,-0.0338
7,0.6559,0.0334,0.0641,-0.0323
8,0.6213,0.0326,0.0661,-0.0338
9,0.6264,0.0324,0.0651,-0.033
10,0.6101,0.0327,0.0674,-0.0343
11,0.6239,0.0331,0.0667,-0.0337
12,0.6696,0.0351,0.0659,-0.0327
13,0.6849,0.0339,0.0623,-0.0307
14,0.677,0.0343,0.0638,-0.0314
15,0.7077,0.0358,0.0637,-0.0315
16,0.7071,0.0358,0.0637,-0.0315
17,0.6899,0.0337,0.0615,-0.0306
18,0.6349,0.0324,0.0643,-0.0324
19,0.6684,0.0335,0.0632,-0.0318
20,0.6903,0.0321,0.0585,-0.0298
21,0.6981,0.0313,0.0565,-0.0289
22,0.6929,0.032,0.058,-0.0297
23,0.6959,0.0321,0.0581,-0.0295
24,0.7053,0.0322,0.0576,-0.0296
25,0.7328,0.0318,0.0546,-0.0277
26,0.7295,0.0327,0.0564,-0.0289
27,0.7463,0.0355,0.06,-0.0308
28,0.7596,0.0368,0.0609,-0.0305
29,0.7703,0.0351,0.0574,-0.0288
30,0.7789,0.0352,0.057,-0.028
31,0.8044,0.0374,0.0586,-0.0287
32,0.7478,0.0348,0.0585,-0.0288
33,0.7541,0.0344,0.0575,-0.028
34,0.7402,0.0329,0.0559,-0.0274
35,0.7621,0.0351,0.0579,-0.0285
36,0.7398,0.0358,0.061,-0.0298
37,0.7712,0.0366,0.0598,-0.0292
38,0.7461,0.0359,0.0606,-0.0299
39,0.7358,0.0356,0.0609,-0.03
40,0.7619,0.0357,0.0591,-0.0292
41,0.7531,0.035,0.0585,-0.0287
42,0.7544,0.0339,0.0566,-0.028
43,0.7286,0.0319,0.0551,-0.0282
44,0.755,0.0341,0.0568,-0.0293
45,0.7374,0.0349,0.0596,-0.0308
46,0.7611,0.0343,0.0567,-0.0289
47,0.7083,0.031,0.0551,-0.0284
48,0.7134,0.0315,0.0555,-0.0278
49,0.7236,0.0314,0.0546,-0.0278
