train_iter,sharpe,cum_ret,vol,mdd
0,1.0016,0.1345,0.1712,-0.1518
1,1.0515,0.1409,0.171,-0.1482
2,1.0437,0.1434,0.1753,-0.1534
3,1.0031,0.1332,0.1693,-0.1502
4,0.9899,0.1319,0.1697,-0.1507
5,0.9879,0.1313,0.1694,-0.1443
6,0.9766,0.133,0.1735,-0.1522
7,0.9962,0.1287,0.1645,-0.1422
8,1.013,0.1307,0.1644,-0.1444
9,1.0478,0.1281,0.1557,-0.1368
10,1.0607,0.1307,0.1569,-0.1359
11,1.0726,0.133,0.158,-0.1372
12,1.0754,0.1338,0.1585,-0.1367
13,1.0703,0.1338,0.1594,-0.1409
14,1.1099,0.1408,0.1618,-0.1411
15,1.07,0.133,0.1583,-0.1384
16,1.0389,0.1305,0.16,-0.1423
17,1.103,0.1317,0.1521,-0.1303
18,1.0605,0.1286,0.1544,-0.1334
19,1.1718,0.1383,0.1505,-0.1266
20,1.1872,0.1445,0.1553,-0.1326
21,1.2001,0.1487,0.1582,-0.1367
22,1.2051,0.1459,0.1545,-0.1361
23,1.2039,0.1461,0.1548,-0.1333
24,1.1583,0.1423,0.1567,-0.1336
25,1.1799,0.1447,0.1565,-0.1355
26,1.1398,0.1392,0.1557,-0.1314
27,1.0527,0.132,0.1597,-0.1409
28,1.0607,0.1323,0.159,-0.1392
29,1.0164,0.1273,0.1595,-0.1405
30,1.0481,0.1335,0.1623,-0.1471
31,1.0194,0.1277,0.1595,-0.1428
32,1.0674,0.1266,0.151,-0.1347
33,1.1034,0.1331,0.1537,-0.1378
34,1.108,0.1338,0.1539,-0.143
35,1.0664,0.1293,0.1545,-0.1414
36,1.0748,0.1303,0.1545,-0.1398
37,1.1321,0.1381,0.1555,-0.1377
38,1.1599,0.1377,0.1514,-0.1283
39,1.1582,0.1365,0.1502,-0.122
40,1.1138,0.1373,0.1571,-0.1317
41,1.134,0.1401,0.1576,-0.1322
42,1.1564,0.1475,0.1628,-0.1357
43,1.1984,0.1501,0.1599,-0.1362
44,1.2519,0.1572,0.1605,-0.1317
45,1.1746,0.1486,0.1614,-0.1353
46,1.1301,0.1421,0.1604,-0.1399
47,1.0598,0.1375,0.1654,-0.1413
48,1.1388,0.1437,0.161,-0.1351
49,1.1814,0.1424,0.1538,-0.1313
