train_iter,sharpe,cum_ret,vol,mdd
0,1.3321,0.2346,0.227,-0.1276
1,1.3044,0.2315,0.2287,-0.1293
2,1.2681,0.2222,0.2255,-0.1281
3,1.2529,0.2183,0.2242,-0.1273
4,1.2663,0.219,0.2226,-0.1263
5,1.2308,0.2139,0.2235,-0.1278
6,1.225,0.215,0.2257,-0.1298
7,1.2261,0.2139,0.2243,-0.1291
8,1.2262,0.214,0.2244,-0.1304
9,1.2338,0.215,0.2241,-0.1296
10,1.2467,0.2174,0.2243,-0.1299
11,1.2391,0.2151,0.2232,-0.129
12,1.2962,0.2238,0.2223,-0.1283
13,1.3179,0.2263,0.2211,-0.1263
14,1.3229,0.2272,0.2212,-0.127
15,1.3203,0.227,0.2215,-0.1275
16,1.3004,0.2253,0.2231,-0.1278
17,1.2316,0.2105,0.2197,-0.1268
18,1.21,0.207,0.2199,-0.1269
19,1.1845,0.2013,0.2183,-0.1263
20,1.1949,0.2034,0.2186,-0.1271
21,1.2213,0.209,0.22,-0.1275
22,1.2117,0.2071,0.2197,-0.1259
23,1.2387,0.2121,0.2202,-0.1257
24,1.2437,0.2142,0.2215,-0.1261
25,1.265,0.218,0.2217,-0.1254
26,1.2431,0.211,0.2183,-0.123
27,1.2527,0.2113,0.2169,-0.1221
28,1.2596,0.2113,0.2157,-0.1209
29,1.2335,0.2049,0.2134,-0.1193
30,1.2476,0.2064,0.2126,-0.1188
31,1.2501,0.2064,0.2122,-0.1195
32,1.2334,0.202,0.2104,-0.1184
33,1.2558,0.2067,0.2115,-0.1185
34,1.2306,0.2005,0.2092,-0.1173
35,1.2193,0.1988,0.2094,-0.119
36,1.2274,0.2026,0.212,-0.1198
37,1.1978,0.1984,0.2127,-0.1212
38,1.2063,0.2005,0.2135,-0.1218
39,1.1836,0.1978,0.2145,-0.1229
40,1.1626,0.1935,0.2135,-0.1224
41,1.1394,0.1892,0.2129,-0.1228
42,1.1833,0.195,0.2115,-0.1224
43,1.173,0.1942,0.2125,-0.1239
44,1.191,0.1963,0.2116,-0.1232
45,1.1962,0.1962,0.2106,-0.1227
46,1.1855,0.1942,0.2102,-0.1222
47,1.1748,0.191,0.2086,-0.1209
48,1.1847,0.1909,0.2067,-0.12
49,1.1942,0.1917,0.2059,-0.1203
