train_iter,sharpe,cum_ret,vol,mdd
0,1.3487,0.2332,0.2228,-0.1361
1,1.347,0.2342,0.2242,-0.1369
2,1.3356,0.2306,0.2224,-0.1374
3,1.3465,0.2323,0.2223,-0.1382
4,1.3504,0.2323,0.2217,-0.1376
5,1.3251,0.2262,0.2198,-0.1368
6,1.3436,0.233,0.2235,-0.1382
7,1.3583,0.2326,0.2207,-0.1352
8,1.3381,0.2316,0.2231,-0.1355
9,1.3266,0.2278,0.2212,-0.1351
10,1.3307,0.2292,0.2219,-0.1349
11,1.3503,0.2303,0.2198,-0.1331
12,1.3822,0.2337,0.2179,-0.1313
13,1.3807,0.2295,0.2142,-0.1282
14,1.3724,0.2307,0.2166,-0.1297
15,1.3686,0.2297,0.2163,-0.13
16,1.364,0.2295,0.2168,-0.1303
17,1.3789,0.2298,0.2147,-0.1293
18,1.3763,0.2312,0.2164,-0.1286
19,1.4029,0.2386,0.2193,-0.1321
20,1.3925,0.237,0.2194,-0.1336
21,1.4158,0.2446,0.2229,-0.1352
22,1.3986,0.2397,0.2211,-0.137
23,1.3693,0.2356,0.2218,-0.1369
24,1.3786,0.2368,0.2215,-0.1383
25,1.4065,0.2423,0.2223,-0.1397
26,1.3984,0.2379,0.2194,-0.1375
27,1.3551,0.23,0.2187,-0.1381
28,1.3715,0.2314,0.2174,-0.1371
29,1.332,0.2263,0.2188,-0.1387
30,1.3575,0.2316,0.2198,-0.1375
31,1.3581,0.2289,0.2172,-0.136
32,1.371,0.2287,0.2149,-0.1337
33,1.39,0.2339,0.2169,-0.1338
34,1.3545,0.2259,0.2148,-0.1322
35,1.3322,0.2217,0.2142,-0.1324
36,1.3227,0.2214,0.2155,-0.1321
37,1.3257,0.2253,0.2188,-0.1344
38,1.3268,0.2238,0.2172,-0.1329
39,1.2804,0.2159,0.2169,-0.1339
40,1.3097,0.2238,0.22,-0.1353
41,1.3374,0.2293,0.2209,-0.1339
42,1.3312,0.2317,0.2243,-0.136
43,1.3289,0.2277,0.2207,-0.1351
44,1.3352,0.2296,0.2216,-0.1347
45,1.3209,0.2262,0.2206,-0.1334
46,1.3272,0.2266,0.2199,-0.1319
47,1.3253,0.2251,0.2187,-0.1312
48,1.3281,0.2258,0.219,-0.1316
49,1.2912,0.217,0.2162,-0.1297
