train_iter,sharpe,cum_ret,vol,mdd
0,1.1657,0.0732,0.0795,-0.0647
1,1.0906,0.0673,0.0781,-0.0662
2,1.091,0.0694,0.0804,-0.0697
3,1.0783,0.0714,0.0838,-0.073
4,1.161,0.0763,0.0832,-0.0707
5,1.1306,0.0735,0.0822,-0.0715
6,1.1049,0.0708,0.081,-0.0712
7,1.0706,0.0718,0.0848,-0.0744
8,1.0692,0.0701,0.083,-0.0728
9,1.1639,0.075,0.0815,-0.0697
10,1.1175,0.0729,0.0825,-0.0715
11,1.1352,0.073,0.0814,-0.0696
12,1.1755,0.0732,0.0788,-0.0656
13,1.1688,0.0717,0.0776,-0.0641
14,1.1822,0.0709,0.0759,-0.063
15,1.1855,0.0712,0.0759,-0.0629
16,1.176,0.0739,0.0795,-0.067
17,1.2255,0.0791,0.0817,-0.0678
18,1.2091,0.0773,0.081,-0.0673
19,1.2642,0.0817,0.0819,-0.0677
20,1.2465,0.0816,0.0829,-0.0697
21,1.1848,0.0756,0.0808,-0.0694
22,1.1995,0.0778,0.0821,-0.07
23,1.223,0.0762,0.0789,-0.066
24,1.3002,0.0846,0.0824,-0.0687
25,1.3188,0.0865,0.0831,-0.0697
26,1.318,0.0867,0.0834,-0.0691
27,1.3264,0.0903,0.0863,-0.0721
28,1.2773,0.0876,0.0869,-0.0736
29,1.2788,0.0866,0.0858,-0.073
30,1.2743,0.081,0.0805,-0.0689
31,1.2958,0.0803,0.0785,-0.0668
32,1.3373,0.0798,0.0756,-0.0629
33,1.3855,0.0792,0.0724,-0.0587
34,1.3632,0.0765,0.071,-0.0574
35,1.3505,0.079,0.074,-0.0602
36,1.2617,0.0742,0.0744,-0.0634
37,1.1878,0.0666,0.0708,-0.0621
38,1.1883,0.0709,0.0754,-0.0662
39,1.15,0.0682,0.0749,-0.0661
40,1.2019,0.0744,0.0783,-0.0678
41,1.2644,0.0788,0.0789,-0.0669
42,1.3007,0.0814,0.0793,-0.0669
43,1.3653,0.0864,0.0802,-0.0658
44,1.3205,0.0827,0.0793,-0.0657
45,1.2843,0.08,0.0789,-0.066
46,1.2849,0.0787,0.0776,-0.0654
47,1.3228,0.0797,0.0763,-0.0638
48,1.3321,0.0809,0.0769,-0.0631
49,1.3872,0.0837,0.0764,-0.0611
