train_iter,sharpe,cum_ret,vol,mdd
0,3.2759,0.141,0.0549,-0.0321
1,3.3709,0.1371,0.0519,-0.03
2,3.3819,0.1374,0.0518,-0.0301
3,3.4694,0.1464,0.0538,-0.0306
4,3.5311,0.1493,0.054,-0.0313
5,3.4293,0.142,0.0528,-0.0324
6,3.4199,0.1401,0.0523,-0.0327
7,3.4138,0.1467,0.0548,-0.0334
8,3.2957,0.1425,0.0551,-0.0336
9,3.2519,0.1482,0.0582,-0.0354
10,3.3956,0.1661,0.0626,-0.0357
11,3.2745,0.1534,0.0598,-0.0363
12,3.3693,0.1543,0.0585,-0.0351
13,3.3816,0.1516,0.0573,-0.0334
14,3.4646,0.1587,0.0585,-0.0346
15,3.5215,0.165,0.0599,-0.0352
16,3.481,0.1578,0.0579,-0.0344
17,3.4871,0.1588,0.0582,-0.0344
18,3.5329,0.1659,0.0601,-0.0344
19,3.4989,0.1652,0.0604,-0.0332
20,3.482,0.1586,0.0582,-0.0299
21,3.3901,0.1537,0.0579,-0.0282
22,3.4807,0.1626,0.0597,-0.03
23,3.5826,0.1747,0.0624,-0.0316
24,3.7121,0.1879,0.0649,-0.0337
25,3.6497,0.1874,0.0658,-0.0324
26,3.7065,0.1903,0.0658,-0.0321
27,3.984,0.2116,0.0683,-0.0332
28,3.9974,0.2112,0.0679,-0.0341
29,3.9592,0.2093,0.0679,-0.0335
30,3.9858,0.2101,0.0678,-0.0349
31,4.1632,0.2368,0.0733,-0.0359
32,3.7171,0.1851,0.0638,-0.0333
33,3.6229,0.1777,0.0628,-0.0324
34,3.6117,0.1773,0.0629,-0.0324
35,3.7696,0.1872,0.0637,-0.0331
36,3.767,0.1848,0.0629,-0.0338
37,3.6832,0.177,0.0615,-0.0335
38,3.6089,0.1693,0.06,-0.0339
39,3.5447,0.1679,0.0606,-0.0347
40,3.5076,0.1659,0.0605,-0.0337
41,3.4881,0.1628,0.0597,-0.034
42,3.5087,0.165,0.0601,-0.0333
43,3.5572,0.1706,0.0614,-0.0334
44,3.469,0.1619,0.0597,-0.0338
45,3.4941,0.1607,0.0588,-0.0347
46,3.5275,0.162,0.0587,-0.035
47,3.583,0.1664,0.0594,-0.0345
48,3.6944,0.176,0.061,-0.034
49,3.605,0.1628,0.0577,-0.0339
