train_iter,sharpe,cum_ret,vol,mdd
0,0.0086,0.001,0.1415,-0.1662
1,-0.0012,-0.0001,0.1425,-0.1675
2,0.0009,0.0001,0.1428,-0.1691
3,-0.0015,-0.0002,0.1399,-0.1694
4,-0.0041,-0.0005,0.138,-0.1685
5,-0.0138,-0.0015,0.1381,-0.1702
6,-0.0038,-0.0004,0.1377,-0.1701
7,-0.0065,-0.0007,0.1382,-0.1715
8,-0.0075,-0.0008,0.1409,-0.1725
9,-0.0001,-0.0,0.1367,-0.168
10,-0.0028,-0.0003,0.1376,-0.1695
11,-0.0111,-0.0012,0.1361,-0.1694
12,-0.0017,-0.0002,0.1326,-0.1649
13,-0.0054,-0.0006,0.1319,-0.1642
14,-0.0084,-0.0009,0.1325,-0.1635
15,0.0062,0.0007,0.1316,-0.1632
16,-0.0057,-0.0006,0.1323,-0.1655
17,-0.0088,-0.0009,0.1307,-0.1647
18,-0.0196,-0.002,0.1297,-0.1638
19,-0.0141,-0.0014,0.1289,-0.1639
20,-0.0133,-0.0014,0.1287,-0.1613
21,-0.0022,-0.0002,0.1281,-0.1605
22,-0.0087,-0.0009,0.1292,-0.1625
23,-0.0185,-0.0019,0.1314,-0.1643
24,-0.0214,-0.0023,0.1322,-0.1655
25,-0.0313,-0.0033,0.1327,-0.1646
26,-0.0314,-0.0033,0.1317,-0.1633
27,-0.0169,-0.0018,0.1311,-0.1645
28,-0.0037,-0.0004,0.1303,-0.1617
29,-0.0035,-0.0004,0.1313,-0.1626
30,0.001,0.0001,0.1309,-0.1619
31,-0.0031,-0.0003,0.1309,-0.1619
32,0.014,0.0015,0.1317,-0.162
33,0.0302,0.0031,0.1305,-0.1594
34,0.0091,0.001,0.1306,-0.1588
35,-0.004,-0.0004,0.1312,-0.1614
36,-0.0195,-0.0021,0.1327,-0.1636
37,-0.0252,-0.0027,0.1356,-0.1653
38,-0.0289,-0.0031,0.1364,-0.1663
39,-0.0359,-0.0039,0.1364,-0.167
40,-0.0273,-0.003,0.1357,-0.1657
41,-0.0269,-0.0029,0.1343,-0.1621
42,-0.0241,-0.0026,0.1362,-0.1627
43,-0.023,-0.0024,0.1333,-0.1625
44,-0.0287,-0.003,0.1328,-0.1624
45,-0.0278,-0.0029,0.1291,-0.1594
46,-0.0278,-0.0029,0.1317,-0.1628
47,-0.0234,-0.0025,0.1343,-0.1628
48,-0.0294,-0.0031,0.1318,-0.16
49,-0.0347,-0.0037,0.1334,-0.1601
