train_iter,sharpe,cum_ret,vol,mdd
0,0.791,0.0266,0.0423,-0.0302
1,0.7926,0.0266,0.0423,-0.0304
2,0.7587,0.0263,0.0436,-0.0313
3,0.746,0.0259,0.0437,-0.0315
4,0.7511,0.0265,0.0444,-0.0317
5,0.7313,0.0271,0.0466,-0.0335
6,0.7131,0.0258,0.0455,-0.0327
7,0.6335,0.0221,0.0439,-0.0318
8,0.5926,0.0209,0.0444,-0.0327
9,0.6067,0.0215,0.0446,-0.0327
10,0.6919,0.0248,0.045,-0.0323
11,0.7106,0.026,0.046,-0.0332
12,0.6781,0.0242,0.0449,-0.0326
13,0.6675,0.0239,0.045,-0.033
14,0.6859,0.0245,0.0449,-0.032
15,0.69,0.0245,0.0446,-0.031
16,0.69,0.0245,0.0446,-0.031
17,0.7342,0.0267,0.0458,-0.0322
18,0.7366,0.0272,0.0465,-0.0327
19,0.7468,0.0283,0.0477,-0.0337
20,0.7514,0.0274,0.0458,-0.0324
21,0.7599,0.0268,0.0443,-0.0313
22,0.7601,0.0279,0.0462,-0.0327
23,0.761,0.0282,0.0466,-0.0329
24,0.7825,0.0286,0.046,-0.0329
25,0.7607,0.0262,0.0433,-0.0308
26,0.7476,0.0265,0.0446,-0.0315
27,0.7656,0.0288,0.0474,-0.0337
28,0.7746,0.0294,0.0478,-0.0336
29,0.7439,0.027,0.0457,-0.0323
30,0.7251,0.0256,0.0444,-0.0317
31,0.8099,0.0285,0.0443,-0.0313
32,0.7346,0.0254,0.0434,-0.0312
33,0.7245,0.0245,0.0426,-0.0303
34,0.6497,0.0229,0.0442,-0.0313
35,0.7105,0.0262,0.0463,-0.033
36,0.6175,0.0233,0.0474,-0.0344
37,0.6589,0.0251,0.0479,-0.0342
38,0.6371,0.0243,0.0479,-0.0342
39,0.6051,0.0236,0.049,-0.0355
40,0.6585,0.0258,0.0492,-0.0364
41,0.6271,0.0241,0.0483,-0.0354
42,0.6228,0.0236,0.0477,-0.0354
43,0.6348,0.0242,0.0479,-0.0355
44,0.5766,0.022,0.0479,-0.036
45,0.6464,0.0249,0.0485,-0.035
46,0.7058,0.0267,0.0477,-0.0337
47,0.7549,0.0279,0.0465,-0.0321
48,0.7827,0.028,0.045,-0.0309
49,0.6623,0.0243,0.0461,-0.0328
