train_iter,sharpe,cum_ret,vol,mdd
0,0.194,0.0236,0.1528,-0.093
1,0.1854,0.0229,0.1552,-0.0953
2,0.1584,0.0194,0.1538,-0.0968
3,0.0954,0.0116,0.1522,-0.1009
4,0.1024,0.0125,0.1532,-0.1015
5,0.0824,0.0103,0.1572,-0.1057
6,0.0863,0.0108,0.1576,-0.1052
7,0.0902,0.0112,0.1561,-0.1038
8,0.095,0.012,0.1583,-0.104
9,0.118,0.0146,0.1551,-0.1011
10,0.0985,0.0123,0.1571,-0.1036
11,0.091,0.0114,0.158,-0.1048
12,0.1116,0.014,0.1578,-0.1053
13,0.1554,0.0196,0.1586,-0.1027
14,0.1635,0.0205,0.1577,-0.1023
15,0.106,0.0134,0.1584,-0.1076
16,0.0418,0.0055,0.164,-0.1177
17,0.0533,0.0068,0.1612,-0.1141
18,0.0501,0.0063,0.1578,-0.1123
19,0.0185,0.0023,0.1585,-0.1175
20,0.049,0.0063,0.1603,-0.1145
21,0.0646,0.0082,0.16,-0.1109
22,0.0083,0.0011,0.1614,-0.1187
23,0.0135,0.0017,0.1609,-0.1169
24,0.003,0.0004,0.1622,-0.1191
25,-0.0147,-0.0019,0.1647,-0.1233
26,0.0123,0.0016,0.1606,-0.1181
27,-0.0361,-0.0047,0.1621,-0.1259
28,-0.0372,-0.0048,0.1602,-0.1245
29,-0.0531,-0.0069,0.1626,-0.1284
30,-0.0044,-0.0006,0.1632,-0.1235
31,0.0244,0.0031,0.1615,-0.1197
32,0.0115,0.0015,0.1603,-0.1219
33,0.0293,0.0037,0.1594,-0.1198
34,0.0627,0.0079,0.1579,-0.1135
35,0.0777,0.0097,0.1562,-0.1103
36,0.0772,0.0096,0.1568,-0.11
37,0.0835,0.0107,0.1603,-0.1112
38,0.038,0.0049,0.1628,-0.1165
39,0.0774,0.01,0.1624,-0.1119
40,0.0788,0.0102,0.1624,-0.1126
41,0.0972,0.0124,0.1606,-0.1099
42,0.0853,0.011,0.1627,-0.1123
43,0.0691,0.009,0.1633,-0.1139
44,0.1011,0.013,0.1611,-0.1098
45,0.0834,0.0106,0.1595,-0.11
46,0.0483,0.0062,0.1615,-0.1148
47,0.0933,0.0121,0.1625,-0.1118
48,0.108,0.0139,0.1619,-0.1102
49,0.0681,0.0089,0.1641,-0.1156
