train_iter,sharpe,cum_ret,vol,mdd
0,0.3261,0.0312,0.1206,-0.1128
1,0.3196,0.0312,0.1228,-0.1143
2,0.3302,0.032,0.1221,-0.1126
3,0.3562,0.0338,0.1196,-0.1081
4,0.355,0.0338,0.1199,-0.1086
5,0.3534,0.0339,0.1209,-0.1097
6,0.3499,0.0341,0.1228,-0.112
7,0.3521,0.0342,0.1223,-0.1113
8,0.3368,0.0328,0.1227,-0.1126
9,0.3573,0.0341,0.1202,-0.1103
10,0.3555,0.0341,0.1208,-0.1107
11,0.3698,0.0353,0.1204,-0.1093
12,0.3797,0.0359,0.1192,-0.1076
13,0.386,0.0363,0.1184,-0.1068
14,0.3692,0.0347,0.1182,-0.1074
15,0.3897,0.0368,0.1188,-0.1065
16,0.3868,0.0366,0.1192,-0.1068
17,0.3867,0.0362,0.1178,-0.1051
18,0.39,0.0359,0.1159,-0.1037
19,0.3952,0.0365,0.1162,-0.1033
20,0.3648,0.0339,0.1171,-0.1065
21,0.3492,0.0329,0.1187,-0.1088
22,0.3486,0.0327,0.1179,-0.1078
23,0.3352,0.032,0.12,-0.111
24,0.3371,0.0326,0.1216,-0.1121
25,0.3428,0.0332,0.122,-0.1126
26,0.3478,0.0334,0.121,-0.1115
27,0.3606,0.0343,0.1199,-0.1088
28,0.3728,0.0351,0.1187,-0.1071
29,0.3778,0.0361,0.1204,-0.1081
30,0.3596,0.0346,0.1212,-0.1104
31,0.3567,0.0345,0.1218,-0.1107
32,0.3573,0.0343,0.121,-0.11
33,0.3367,0.0323,0.1209,-0.1115
34,0.3323,0.0318,0.1204,-0.1113
35,0.329,0.0315,0.1206,-0.1123
36,0.3129,0.0304,0.1223,-0.1144
37,0.3146,0.0306,0.1222,-0.114
38,0.3392,0.0326,0.121,-0.1109
39,0.3237,0.0315,0.1225,-0.1136
40,0.3139,0.0307,0.123,-0.1145
41,0.2989,0.0291,0.1225,-0.1148
42,0.2801,0.0274,0.1233,-0.1169
43,0.3038,0.0293,0.1215,-0.1139
44,0.3039,0.0297,0.1228,-0.1151
45,0.2972,0.0288,0.1218,-0.1141
46,0.3143,0.0307,0.123,-0.1145
47,0.309,0.0304,0.1237,-0.1153
48,0.2901,0.0283,0.1229,-0.1152
49,0.2816,0.0275,0.1227,-0.1159
