train_iter,sharpe,cum_ret,vol,mdd
0,-0.3963,-0.038,0.1197,-0.1285
1,-0.4109,-0.0394,0.1195,-0.1295
2,-0.4432,-0.0432,0.1214,-0.1358
3,-0.4263,-0.0419,0.1227,-0.1371
4,-0.4053,-0.0386,0.1187,-0.1303
5,-0.3942,-0.0385,0.1218,-0.1341
6,-0.4075,-0.0395,0.121,-0.1341
7,-0.4356,-0.0427,0.1223,-0.1359
8,-0.4292,-0.0428,0.1244,-0.1381
9,-0.416,-0.0396,0.1188,-0.1315
10,-0.4021,-0.0387,0.1201,-0.1339
11,-0.3916,-0.0381,0.1214,-0.1345
12,-0.3729,-0.036,0.1206,-0.1358
13,-0.3535,-0.0335,0.1181,-0.1321
14,-0.3802,-0.0355,0.1167,-0.1308
15,-0.3945,-0.0389,0.123,-0.1396
16,-0.3818,-0.0392,0.1282,-0.1464
17,-0.3943,-0.0404,0.1278,-0.1477
18,-0.4109,-0.042,0.1274,-0.1463
19,-0.3603,-0.0347,0.1202,-0.1376
20,-0.366,-0.0367,0.125,-0.1453
21,-0.3993,-0.0406,0.1267,-0.1474
22,-0.3734,-0.0386,0.129,-0.1497
23,-0.371,-0.0371,0.1247,-0.1444
24,-0.3879,-0.0409,0.1314,-0.153
25,-0.3673,-0.0407,0.1383,-0.1613
26,-0.3672,-0.04,0.136,-0.1569
27,-0.374,-0.0417,0.139,-0.1582
28,-0.361,-0.0394,0.1363,-0.1553
29,-0.3556,-0.0373,0.1311,-0.1491
30,-0.3278,-0.0332,0.1264,-0.1441
31,-0.2963,-0.0294,0.1239,-0.1393
32,-0.2744,-0.0282,0.1282,-0.1444
33,-0.2704,-0.0275,0.127,-0.1422
34,-0.2834,-0.0277,0.1223,-0.1357
35,-0.2833,-0.0285,0.1257,-0.1398
36,-0.2957,-0.0295,0.1247,-0.1388
37,-0.2811,-0.0286,0.1272,-0.1407
38,-0.2554,-0.0263,0.1286,-0.1419
39,-0.3354,-0.0339,0.1262,-0.1417
40,-0.3592,-0.0373,0.1297,-0.1464
41,-0.363,-0.0361,0.1242,-0.1399
42,-0.3833,-0.0379,0.1232,-0.1408
43,-0.3495,-0.0338,0.1208,-0.1382
44,-0.3873,-0.0376,0.1212,-0.1389
45,-0.384,-0.0377,0.1224,-0.1406
46,-0.3834,-0.0397,0.1291,-0.1486
47,-0.3711,-0.0373,0.1254,-0.1443
48,-0.3327,-0.0326,0.1224,-0.1393
49,-0.3409,-0.0326,0.1194,-0.1358
