train_iter,sharpe,cum_ret,vol,mdd
0,-1.7416,-0.1573,0.1109,-0.1994
1,-1.7396,-0.1593,0.1124,-0.2014
2,-1.7351,-0.1574,0.1114,-0.1984
3,-1.7407,-0.157,0.1108,-0.1968
4,-1.7352,-0.1575,0.1114,-0.1985
5,-1.7499,-0.1599,0.1121,-0.2008
6,-1.7434,-0.1599,0.1125,-0.2018
7,-1.7427,-0.1603,0.1129,-0.2022
8,-1.7419,-0.1621,0.1141,-0.2046
9,-1.7398,-0.1576,0.1112,-0.1993
10,-1.7428,-0.1578,0.1111,-0.1988
11,-1.7487,-0.1542,0.1083,-0.1934
12,-1.7506,-0.1556,0.1091,-0.1952
13,-1.7362,-0.1534,0.1086,-0.1937
14,-1.739,-0.1534,0.1084,-0.1938
15,-1.7403,-0.1544,0.109,-0.1948
16,-1.7437,-0.153,0.1078,-0.1923
17,-1.762,-0.1557,0.1085,-0.1955
18,-1.7569,-0.1533,0.1072,-0.1928
19,-1.7603,-0.1543,0.1076,-0.1932
20,-1.754,-0.1567,0.1097,-0.1974
21,-1.7524,-0.1557,0.1091,-0.1958
22,-1.7558,-0.1562,0.1093,-0.1961
23,-1.7443,-0.1578,0.111,-0.1991
24,-1.7404,-0.1589,0.112,-0.2005
25,-1.7377,-0.1596,0.1127,-0.2018
26,-1.7301,-0.1566,0.1111,-0.1983
27,-1.7421,-0.1548,0.1091,-0.1951
28,-1.7439,-0.1533,0.108,-0.1937
29,-1.7456,-0.1565,0.1101,-0.1974
30,-1.7457,-0.1593,0.112,-0.2009
31,-1.7418,-0.1572,0.1108,-0.1982
32,-1.7436,-0.1568,0.1104,-0.1977
33,-1.7367,-0.1557,0.1101,-0.198
34,-1.7179,-0.1546,0.1105,-0.1982
35,-1.7254,-0.1538,0.1095,-0.1971
36,-1.7306,-0.1556,0.1104,-0.1992
37,-1.7302,-0.1595,0.1132,-0.2039
38,-1.7395,-0.1594,0.1125,-0.2029
39,-1.7447,-0.1613,0.1134,-0.2044
40,-1.743,-0.1627,0.1145,-0.2062
41,-1.7385,-0.1634,0.1153,-0.2079
42,-1.7508,-0.1639,0.1148,-0.2086
43,-1.7593,-0.1612,0.1124,-0.2046
44,-1.7352,-0.1625,0.1149,-0.2079
45,-1.7447,-0.1604,0.1128,-0.2048
46,-1.7391,-0.1587,0.112,-0.2029
47,-1.7383,-0.16,0.113,-0.2057
48,-1.7478,-0.1589,0.1116,-0.2034
49,-1.7576,-0.1597,0.1115,-0.2038
