train_iter,sharpe,cum_ret,vol,mdd
0,-0.6504,-0.0661,0.1263,-0.1641
1,-0.6414,-0.0663,0.1285,-0.1664
2,-0.6352,-0.0653,0.1278,-0.1647
3,-0.6281,-0.0636,0.1259,-0.1615
4,-0.6236,-0.0629,0.1255,-0.161
5,-0.633,-0.0643,0.1263,-0.1625
6,-0.6531,-0.0674,0.1282,-0.1668
7,-0.6658,-0.0697,0.1301,-0.1697
8,-0.6688,-0.0698,0.1297,-0.1691
9,-0.6378,-0.0668,0.1302,-0.1691
10,-0.6566,-0.0684,0.1294,-0.1687
11,-0.6565,-0.0693,0.1312,-0.1714
12,-0.6288,-0.0665,0.1314,-0.1705
13,-0.5919,-0.0626,0.1315,-0.1691
14,-0.5889,-0.0613,0.1294,-0.1666
15,-0.5831,-0.0605,0.1291,-0.1654
16,-0.5821,-0.0617,0.1319,-0.1679
17,-0.5835,-0.061,0.13,-0.1665
18,-0.591,-0.0614,0.1293,-0.1663
19,-0.5666,-0.0589,0.1293,-0.1648
20,-0.5828,-0.0611,0.1303,-0.1671
21,-0.613,-0.0647,0.1313,-0.1694
22,-0.5998,-0.0631,0.1307,-0.1682
23,-0.6485,-0.0682,0.1307,-0.1703
24,-0.647,-0.068,0.1306,-0.1695
25,-0.6462,-0.0682,0.1312,-0.1712
26,-0.6092,-0.0639,0.1305,-0.1691
27,-0.6142,-0.0633,0.1281,-0.1669
28,-0.5846,-0.0597,0.127,-0.1645
29,-0.603,-0.0617,0.1273,-0.1646
30,-0.581,-0.0598,0.1281,-0.164
31,-0.6005,-0.0614,0.1272,-0.1651
32,-0.6056,-0.0603,0.124,-0.1616
33,-0.5818,-0.0588,0.1258,-0.1628
34,-0.5855,-0.0584,0.1241,-0.161
35,-0.6123,-0.0602,0.1222,-0.161
36,-0.5881,-0.058,0.1226,-0.1609
37,-0.5758,-0.0572,0.1237,-0.1614
38,-0.5956,-0.0607,0.1268,-0.1667
39,-0.5832,-0.0603,0.1286,-0.1681
40,-0.5962,-0.0626,0.1306,-0.1708
41,-0.6115,-0.0634,0.129,-0.1697
42,-0.6288,-0.0652,0.1288,-0.1708
43,-0.6365,-0.0663,0.1294,-0.1725
44,-0.6142,-0.0647,0.131,-0.1723
45,-0.6364,-0.0666,0.1302,-0.1714
46,-0.639,-0.0649,0.1262,-0.167
47,-0.6618,-0.0678,0.1273,-0.1691
48,-0.6602,-0.0682,0.1283,-0.1709
49,-0.6168,-0.0627,0.1265,-0.167
