train_iter,sharpe,cum_ret,vol,mdd
0,1.399,0.215,0.1977,-0.1015
1,1.433,0.2244,0.2016,-0.1017
2,1.4678,0.2273,0.1994,-0.0975
3,1.5456,0.2323,0.1937,-0.0887
4,1.5295,0.2284,0.1924,-0.0893
5,1.5428,0.2319,0.1937,-0.0887
6,1.507,0.2288,0.1956,-0.0924
7,1.541,0.2328,0.1947,-0.09
8,1.5356,0.2308,0.1937,-0.0894
9,1.5379,0.2249,0.1883,-0.0858
10,1.572,0.2256,0.1848,-0.0853
11,1.5469,0.223,0.1856,-0.0843
12,1.5571,0.2286,0.1891,-0.0873
13,1.5724,0.2256,0.1847,-0.0838
14,1.5566,0.2261,0.187,-0.087
15,1.5913,0.2325,0.1883,-0.0844
16,1.6526,0.241,0.1881,-0.0797
17,1.6436,0.2342,0.1837,-0.079
18,1.6697,0.2345,0.181,-0.0784
19,1.6348,0.2304,0.1816,-0.0796
20,1.6014,0.2272,0.1828,-0.0825
21,1.5987,0.2295,0.185,-0.0837
22,1.5999,0.2297,0.185,-0.082
23,1.5915,0.2314,0.1874,-0.0828
24,1.5904,0.2308,0.187,-0.082
25,1.5645,0.2307,0.19,-0.0864
26,1.6188,0.2344,0.1867,-0.081
27,1.6457,0.2352,0.1842,-0.0805
28,1.5878,0.2323,0.1886,-0.0846
29,1.5799,0.2279,0.1858,-0.0832
30,1.5343,0.2264,0.19,-0.087
31,1.5356,0.2199,0.1843,-0.0835
32,1.5212,0.2172,0.1837,-0.084
33,1.528,0.2175,0.1831,-0.0836
34,1.5489,0.2196,0.1824,-0.0809
35,1.5732,0.2213,0.181,-0.0795
36,1.5949,0.2261,0.1826,-0.0778
37,1.5913,0.2291,0.1854,-0.081
38,1.6068,0.231,0.1853,-0.0807
39,1.6072,0.2324,0.1864,-0.0808
40,1.613,0.2363,0.1889,-0.0816
41,1.6159,0.229,0.1826,-0.0791
42,1.6161,0.2305,0.1838,-0.0782
43,1.6624,0.233,0.1806,-0.078
44,1.6536,0.2308,0.1798,-0.0758
45,1.6912,0.2357,0.1797,-0.0773
46,1.7203,0.2432,0.1824,-0.0777
47,1.6843,0.2416,0.185,-0.0794
48,1.6858,0.2406,0.1841,-0.08
49,1.6608,0.2337,0.1813,-0.0763
