date,hs300,zz500,kc50,consume,chip,gold,bond10
2024-11-13,0.13428102433681488,0.1312839686870575,0.12568502128124237,0.1263691484928131,0.13095316290855408,0.18736077845096588,0.16406692564487457
2024-11-14,0.13384175300598145,0.13113777339458466,0.1258624941110611,0.12637397646903992,0.13083356618881226,0.18788354098796844,0.16406692564487457
2024-11-15,0.1327802538871765,0.13121670484542847,0.12606580555438995,0.126050665974617,0.13182464241981506,0.187995046377182,0.16406692564487457
2024-11-18,0.1326930671930313,0.1313597708940506,0.126382976770401,0.12636177241802216,0.13165119290351868,0.18748432397842407,0.16406694054603577
2024-11-19,0.13255833089351654,0.13159266114234924,0.12621614336967468,0.12621258199214935,0.1315050572156906,0.18784834444522858,0.16406692564487457
2024-11-20,0.13228408992290497,0.13181059062480927,0.12622274458408356,0.12600941956043243,0.13170194625854492,0.18790432810783386,0.16406692564487457
2024-11-21,0.1323707103729248,0.13206759095191956,0.12648464739322662,0.12605781853199005,0.13275526463985443,0.18619701266288757,0.16406691074371338
2024-11-22,0.13285352289676666,0.13259190320968628,0.12823526561260223,0.12716461718082428,0.13507604598999023,0.18001174926757812,0.16406692564487457
2024-11-25,0.13231296837329865,0.13261321187019348,0.12854623794555664,0.1269511580467224,0.13597869873046875,0.17953082919120789,0.16406692564487457
2024-11-26,0.13159635663032532,0.13242174685001373,0.1282709240913391,0.12661723792552948,0.13539381325244904,0.18163304030895233,0.16406692564487457
2024-11-27,0.13198649883270264,0.1325758695602417,0.1282050609588623,0.1266336441040039,0.1355973780155182,0.18093465268611908,0.16406692564487457
2024-11-28,0.13151615858078003,0.13253198564052582,0.1281748265028,0.126519113779068,0.13528406620025635,0.18190695345401764,0.16406692564487457
2024-11-29,0.13184723258018494,0.13275660574436188,0.1279323250055313,0.12642529606819153,0.13574747741222382,0.18122416734695435,0.16406692564487457
2024-12-02,0.13156792521476746,0.13265322148799896,0.1273745745420456,0.12599965929985046,0.13552816212177277,0.18280954658985138,0.16406692564487457
2024-12-03,0.1321585476398468,0.13264702260494232,0.12740041315555573,0.12625175714492798,0.13585661351680756,0.18161873519420624,0.16406692564487457
2024-12-04,0.13208693265914917,0.13266849517822266,0.12759697437286377,0.12635685503482819,0.13616962730884552,0.1810542196035385,0.16406692564487457
2024-12-05,0.13188567757606506,0.13289521634578705,0.12787386775016785,0.126344233751297,0.13672764599323273,0.18020644783973694,0.16406692564487457
2024-12-06,0.1321880966424942,0.13258378207683563,0.12699532508850098,0.12614938616752625,0.13496840000152588,0.18304811418056488,0.16406692564487457
2024-12-09,0.132161945104599,0.1326788365840912,0.12695194780826569,0.12624651193618774,0.13457797467708588,0.18331587314605713,0.16406692564487457
2024-12-10,0.13313952088356018,0.13254262506961823,0.126449853181839,0.12655316293239594,0.13404084742069244,0.18320710957050323,0.16406692564487457
2024-12-11,0.1335386335849762,0.1328936368227005,0.1265707015991211,0.12678779661655426,0.13461779057979584,0.18152454495429993,0.16406692564487457
2024-12-12,0.1341584473848343,0.13332119584083557,0.1263502836227417,0.12681366503238678,0.13540078699588776,0.1798887401819229,0.16406692564487457
2024-12-13,0.13362526893615723,0.1329050213098526,0.12719349563121796,0.12705349922180176,0.13597549498081207,0.179180309176445,0.16406692564487457
2024-12-16,0.13273487985134125,0.1328090876340866,0.1268988400697708,0.12637200951576233,0.1352766454219818,0.1818416267633438,0.16406692564487457
2024-12-17,0.13232366740703583,0.13261139392852783,0.12666766345500946,0.12618593871593475,0.13449673354625702,0.18364770710468292,0.16406694054603577
2024-12-18,0.1323864459991455,0.13240595161914825,0.12634368240833282,0.12599897384643555,0.13338300585746765,0.18541504442691803,0.16406692564487457
2024-12-19,0.13178227841854095,0.13219588994979858,0.12614798545837402,0.1257021725177765,0.13245396316051483,0.18765081465244293,0.16406692564487457
2024-12-20,0.13165080547332764,0.1320676952600479,0.12607097625732422,0.1255664825439453,0.13203948736190796,0.18853765726089478,0.16406692564487457
2024-12-23,0.13176555931568146,0.13221685588359833,0.1261443942785263,0.12578831613063812,0.13234172761440277,0.18767623603343964,0.16406692564487457
2024-12-24,0.13218039274215698,0.13222061097621918,0.12591120600700378,0.12568256258964539,0.1320866048336029,0.18785172700881958,0.16406692564487457
2024-12-25,0.1331479549407959,0.13200311362743378,0.12568055093288422,0.1260874718427658,0.13126379251480103,0.1877502053976059,0.16406692564487457
2024-12-26,0.13325117528438568,0.13205499947071075,0.12563037872314453,0.1261133998632431,0.1310659795999527,0.18781715631484985,0.16406691074371338
2024-12-27,0.1331876516342163,0.13210991024971008,0.12554821372032166,0.1261189877986908,0.1309259533882141,0.18804238736629486,0.16406692564487457
2024-12-30,0.1332896202802658,0.1319606900215149,0.12553717195987701,0.12610135972499847,0.13078755140304565,0.18825671076774597,0.16406692564487457
2024-12-31,0.13203729689121246,0.13191215693950653,0.12596911191940308,0.12597741186618805,0.13143520057201385,0.18860192596912384,0.16406692564487457
2025-01-02,0.13152346014976501,0.13220058381557465,0.1272505819797516,0.12662291526794434,0.13258163630962372,0.18575389683246613,0.16406692564487457
2025-01-03,0.13212750852108002,0.13286371529102325,0.12840744853019714,0.12749260663986206,0.1339567005634308,0.18108505010604858,0.16406692564487457
2025-01-06,0.13175341486930847,0.13310939073562622,0.12879018485546112,0.12739187479019165,0.13460487127304077,0.18028338253498077,0.16406692564487457
