feature,importance
bond_10y_2y_spread,0.19619773791055195
zz500_std20,0.19031437330704648
hs300_pb,0.17419625315233134
consume_rsi14,0.1610081471299054
hs300_pe,0.1364606382267084
margin_5d_chg,0.13369000259262975
zz500_atr14,0.12892969204403926
zz500_pb,0.11960350634763017
zz500_ma5,0.09584478987380862
zz500_pb_quantile,0.09497971898235846
hs300_atr14,0.09030151260958519
hs300_erp,0.08737634088902269
hs300_ma5,0.08391059166751802
bond10_macd_bar,0.0704420319525525
consume_pe,0.06435502704698592
consume_pe_quantile,0.06077087702578865
margin_total,0.05961949274933431
north_net,0.051330842936295085
m0环比增长,0.049881404265761375
m1环比增长,0.04564556965488009
kc50_pe_p80,0.040373606971115805
chip_ma5,0.040056376048596576
pmi_生产经营活动预期指数,0.03989077635924332
gold_rsi14,0.03815057495376095
社融增量(亿元),0.03585721994750202
kc50_pe_quantile,0.03482203795283567
chip_macd_dif,0.03358322798158042
gold_ma5,0.032661563134752214
chip_std20,0.030850125112920068
north_20d_sum,0.030460608861176297
chip_ma20_vol,0.029668716830201447
gold_std20,0.02945835012360476
chip_obv,0.02855106594506651
chip_macd_bar,0.027799782867077738
社融存量增速(近似),0.026482743036467582
chip_pb,0.02276189817348495
kc50_ma20_vol,0.017668994129053317
kc50_macd_bar,0.016895617882255465
ppi_yoy,0.016251757158897817
kc50_pb_p80,0.013779305794741958
ppi_acc_yoy,0.012317734130192548
pmi_从业人员指数,0.012182119040517136
kc50_pb,0.010063839989015833
chip_dividend_yield,0.010061455017421395
kc50_macd_dea,0.010023083916166797
kc50_pb_quantile,0.009804624962271191
pmi_在手订单指数,0.008064915076829493
kc50_ps,0.008057003055000678
kc50_pe_p50,0.007583102968055755
kc50_div_yield,0.006420211080694571
kc50_div_p80,0.0027700280188582838
kc50_div_p50,0.0012384200235828757
zz500_ma20_amt,0.0
kc50_div_p20,0.0
