风险档,权益中枢%,策略,年化收益,夏普比率,最大回撤,最终净值
保守型C2,20,动态评分,0.0859,0.5336,-0.0972,2.44
平衡型C3,50,动态评分,0.1614,0.5243,-0.2144,4.48
进取型C4,70,动态评分,0.173,0.5311,-0.3099,4.81
保守型C2,20,LGB融合,0.079,0.6263,-0.1026,2.31
平衡型C3,50,LGB融合,0.1458,0.6118,-0.2183,4.18
进取型C4,70,LGB融合,0.1596,0.62,-0.277,4.66
