训练设备：cpu

========== 开始 PPO 滚动训练（随机种子42，复现锁定）==========

PPO 第1轮
训练区间: 0 ~ 300
验证区间: 300 ~ 500
预测区间: 500 ~ 600
轮次2 迭代1 | 夏普:0.79 | 累计收益:0.0266 | 年化波动:0.0423 | 最大回撤:-0.0304
轮次2 迭代2 | 夏普:0.76 | 累计收益:0.0263 | 年化波动:0.0436 | 最大回撤:-0.0313
轮次2 迭代3 | 夏普:0.75 | 累计收益:0.0259 | 年化波动:0.0437 | 最大回撤:-0.0315
轮次2 迭代4 | 夏普:0.75 | 累计收益:0.0265 | 年化波动:0.0444 | 最大回撤:-0.0317
轮次2 迭代5 | 夏普:0.73 | 累计收益:0.0271 | 年化波动:0.0466 | 最大回撤:-0.0335
轮次2 迭代6 | 夏普:0.71 | 累计收益:0.0258 | 年化波动:0.0455 | 最大回撤:-0.0327
轮次2 迭代7 | 夏普:0.63 | 累计收益:0.0221 | 年化波动:0.0439 | 最大回撤:-0.0318
轮次2 迭代8 | 夏普:0.59 | 累计收益:0.0209 | 年化波动:0.0444 | 最大回撤:-0.0327
轮次2 迭代9 | 夏普:0.61 | 累计收益:0.0215 | 年化波动:0.0446 | 最大回撤:-0.0327
轮次2 迭代10 | 夏普:0.69 | 累计收益:0.0248 | 年化波动:0.0450 | 最大回撤:-0.0323
轮次2 迭代11 | 夏普:0.71 | 累计收益:0.0260 | 年化波动:0.0460 | 最大回撤:-0.0332
轮次2 迭代12 | 夏普:0.68 | 累计收益:0.0242 | 年化波动:0.0449 | 最大回撤:-0.0326
轮次2 迭代13 | 夏普:0.67 | 累计收益:0.0239 | 年化波动:0.0450 | 最大回撤:-0.0330
轮次2 迭代14 | 夏普:0.69 | 累计收益:0.0245 | 年化波动:0.0449 | 最大回撤:-0.0320
轮次2 迭代15 | 夏普:0.69 | 累计收益:0.0245 | 年化波动:0.0446 | 最大回撤:-0.0310
轮次2 迭代16 | 夏普:0.69 | 累计收益:0.0245 | 年化波动:0.0446 | 最大回撤:-0.0310
轮次2 迭代17 | 夏普:0.73 | 累计收益:0.0267 | 年化波动:0.0458 | 最大回撤:-0.0322
轮次2 迭代18 | 夏普:0.74 | 累计收益:0.0272 | 年化波动:0.0465 | 最大回撤:-0.0327
轮次2 迭代19 | 夏普:0.75 | 累计收益:0.0283 | 年化波动:0.0477 | 最大回撤:-0.0337
轮次2 迭代20 | 夏普:0.75 | 累计收益:0.0274 | 年化波动:0.0458 | 最大回撤:-0.0324
轮次2 迭代21 | 夏普:0.76 | 累计收益:0.0268 | 年化波动:0.0443 | 最大回撤:-0.0313
轮次2 迭代22 | 夏普:0.76 | 累计收益:0.0279 | 年化波动:0.0462 | 最大回撤:-0.0327
轮次2 迭代23 | 夏普:0.76 | 累计收益:0.0282 | 年化波动:0.0466 | 最大回撤:-0.0329
轮次2 迭代24 | 夏普:0.78 | 累计收益:0.0286 | 年化波动:0.0460 | 最大回撤:-0.0329
轮次2 迭代25 | 夏普:0.76 | 累计收益:0.0262 | 年化波动:0.0433 | 最大回撤:-0.0308
轮次2 迭代26 | 夏普:0.75 | 累计收益:0.0265 | 年化波动:0.0446 | 最大回撤:-0.0315
轮次2 迭代27 | 夏普:0.77 | 累计收益:0.0288 | 年化波动:0.0474 | 最大回撤:-0.0337
轮次2 迭代28 | 夏普:0.77 | 累计收益:0.0294 | 年化波动:0.0478 | 最大回撤:-0.0336
轮次2 迭代29 | 夏普:0.74 | 累计收益:0.0270 | 年化波动:0.0457 | 最大回撤:-0.0323
轮次2 迭代30 | 夏普:0.73 | 累计收益:0.0256 | 年化波动:0.0444 | 最大回撤:-0.0317
轮次2 迭代31 | 夏普:0.95 | 累计收益:0.0348 | 年化波动:0.0462 | 最大回撤:-0.0320
轮次2 迭代32 | 夏普:0.87 | 累计收益:0.0315 | 年化波动:0.0458 | 最大回撤:-0.0320
轮次2 迭代33 | 夏普:0.87 | 累计收益:0.0310 | 年化波动:0.0450 | 最大回撤:-0.0316
轮次2 迭代34 | 夏普:0.77 | 累计收益:0.0284 | 年化波动:0.0461 | 最大回撤:-0.0333
轮次2 迭代35 | 夏普:0.85 | 累计收益:0.0324 | 年化波动:0.0483 | 最大回撤:-0.0340
轮次2 迭代36 | 夏普:0.78 | 累计收益:0.0309 | 年化波动:0.0499 | 最大回撤:-0.0356
轮次2 迭代37 | 夏普:0.78 | 累计收益:0.0303 | 年化波动:0.0492 | 最大回撤:-0.0355
轮次2 迭代38 | 夏普:0.71 | 累计收益:0.0281 | 年化波动:0.0500 | 最大回撤:-0.0365
轮次2 迭代39 | 夏普:0.66 | 累计收益:0.0266 | 年化波动:0.0509 | 最大回撤:-0.0374
