风险档,权益中枢,策略源,年化收益,年化波动,夏普比率,最大回撤,卡玛比率,月均换手
保守型C2,0.2,动态评分,0.0767,0.1088,0.475,-0.0656,1.1688,0.1208
平衡型C3,0.5,动态评分,0.1536,0.2712,0.4744,-0.2349,0.6541,0.3006
进取型C4,0.7,动态评分,0.2045,0.3791,0.4736,-0.3516,0.5816,0.4117
保守型C2,0.2,LGB融合,0.069,0.0804,0.5478,-0.0636,1.0858,0.0722
平衡型C3,0.5,LGB融合,0.1342,0.1999,0.5464,-0.1998,0.6717,0.1777
进取型C4,0.7,LGB融合,0.1743,0.2795,0.534,-0.3181,0.5478,0.2429
