阶段,交易日天数,沪深300_累计收益,沪深300_年化收益,沪深300_最大回撤,等权_累计收益,等权_年化收益,等权_最大回撤,风险平价_累计收益,风险平价_年化收益,风险平价_最大回撤,MVO_累计收益,MVO_年化收益,MVO_最大回撤,动量_累计收益,动量_年化收益,动量_最大回撤,动态评分_累计收益,动态评分_年化收益,动态评分_最大回撤,LGB融合_累计收益,LGB融合_年化收益,LGB融合_最大回撤,PPO月度_累计收益,PPO月度_年化收益,PPO月度_最大回撤,PPO原生日频_累计收益,PPO原生日频_年化收益,PPO原生日频_最大回撤
2015牛市,108,0.435,1.3034,-0.107,1.4593,6.9952,-0.0552,1.0574,4.2941,-0.0432,1.9128,10.8196,-0.0474,2.0054,11.7065,-0.0709,0.8245,3.0111,-0.0628,0.8245,3.0111,-0.0628,0.904,3.4263,-0.0328,0.8453,3.1175,-0.0323
2015股灾,155,-0.4499,-0.6175,-0.4499,-0.3535,-0.504,-0.3535,-0.2095,-0.3147,-0.2095,-0.3239,-0.467,-0.3239,-0.4745,-0.6446,-0.4745,-0.1286,-0.1986,-0.1364,-0.1286,-0.1986,-0.1364,-0.1878,-0.2842,-0.1878,-0.174,-0.2646,-0.174
2016-2017慢牛,488,0.4894,0.2211,-0.0822,0.4181,0.1914,-0.0606,0.3479,0.1614,-0.0571,0.3138,0.1466,-0.0853,0.5157,0.2318,-0.0669,0.3557,0.1648,-0.0787,0.3557,0.1648,-0.0787,0.2756,0.1298,-0.0418,0.2742,0.1292,-0.041
2018熊市,227,-0.2824,-0.2997,-0.3003,-0.1623,-0.1732,-0.1867,-0.0343,-0.0368,-0.0635,-0.0911,-0.0975,-0.1293,-0.1601,-0.1708,-0.1992,-0.0467,-0.0501,-0.1103,-0.0467,-0.0501,-0.1103,-0.1147,-0.1226,-0.1367,-0.1192,-0.1274,-0.1372
2019-2020牛市,513,0.8458,0.3356,-0.1612,0.6569,0.2692,-0.109,0.3119,0.1368,-0.047,0.4505,0.192,-0.056,0.8865,0.3495,-0.1173,0.4869,0.206,-0.0563,0.4869,0.206,-0.0563,0.5769,0.2399,-0.1036,0.642,0.2639,-0.0948
2021后震荡,1307,-0.1776,-0.0356,-0.4539,0.0751,0.0135,-0.38,0.2427,0.0411,-0.0982,0.2921,0.0487,-0.2016,0.0449,0.0082,-0.4641,0.0936,0.0167,-0.162,0.0936,0.0167,-0.162,0.1564,0.0273,-0.3382,0.1475,0.0259,-0.3413
