iter,val_sharpe,val_net,val_mdd,turn_mean,equity_mean,equity_min,equity_max,act_std,act_sat
0,-0.7105,0.8167065287289901,-0.2876,0.004508406337764528,0.7621970797311448,0.7499999403953552,0.852006733417511,0.01962645724415779,0.0
1,-0.7117,0.81616751632099,-0.2881,0.006530492776824582,0.7630010728981332,0.7499998807907104,0.8652297854423523,0.031471576541662216,0.0
2,-0.7146,0.8141744277742406,-0.2902,0.007040580514297691,0.7624185694161282,0.7499999403953552,0.8578709363937378,0.03277462720870972,0.0
3,-0.7286,0.8101290565619653,-0.2945,0.009444504041611934,0.7622180933593422,0.7499998807907104,0.8538541793823242,0.04775479808449745,0.0
4,-0.7326,0.8088851475264826,-0.2959,0.011998550038397527,0.7616351787334702,0.7499998807907104,0.8500000834465027,0.06439296901226044,0.0
5,-0.7357,0.808839055502906,-0.2957,0.015594725633927999,0.7603708551562388,0.7499998807907104,0.8500000238418579,0.07913106679916382,0.0
6,-0.7476,0.8047793220878213,-0.2994,0.01888157626260139,0.7600891808027862,0.7499998807907104,0.8500000238418579,0.08852792531251907,0.0
7,-0.753,0.801747457874591,-0.3,0.020022496714600525,0.7593005266454484,0.7499999403953552,0.849895715713501,0.0903136134147644,0.0
8,-0.7678,0.7952970003031246,-0.3059,0.02472694682818587,0.7595633017333178,0.7499999403953552,0.8500000238418579,0.11243437975645065,0.0
9,-0.7663,0.7962662432846337,-0.3033,0.025917866924864415,0.7596647110250261,0.7499998807907104,0.8479281663894653,0.14103609323501587,0.0
10,-0.7806,0.7904011063096049,-0.3075,0.031021586549217984,0.758594141211561,0.7499999403953552,0.8405051827430725,0.1776564121246338,0.0
11,-0.7873,0.783801438073765,-0.3139,0.03510514424452858,0.757426359427018,0.7499999403953552,0.8295646905899048,0.21424198150634766,0.0
12,-0.8028,0.7776794138809984,-0.3176,0.03948548861435451,0.7567752171374563,0.7499999403953552,0.8256232738494873,0.2691466510295868,0.0
13,-0.8127,0.7760630300125176,-0.3177,0.042466315303972546,0.7551540341428531,0.7499999403953552,0.8151609301567078,0.30589088797569275,0.0
14,-0.8341,0.767862738066887,-0.327,0.04413367200669529,0.7526095130323937,0.7499999403953552,0.8054195642471313,0.3311454951763153,0.0
15,-0.8324,0.7639262069981984,-0.332,0.048613499412747056,0.7509958618003407,0.7499998807907104,0.7876079678535461,0.39957395195961,0.0
16,-0.8503,0.7577719304496985,-0.3363,0.049633716740461874,0.7505514996667062,0.7499999403953552,0.7849591970443726,0.4664137661457062,0.0
17,-0.8772,0.7462687423056613,-0.3483,0.0480409570732638,0.7504756426084853,0.7499999403953552,0.7899659276008606,0.5078396797180176,0.0
18,-0.8827,0.7431624466945455,-0.3533,0.0468864753128006,0.7500907103647895,0.7499999403953552,0.7738853693008423,0.5228996872901917,0.0
19,-0.8938,0.7393014763986938,-0.3578,0.04595775673613219,0.7499999992522715,0.7499998807907104,0.7500000596046448,0.5681516528129578,0.0
20,-0.9098,0.7334026914835182,-0.3654,0.0417110537976614,0.7500157409671387,0.7499999403953552,0.7587836384773254,0.5885104537010193,0.0
21,-0.9024,0.7353065767217898,-0.3647,0.038955433736471826,0.7500092738631806,0.7499999403953552,0.7551732659339905,0.6267843246459961,0.0
22,-0.9021,0.7347489432968368,-0.3649,0.037368928352671284,0.7500062287921974,0.7499999403953552,0.7534763813018799,0.6560365557670593,0.0
23,-0.8747,0.7417831685322269,-0.3612,0.032079558642614484,0.7500020660807155,0.7499999403953552,0.7511528134346008,0.6514326333999634,0.0
24,-0.8608,0.7458261453331003,-0.3576,0.029161498067386476,0.7500140297370145,0.7499999403953552,0.7578290700912476,0.6963420510292053,0.0
25,-0.8454,0.7526886393981287,-0.3515,0.02749659760611459,0.7499999986113614,0.7499999403953552,0.7500000596046448,0.7340667843818665,0.0
26,-0.8386,0.7557083309846592,-0.3484,0.02692264923325149,0.7500000009613652,0.7499999403953552,0.7500000596046448,0.76829594373703,0.0
27,-0.8349,0.7576629899728339,-0.3466,0.02535980368386887,0.7500000016022754,0.7499999403953552,0.7500000596046448,0.7770553827285767,0.0
28,-0.8423,0.7600973325298758,-0.3434,0.024645686069483398,0.7500273714569734,0.7499999403953552,0.7574506998062134,0.8408209085464478,0.0012800819252432156
29,-0.8388,0.7637457775317857,-0.34,0.025696025527079044,0.7503134805882703,0.7499999403953552,0.8007453083992004,0.8742106556892395,0.01228878648233487
30,-0.8185,0.7711643749550925,-0.3355,0.02469446785801414,0.750089427155833,0.7499999403953552,0.7841066122055054,0.8380995988845825,0.01408090117767537
31,-0.8251,0.7712442754861465,-0.334,0.024872662295924507,0.7500674834601768,0.7499999403953552,0.7787926197052002,0.8911822438240051,0.016129032258064516
32,-0.8194,0.7747467672585635,-0.3304,0.022717498566648224,0.7500030871574169,0.7499999403953552,0.7517228722572327,0.891602635383606,0.015360983102918587
33,-0.8158,0.7787925116523106,-0.3253,0.020992544493020435,0.7500000004272734,0.7499999403953552,0.7500000596046448,0.9288511872291565,0.03123399897593446
34,-0.7885,0.788697238463628,-0.3148,0.017342199724982077,0.75,0.7499998807907104,0.7500000596046448,0.8842774629592896,0.04352278545826933
