危机阶段,起始,结束,策略,累计收益,最大回撤,修复天数
2015下半年股灾,2015-06-15,2016-01-28,等权,-35.4%,-35.4%,1436天
,,,动态评分,-7.3%,-13.6%,238天
,,,LGB融合,-6.8%,-14.4%,226天
2018全年熊市,2018-01-29,2019-01-04,等权,-16.2%,-18.7%,435天
,,,动态评分,-5.1%,-11.0%,123天
,,,LGB融合,-10.7%,-12.9%,140天
2021后震荡,2021-02-19,2026-07-10,等权,+7.5%,-38.0%,597天
,,,动态评分,+15.5%,-13.6%,888天
,,,LGB融合,+32.2%,-13.0%,342天
