date,net_value
2016-01-07,1.1057799
2016-01-08,1.1045583
2016-01-11,1.0948561
2016-01-12,1.1063912
2016-01-13,1.0885247
2016-01-14,1.0903938
2016-01-15,1.1060358
2016-01-18,1.0967878
2016-01-19,1.0812669
2016-01-20,1.0840075
2016-01-21,1.0876409
2016-01-22,1.0708591
2016-01-25,1.0600023
2016-01-26,1.0428287
2016-01-27,1.0569606
2016-01-28,1.0534834
2016-01-29,1.0642494
2016-02-01,1.0633425
2016-02-02,1.0720408
2016-02-03,1.0708904
2016-02-04,1.0741315
2016-02-05,1.0891901
2016-02-15,1.0953084
2016-02-16,1.0943011
2016-02-17,1.0969319
2016-02-18,1.1058059
2016-02-19,1.1030844
2016-02-22,1.1063229
2016-02-23,1.0736688
2016-02-24,1.0762186
2016-02-25,1.0551448
2016-02-26,1.0684677
2016-02-29,1.0897155
2016-03-01,1.0902994
2016-03-02,1.0878807
2016-03-03,1.0976945
2016-03-04,1.0971293
2016-03-07,1.0873513
2016-03-08,1.0806508
2016-03-09,1.0818063
2016-03-10,1.0948302
2016-03-11,1.0882233
2016-03-14,1.0869294
2016-03-15,1.0990163
2016-03-16,1.1117877
2016-03-17,1.11918
2016-03-18,1.1179878
2016-03-21,1.1198944
2016-03-22,1.1100248
2016-03-23,1.1162148
2016-03-24,1.1152465
2016-03-25,1.1083732
2016-03-28,1.1263677
2016-03-29,1.1230103
2016-03-30,1.1228026
2016-03-31,1.1290189
2016-04-01,1.1311257
2016-04-05,1.1248821
2016-04-06,1.1214575
2016-04-07,1.1297233
2016-04-08,1.1284608
2016-04-11,1.1341097
2016-04-12,1.1348577
2016-04-13,1.1327758
2016-04-14,1.1267729
2016-04-15,1.128678
2016-04-18,1.1129651
2016-04-19,1.1124567
2016-04-20,1.1133159
2016-04-21,1.112726
2016-04-22,1.115027
2016-04-25,1.1169928
2016-04-26,1.1147239
2016-04-27,1.1187153
2016-04-28,1.137044
2016-04-29,1.1349657
2016-05-03,1.1374153
2016-05-04,1.1224471
2016-05-05,1.1110156
2016-05-06,1.109132
2016-05-09,1.1129583
2016-05-10,1.1128893
2016-05-11,1.1126658
2016-05-12,1.1175207
2016-05-13,1.1164144
2016-05-16,1.1058168
2016-05-17,1.1050198
2016-05-18,1.1100135
2016-05-19,1.1126859
2016-05-20,1.1081254
2016-05-23,1.1036547
2016-05-24,1.1040314
2016-05-25,1.10471
2016-05-26,1.1018095
2016-05-27,1.1204036
2016-05-30,1.1205785
2016-05-31,1.1235455
2016-06-01,1.129189
2016-06-02,1.1320374
2016-06-03,1.1307856
2016-06-06,1.1315796
2016-06-07,1.1164793
2016-06-08,1.1196746
2016-06-13,1.1321715
2016-06-14,1.1321896
2016-06-15,1.1335037
2016-06-16,1.1337181
2016-06-17,1.130002
2016-06-20,1.1321263
2016-06-21,1.1302632
2016-06-22,1.1316357
2016-06-23,1.1425611
2016-06-24,1.1463364
2016-06-27,1.1481153
2016-06-28,1.1478543
2016-06-29,1.1508862
2016-06-30,1.160934
2016-07-01,1.1631778
2016-07-04,1.173721
2016-07-05,1.1754462
2016-07-06,1.1716455
2016-07-07,1.1787468
2016-07-08,1.1857876
2016-07-11,1.1860496
2016-07-12,1.1846263
2016-07-13,1.1842636
2016-07-14,1.1811494
2016-07-15,1.1787437
2016-07-18,1.1787368
2016-07-19,1.1782975
2016-07-20,1.1746885
2016-07-21,1.1770445
2016-07-22,1.1829162
2016-07-25,1.1688277
2016-07-26,1.1722958
2016-07-27,1.1723102
2016-07-28,1.1673671
2016-07-29,1.1674784
2016-08-01,1.1700966
2016-08-02,1.1702048
2016-08-03,1.1727383
2016-08-04,1.1735353
2016-08-05,1.1771798
2016-08-08,1.1781698
2016-08-09,1.1734588
2016-08-10,1.1790371
2016-08-11,1.1894978
2016-08-12,1.1912988
2016-08-15,1.1906098
2016-08-16,1.187988
2016-08-17,1.1852704
2016-08-18,1.1834152
2016-08-19,1.1843848
2016-08-22,1.1836612
2016-08-23,1.1797781
2016-08-24,1.1808056
2016-08-25,1.1793147
2016-08-26,1.1804314
2016-08-29,1.181064
2016-08-30,1.1770836
2016-08-31,1.177299
2016-09-01,1.1804992
2016-09-02,1.1854151
2016-09-05,1.1871154
2016-09-06,1.1875002
2016-09-07,1.1831424
2016-09-08,1.1710896
2016-09-09,1.1710254
2016-09-12,1.1685637
2016-09-13,1.1711961
2016-09-14,1.1707395
2016-09-19,1.172231
2016-09-20,1.1765366
2016-09-21,1.1756039
2016-09-22,1.1679415
2016-09-23,1.1689436
2016-09-26,1.1680082
2016-09-27,1.1694721
2016-09-28,1.1723622
2016-09-29,1.1739832
2016-09-30,1.174663
2016-10-10,1.1738838
2016-10-11,1.1744219
2016-10-12,1.1740196
2016-10-13,1.1721982
2016-10-14,1.1774637
2016-10-17,1.1764389
2016-10-18,1.1771096
2016-10-19,1.1768816
2016-10-20,1.1817659
2016-10-21,1.1836697
2016-10-24,1.1844915
2016-10-25,1.1845201
2016-10-26,1.1823943
2016-10-27,1.1828291
2016-10-28,1.1873201
2016-10-31,1.184992
2016-11-01,1.1872163
2016-11-02,1.1848323
2016-11-03,1.184284
2016-11-04,1.1874626
2016-11-07,1.1878649
2016-11-08,1.1891834
2016-11-09,1.189854
2016-11-10,1.1853158
2016-11-11,1.1870277
2016-11-14,1.1884269
2016-11-15,1.1879706
2016-11-16,1.1853061
2016-11-17,1.1872885
2016-11-18,1.190896
2016-11-21,1.1901433
2016-11-22,1.1884713
2016-11-23,1.1913595
2016-11-24,1.1941465
2016-11-25,1.1962037
2016-11-28,1.1914935
2016-11-29,1.1939958
2016-11-30,1.1874706
2016-12-01,1.1799951
2016-12-02,1.1810977
2016-12-05,1.183844
2016-12-06,1.1861607
2016-12-07,1.1868684
2016-12-08,1.1735872
2016-12-09,1.1727681
2016-12-12,1.1709752
2016-12-13,1.1686556
2016-12-14,1.1695535
2016-12-15,1.169814
2016-12-16,1.1649706
2016-12-19,1.1682088
2016-12-20,1.1676279
2016-12-21,1.163832
2016-12-22,1.1651965
2016-12-23,1.1646855
2016-12-26,1.1633813
2016-12-27,1.1634228
2016-12-28,1.167094
2016-12-29,1.1698167
2016-12-30,1.176775
2017-01-03,1.1760906
2017-01-04,1.1758604
2017-01-05,1.1783968
2017-01-06,1.1791741
2017-01-09,1.1769532
2017-01-10,1.1749446
2017-01-11,1.1710008
2017-01-12,1.1643331
2017-01-13,1.1677558
2017-01-16,1.1695259
2017-01-17,1.166692
2017-01-18,1.170571
2017-01-19,1.1725342
2017-01-20,1.1707486
2017-01-23,1.1708143
2017-01-24,1.1725645
2017-01-25,1.1735406
2017-01-26,1.1771312
2017-02-03,1.176583
2017-02-06,1.1786898
2017-02-07,1.1825656
2017-02-08,1.1816983
2017-02-09,1.1855797
2017-02-10,1.1842844
2017-02-13,1.180843
2017-02-14,1.1828581
2017-02-15,1.1838074
2017-02-16,1.1896915
2017-02-17,1.1943018
2017-02-20,1.1970628
2017-02-21,1.1986514
2017-02-22,1.1994884
2017-02-23,1.1970521
2017-02-24,1.1968235
2017-02-27,1.1963125
2017-02-28,1.194487
2017-03-01,1.19299
2017-03-02,1.1956549
2017-03-03,1.1962819
2017-03-06,1.1940976
2017-03-07,1.1900533
2017-03-08,1.1900073
2017-03-09,1.1962773
2017-03-10,1.1937011
2017-03-13,1.1944681
2017-03-14,1.2001587
2017-03-15,1.1976129
2017-03-16,1.1990775
2017-03-17,1.203608
2017-03-20,1.2037436
2017-03-21,1.2058774
2017-03-22,1.2085352
2017-03-23,1.2102308
2017-03-24,1.2094415
2017-03-27,1.2061509
2017-03-28,1.2030021
2017-03-29,1.2039012
2017-03-30,1.2129943
2017-03-31,1.2116103
2017-04-05,1.2114661
2017-04-06,1.2094624
2017-04-07,1.2127141
2017-04-10,1.2128066
2017-04-11,1.2157967
2017-04-12,1.2129109
2017-04-13,1.2072554
2017-04-14,1.2077032
2017-04-17,1.204774
2017-04-18,1.208185
2017-04-19,1.2063372
2017-04-20,1.1968989
2017-04-21,1.1997861
2017-04-24,1.2003034
2017-04-25,1.20124
2017-04-26,1.2001348
2017-04-27,1.1980852
2017-04-28,1.1961755
2017-05-02,1.1917279
2017-05-03,1.1870693
2017-05-04,1.1807977
2017-05-05,1.18087
2017-05-08,1.1760353
2017-05-09,1.1757071
2017-05-10,1.1792111
2017-05-11,1.1815221
2017-05-12,1.1914858
2017-05-15,1.1908424
2017-05-16,1.1896006
2017-05-17,1.1908416
2017-05-18,1.1886798
2017-05-19,1.1882836
2017-05-22,1.1867088
2017-05-23,1.1926073
2017-05-24,1.1932837
2017-05-25,1.1908051
2017-05-26,1.1882832
2017-05-31,1.1893882
2017-06-01,1.191018
2017-06-02,1.1946957
2017-06-05,1.203274
2017-06-06,1.2057749
2017-06-07,1.2070978
2017-06-08,1.20682
2017-06-09,1.2104592
2017-06-12,1.2089585
2017-06-13,1.2063043
2017-06-14,1.2041925
2017-06-15,1.2082204
2017-06-16,1.2089746
2017-06-19,1.2130172
2017-06-20,1.2115837
2017-06-21,1.2135345
2017-06-22,1.2211958
2017-06-23,1.2217971
2017-06-26,1.2196046
2017-06-27,1.221443
2017-06-28,1.2194123
2017-06-29,1.2200594
2017-06-30,1.2140441
2017-07-03,1.2185243
2017-07-04,1.2194967
2017-07-05,1.2185155
2017-07-06,1.2148169
2017-07-07,1.2143816
2017-07-10,1.2129896
2017-07-11,1.2144837
2017-07-12,1.2129096
2017-07-13,1.203325
2017-07-14,1.2061722
2017-07-17,1.215217
2017-07-18,1.2178166
2017-07-19,1.2192682
2017-07-20,1.2259048
2017-07-21,1.2243897
2017-07-24,1.2186599
2017-07-25,1.2215302
2017-07-26,1.2260877
2017-07-27,1.2297707
2017-07-28,1.2313697
2017-07-31,1.2308844
2017-08-01,1.2273709
2017-08-02,1.2256826
2017-08-03,1.2299111
2017-08-04,1.230974
2017-08-07,1.2368134
2017-08-08,1.2377908
2017-08-09,1.2277027
2017-08-10,1.2372584
2017-08-11,1.2382225
2017-08-14,1.2401503
2017-08-15,1.2425766
2017-08-16,1.2408005
2017-08-17,1.2441347
2017-08-18,1.2420356
2017-08-21,1.2408141
2017-08-22,1.2785763
2017-08-23,1.2843853
2017-08-24,1.2893778
2017-08-25,1.2904928
2017-08-28,1.2900679
2017-08-29,1.2899278
2017-08-30,1.2934332
2017-08-31,1.2964325
2017-09-01,1.2989291
2017-09-04,1.2985435
2017-09-05,1.294823
2017-09-06,1.295461
2017-09-07,1.2976108
2017-09-08,1.2965549
2017-09-11,1.299566
2017-09-12,1.2982305
2017-09-13,1.3002135
2017-09-14,1.3046814
2017-09-15,1.3011618
2017-09-18,1.3046488
2017-09-19,1.30135
2017-09-20,1.3051132
2017-09-21,1.3049252
2017-09-22,1.3070188
2017-09-25,1.3067575
2017-09-26,1.3058438
2017-09-27,1.3092024
2017-09-28,1.3127507
2017-09-29,1.3161001
2017-10-09,1.3229787
2017-10-10,1.3249172
2017-10-11,1.3258145
2017-10-12,1.3221172
2017-10-13,1.3175949
2017-10-16,1.3189328
2017-10-17,1.3221496
2017-10-18,1.3214087
2017-10-19,1.3229909
2017-10-20,1.3251793
2017-10-23,1.3252555
2017-10-24,1.3323334
2017-10-25,1.3385978
2017-10-26,1.3304017
2017-10-27,1.3299959
2017-10-30,1.3281758
2017-10-31,1.3257124
2017-11-01,1.3265415
2017-11-02,1.3341852
2017-11-03,1.3424622
2017-11-06,1.3476113
2017-11-07,1.3425348
2017-11-08,1.34444
2017-11-09,1.344918
2017-11-10,1.3399572
2017-11-13,1.3374033
2017-11-14,1.3436469
2017-11-15,1.3386824
2017-11-16,1.3418757
2017-11-17,1.3456993
2017-11-20,1.3427229
2017-11-21,1.3312486
2017-11-22,1.326935
2017-11-23,1.3208469
2017-11-24,1.3243083
2017-11-27,1.3195448
2017-11-28,1.3143035
2017-11-29,1.3148869
2017-11-30,1.3183839
2017-12-01,1.314678
2017-12-04,1.3129776
2017-12-05,1.3048302
2017-12-06,1.3118607
2017-12-07,1.3259275
2017-12-08,1.3209531
2017-12-11,1.3292074
2017-12-12,1.3310513
2017-12-13,1.3280582
2017-12-14,1.3248478
2017-12-15,1.3296881
2017-12-18,1.3322477
2017-12-19,1.3353814
2017-12-20,1.3350967
2017-12-21,1.3359483
2017-12-22,1.3378309
2017-12-25,1.3281968
2017-12-26,1.3307569
2017-12-27,1.3344402
2017-12-28,1.3417486
