日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-09-13,=5568.1503,=6049.3677,=1748768907684.7598,=1258151697868,=854458182647.7001,=60.7325,=0.2563,=103.8726,=81.3192,=51.9349
2024-09-12,=5623.6451,=6109.6585,=1763587105470.7700,=1271553502338,=863894870486.7698,=61.9887,=0.2735,=103.8758,=81.3519,=51.6176
2024-09-11,=5694.4391,=6186.5708,=1786674508317.6296,=1286278513576,=874846142552.1097,=62.5126,=0.2819,=103.8758,=81.4037,=51.6176
2024-09-10,=5708.6706,=6202.0323,=1796039480233.6904,=1287566803306,=877263216670.5300,=62.0925,=0.2740,=103.8758,=81.4554,=51.6176
2024-09-09,=5663.7344,=6153.2126,=1781578995742.7395,=1277977072409,=870593903588.2000,=61.6233,=0.2669,=103.8758,=81.4635,=51.6176
2024-09-06,=5691.6437,=6183.5339,=1790555793071.5300,=1284825480775,=874629696874.4498,=62.3335,=0.2752,=103.8758,=81.4716,=51.6176
2024-09-05,=5765.5130,=6263.7872,=1812016461416.4504,=1301912881374,=886969354088.0099,=63.2347,=0.2926,=103.9455,=81.4754,=51.5156
2024-09-04,=5786.4221,=6286.5033,=1819795275660.8799,=1307393108934,=887025871651.7701,=63.2881,=0.2936,=103.9455,=81.4791,=51.5156
2024-09-03,=5839.8109,=6344.5062,=1836759364464.3701,=1318741561401,=895288633017.1700,=64.0002,=0.3053,=103.9455,=81.5164,=51.5156
2024-09-02,=5805.6635,=6307.4077,=1833271003169.9297,=1309970594696,=888559900143.5599,=62.8319,=0.2868,=103.9455,=81.5537,=51.5156
2024-08-30,=6022.4619,=6542.9425,=1897189663558.4504,=1358017362803,=921921913223.2202,=65.3484,=0.3271,=103.9455,=81.5702,=51.5156
2024-08-29,=5822.4402,=6325.6343,=1835832086273.5000,=1313557169984,=892070903317.9940,=63.9028,=0.3036,=103.9479,=81.5867,=51.4258
2024-08-28,=5763.4262,=6261.5201,=1820413385380.6899,=1299244922082,=882048987373.8679,=62.2658,=0.2760,=103.9479,=81.5873,=51.4258
2024-08-27,=5764.1461,=6262.3022,=1818077833090.2200,=1299539255386,=881488472057.9380,=62.4424,=0.2779,=103.9479,=81.5879,=51.4258
2024-08-26,=5857.3493,=6363.5604,=1844067553566.6699,=1321275539261,=891713487565.8202,=78.6544,=0.4660,=103.9479,=81.6646,=51.4258
2024-08-23,=5867.4214,=6374.5030,=1846134589741.2600,=1322611609415,=892670412102.4961,=79.2343,=0.4696,=103.9479,=81.7413,=51.4258
2024-08-22,=5909.7592,=6420.4998,=1855251389329.7500,=1332700115730,=898387485609.5721,=78.7161,=0.4667,=103.9860,=81.8595,=51.2138
2024-08-21,=6009.0567,=6528.3789,=1887116146164.5400,=1356007766969,=913711534349.9420,=79.7496,=0.4737,=103.9860,=81.9777,=51.2138
2024-08-20,=6052.2813,=6575.3392,=1899712422127.1001,=1365527682329,=922009452145.5320,=80.1182,=0.4782,=103.9860,=82.1011,=51.2138
2024-08-19,=6134.0030,=6664.1235,=1927022207299.1001,=1383634520581,=929276777212.3020,=100.2838,=0.7430,=103.9860,=82.2244,=51.2138
2024-08-16,=6128.1378,=6657.7514,=1925433569318.7605,=1379128967472,=929395137169.4980,=99.2653,=0.7222,=103.9860,=82.1011,=51.2138
2024-08-15,=6154.8247,=6686.7447,=1934115916190.5000,=1385164692557,=933788405502.3180,=99.8674,=0.7343,=104.0860,=81.9777,=50.2234
2024-08-14,=6119.6973,=6648.5814,=1918352369123.1101,=1379019762974,=928548878225.9440,=98.9691,=0.7201,=104.0860,=81.8595,=50.2234
2024-08-13,=6197.1683,=6732.7476,=1939758399170.7705,=1396726526069,=940776445857.1379,=100.2037,=0.7421,=104.0860,=81.7413,=50.2234
2024-08-12,=6148.4902,=6679.0893,=1926325043114.8501,=1386145189887,=933111667890.8060,=98.8320,=0.7196,=104.0860,=81.6646,=50.2234
2024-08-09,=6174.8429,=6707.7161,=1932747672463.1296,=1394193465326,=936509307756.5562,=97.8254,=0.7070,=104.0860,=81.5879,=50.2234
2024-08-08,=6161.0365,=6692.7182,=1925243499773.8696,=1392216717667,=936001357610.6738,=96.9606,=0.6976,=104.1132,=81.5873,=49.7210
