date,bond_10y_2y_spread,zz500_std20,hs300_pb,consume_rsi14,hs300_pe,margin_5d_chg,zz500_atr14,zz500_pb,zz500_ma5,zz500_pb_quantile,hs300_atr14,hs300_erp,hs300_ma5,bond10_macd_bar,consume_pe,consume_pe_quantile,margin_total,north_net,m0环比增长,m1环比增长,kc50_pe_p80,chip_ma5,pmi_生产经营活动预期指数,gold_rsi14,社融增量(亿元),kc50_pe_quantile,chip_macd_dif,gold_ma5,chip_std20,north_20d_sum,chip_ma20_vol,gold_std20,chip_obv,chip_macd_bar,社融存量增速(近似),chip_pb,kc50_ma20_vol
2015-01-05,0.318,0.0350038255308837,1.96,72.37337672909146,13.24,3.011083402001047,0.0373211766400995,2.92,1.4973999999993004,,0.1172010645261324,3.9277700906344406,3.5438000000038405,,25.4392,0.4745484400656814,1037927132359.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-06,0.3452,0.0351396542641079,1.95,73.46488811665456,13.25,3.2100818408485,0.0380125211658066,2.95,1.5007999999993005,,0.1156867027742658,3.911869811320755,3.577000000003841,,25.6192,0.4786535303776683,1045994364434.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-07,0.3886,0.0354380487866368,1.96,68.86071820874575,13.31,3.2092581572419787,0.0372259125111062,2.96,1.5089999999993002,,0.1120662240046754,3.8723480090157767,3.61340000000384,,25.3628,0.473727422003284,1057801770588.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-08,0.39,0.0326866226737025,1.91,68.44078665255262,12.95,3.133976644380354,0.0362812044745986,2.93,1.5195999999993002,,0.1120614937186271,4.080507722007722,3.63380000000384,,25.3461,0.473727422003284,1060898071626.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-09,0.3772,0.0326780936073857,1.91,62.30325631711556,12.95,4.124257048991442,0.0356896898692701,2.91,1.5247999999993005,,0.1171285298815823,4.087207722007722,3.63020000000384,,25.0517,0.4729064039408867,1067956909894.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-12,0.3827,0.0330493237723355,1.88,59.25142269682214,12.77,3.958789746310232,0.0352118548786079,2.87,1.5207999999993005,,0.1154050634614693,4.193753563038372,3.6016000000038404,,24.8375,0.4720853858784893,1079016485249.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-13,0.3516,0.0325972054293729,1.88,58.480193258743405,12.77,3.734604241308492,0.0362681509587074,2.91,1.5163999999993003,,0.1117332732142215,4.247253563038372,3.5766000000038405,,24.8488,0.4729064039408867,1085058114332.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-14,0.3215,0.030514837404069,1.88,53.94330290173237,12.75,3.7689545968370375,0.0351775687473711,2.89,1.5105999999993005,,0.1096808965560628,4.30203725490196,3.5502000000038407,,24.52,0.4696223316912972,1097669839046.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-15,0.3374,0.0280723672281367,1.95,56.94118788378715,13.24,4.929724304413408,0.0363077424082732,2.92,1.5125999999993005,,0.1112751182306297,4.006470090634441,3.559800000003841,,24.7472,0.4729064039408867,1113197421708.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
2015-01-16,0.2929,0.0272597744266153,1.97,58.39925648288982,13.39,4.723706799556848,0.0356429036648251,2.96,1.518999999999301,,0.1072554669284419,3.966559895444361,3.58100000000384,,25.003,0.4761904761904761,1118404063063.0,,0.0462,0.0002,,,47.4,,20516.0,,,,,,,,,,,,
