date,year,month,volatility_20d
2015-01-05,2015,1,
2015-01-06,2015,1,
2015-01-07,2015,1,
2015-01-08,2015,1,
2015-01-09,2015,1,
2015-01-12,2015,1,
2015-01-13,2015,1,
2015-01-14,2015,1,
2015-01-15,2015,1,
2015-01-16,2015,1,
2015-01-19,2015,1,53.79185249134522
2015-01-20,2015,1,53.97331699989459
2015-01-21,2015,1,56.92875099778932
2015-01-22,2015,1,54.54209265790958
2015-01-23,2015,1,52.49406942797751
2015-01-26,2015,1,50.80525882309917
2015-01-27,2015,1,49.20650621626392
2015-01-28,2015,1,47.95881825261918
2015-01-29,2015,1,46.62210074919592
2015-01-30,2015,1,45.43664308166858
2015-02-02,2015,2,44.73415817727629
2015-02-03,2015,2,45.81673376895651
2015-02-04,2015,2,45.89981473994592
2015-02-05,2015,2,45.50541235458172
2015-02-06,2015,2,45.68190997997378
2015-02-09,2015,2,45.98954635700122
2015-02-10,2015,2,46.69704247260927
2015-02-11,2015,2,46.78287229928536
2015-02-12,2015,2,45.53241328360899
2015-02-13,2015,2,45.46198537248588
2015-02-16,2015,2,27.284690400022036
2015-02-17,2015,2,26.00234037245907
2015-02-25,2015,2,20.924067408624808
2015-02-26,2015,2,23.59655700046878
2015-02-27,2015,2,23.552492677276256
2015-03-02,2015,3,23.47025660360703
2015-03-03,2015,3,25.191021994297152
2015-03-04,2015,3,24.72509707104909
2015-03-05,2015,3,24.61585732983116
2015-03-06,2015,3,24.285549511648192
2015-03-09,2015,3,23.523001682410705
2015-03-10,2015,3,22.429355986412084
2015-03-11,2015,3,21.92019842111469
2015-03-12,2015,3,22.00513953002443
2015-03-13,2015,3,20.903686294870827
2015-03-16,2015,3,21.989402118954825
2015-03-17,2015,3,21.475237212325972
2015-03-18,2015,3,22.81870770313802
2015-03-19,2015,3,23.148045490135008
2015-03-20,2015,3,23.358442444080264
2015-03-23,2015,3,23.90483445562281
2015-03-24,2015,3,24.02131090544183
2015-03-25,2015,3,23.147641680088668
2015-03-26,2015,3,21.476873283089017
2015-03-27,2015,3,21.344292787584028
2015-03-30,2015,3,23.33751795321063
2015-03-31,2015,3,20.78272509139774
2015-04-01,2015,4,21.02893649074585
2015-04-02,2015,4,20.44608850880632
2015-04-03,2015,4,19.89554233702929
2015-04-07,2015,4,19.76562918129026
2015-04-08,2015,4,18.83109932983974
2015-04-09,2015,4,19.585362135799635
2015-04-10,2015,4,19.975644796159266
2015-04-13,2015,4,20.05952774261404
2015-04-14,2015,4,19.57706734966961
2015-04-15,2015,4,20.46180528494461
2015-04-16,2015,4,21.310850280932844
2015-04-17,2015,4,20.91490515920611
2015-04-20,2015,4,23.55489477184788
2015-04-21,2015,4,23.62728280960532
2015-04-22,2015,4,24.372308392646328
2015-04-23,2015,4,24.02047352887168
2015-04-24,2015,4,24.276124357939675
2015-04-27,2015,4,24.612151847956664
2015-04-28,2015,4,24.40726245976349
2015-04-29,2015,4,23.426756671586705
2015-04-30,2015,4,23.50372216342368
2015-05-04,2015,5,23.2841636876176
2015-05-05,2015,5,28.123398779695
2015-05-06,2015,5,28.22957708348084
2015-05-07,2015,5,29.136055012767194
2015-05-08,2015,5,29.25603127650449
2015-05-11,2015,5,30.292319594550627
2015-05-12,2015,5,30.0645597971129
2015-05-13,2015,5,30.40350996511401
2015-05-14,2015,5,30.171097374667735
2015-05-15,2015,5,29.05062270674841
2015-05-18,2015,5,28.531694447093376
2015-05-19,2015,5,29.855219501658325
2015-05-20,2015,5,29.056880404263
2015-05-21,2015,5,28.359582463216334
2015-05-22,2015,5,29.219380062025675
2015-05-25,2015,5,30.86519759348509
2015-05-26,2015,5,30.51613920873706
2015-05-27,2015,5,29.90140298825376
2015-05-28,2015,5,39.4196747859284
2015-05-29,2015,5,39.4031684785306
2015-06-01,2015,6,43.39306284754515
2015-06-02,2015,6,40.73349083740928
2015-06-03,2015,6,40.62458518995187
2015-06-04,2015,6,39.66735920649935
2015-06-05,2015,6,39.61582727838161
2015-06-08,2015,6,38.9959944177685
2015-06-09,2015,6,39.29074042763817
2015-06-10,2015,6,38.97947071061024
2015-06-11,2015,6,38.91708650326227
2015-06-12,2015,6,37.81585026016767
2015-06-15,2015,6,39.116062267574414
2015-06-16,2015,6,39.333571481118426
2015-06-17,2015,6,39.53651447759094
2015-06-18,2015,6,41.88754031982974
2015-06-19,2015,6,46.768376993185846
