日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2013-02-01,=5579.0910,=5944.4000,=1144447293804.1003,=919314996904,=467367410292.6599,=3.8927,=0.0229,=6.6792,=5.8674,=4.9318
2013-01-31,=5515.2790,=5876.4000,=1133262073230.3000,=911097790277,=462526664583.7100,=3.8546,=0.0161,=6.6799,=5.8690,=4.9318
2013-01-30,=5560.2140,=5924.2800,=1142561852077.3999,=918417229084,=466239778393.9700,=3.8863,=0.0207,=6.6799,=5.8694,=4.9333
2013-01-29,=5534.4700,=5896.8500,=1136107333783.2002,=911682075716,=463690371058.4701,=3.8643,=0.0172,=6.6799,=5.8697,=4.9370
2013-01-28,=5509.3490,=5870.0900,=1132909144607.5000,=908419980525,=461742749082.5300,=3.8534,=0.0150,=6.6799,=5.8712,=4.9397
2013-01-25,=5536.4720,=5898.9800,=1147896052447.3000,=922842514994,=466100138440.0302,=3.9044,=0.0184,=6.6799,=5.8727,=4.9400
2013-01-24,=5601.2150,=5967.9700,=1164977994809.8000,=938306858944,=472554994061.7199,=3.9625,=0.0265,=6.6805,=5.8727,=4.9400
2013-01-23,=5698.5540,=6071.6800,=1183242204535.1003,=954281975589,=480694197219.4300,=4.0476,=0.0370,=6.6805,=5.8728,=4.9413
2013-01-22,=5686.5270,=6058.8700,=1180322872674.7998,=951917904765,=479760163549.4901,=4.0376,=0.0358,=6.6805,=5.8734,=4.9422
2013-01-21,=5735.4150,=6110.9600,=1188874024101.3999,=958063368547,=483261839202.1799,=4.0669,=0.0370,=6.6805,=5.8739,=4.9428
2013-01-18,=5823.5840,=6204.9000,=1210353506914.8000,=975781519557,=491581376414.1601,=4.1404,=0.0452,=6.6805,=5.8750,=4.9429
2013-01-17,=5791.8570,=6171.0900,=1207672100578,=974103569390,=489409370871.4802,=4.1312,=0.0418,=6.6869,=5.8760,=4.9429
2013-01-16,=5827.7840,=6209.3700,=1214583681840.8999,=979672369637,=492231122839.3101,=4.1548,=0.0453,=6.6869,=5.8770,=4.9433
2013-01-15,=5844.5710,=6227.2600,=1223050614485.7000,=987458358705,=494482097809.7100,=4.1838,=0.0465,=6.6869,=5.8780,=4.9450
2013-01-14,=5786.2480,=6165.1200,=1213567301173.3000,=979117166076,=489794197284.7001,=4.1514,=0.0442,=6.6869,=5.8813,=4.9504
2013-01-11,=5647.3960,=6017.1700,=1189893297418.8999,=962526058440,=479522412201.2400,=4.0704,=0.0385,=6.6869,=5.8845,=4.9559
2013-01-10,=5734.8270,=6110.3300,=1208439219991.5002,=977129800463,=486775540434.1199,=4.1338,=0.0408,=6.6896,=5.8896,=4.9559
2013-01-09,=5740.9190,=6116.8200,=1204967961596.7002,=979818834247,=487701210130.0701,=4.1937,=0.0444,=6.6896,=5.8947,=4.9626
2013-01-08,=5639.3760,=6008.6300,=1179875572098.2002,=960401633336,=478650959199.5699,=4.1064,=0.0398,=6.6896,=5.8949,=4.9629
2013-01-07,=5508.5550,=5869.2400,=1149712074317.3999,=936637607518,=467138329556.4300,=4.0014,=0.0340,=6.6896,=5.8951,=4.9647
2013-01-04,=5480.5000,=5839.3500,=1148700407111.9998,=936652028330,=465747023676.9799,=3.9979,=0.0328,=6.6896,=5.8958,=4.9679
2012-12-31,=5528.2650,=5890.2400,=1178758030190.2998,=962083849267,=483236541309.6602,=4.0703,=0.0352,=6.6898,=5.8965,=4.9679
2012-12-28,=5491.5410,=5851.1100,=1175147788790.6001,=958389462029,=481890545949.4300,=4.0579,=0.0341,=6.6898,=5.9007,=4.9720
2012-12-27,=5437.4720,=5793.5000,=1161457945803.1001,=946510090949,=476539604703.4399,=4.0106,=0.0329,=6.6898,=5.9049,=4.9729
2012-12-26,=5415.8980,=5770.5200,=1154248038305.6001,=940432322252,=474317429272.5399,=3.9857,=0.0306,=6.6898,=5.9065,=4.9781
2012-12-25,=5345.3160,=5695.3100,=1139899561715.2002,=929629107995,=468654167525.7200,=3.9362,=0.0212,=6.6898,=5.9081,=4.9800
2012-12-24,=5246.8640,=5590.4100,=1121058820594.3000,=915280016903,=460797990276.0501,=3.8711,=0.0165,=6.6922,=5.9095,=4.9800
2012-12-21,=5314.5240,=5662.5000,=1141803397597.3999,=932551671765,=468632586410.3198,=3.9427,=0.0201,=6.6922,=5.9109,=4.9824
2012-12-20,=5338.3500,=5687.8900,=1147637510645.0002,=936516302660,=470754137666.2100,=3.9629,=0.0237,=6.6922,=5.9143,=4.9838
2012-12-19,=5360.0510,=5711.0100,=1154415528437.7000,=940668879821,=472654858695.6498,=3.9863,=0.0261,=6.6922,=5.9177,=4.9856
2012-12-18,=5313.3260,=5661.2300,=1141912700504.7000,=929720328343,=467788809547.4300,=3.9431,=0.0202,=6.6922,=5.9204,=4.9922
2012-12-17,=5292.8940,=5639.4600,=1135410435256.0002,=923061515222,=465445924736.9201,=3.9207,=0.0190,=6.6931,=5.9231,=4.9922
2012-12-14,=5215.5300,=5557.0300,=1118249914800.3999,=907149253946,=458453967579.8599,=3.8614,=0.0155,=6.6931,=5.9246,=4.9923
2012-12-13,=5063.1620,=5394.6800,=1088407017647.1000,=883328622185,=445863191373.8600,=3.7584,=0.0060,=6.6931,=5.9262,=5.0004
2012-12-12,=5132.7680,=5468.8500,=1105158085459.9998,=898777774933,=452849878347.7100,=3.8162,=0.0119,=6.6931,=5.9302,=5.0045
2012-12-11,=5111.3520,=5446.0300,=1095616129027.7998,=889004733436,=449275931004.9702,=3.7832,=0.0072,=6.6931,=5.9342,=5.0047
2012-12-10,=5109.2410,=5443.7800,=1093122909215.2000,=884172100728,=448320698492.4199,=3.7746,=0.0060,=6.6945,=5.9355,=5.0047
2012-12-07,=5037.5360,=5367.3800,=1079633012307.5000,=872899042163,=442579971227.5601,=3.7281,=0.0048,=6.6945,=5.9368,=5.0083
2012-12-06,=4913.6840,=5235.4200,=1055193236611.9000,=851672907247,=431739999105.1701,=3.6437,=0.0024,=6.6945,=5.9372,=5.0147
2012-12-05,=4944.6260,=5268.3900,=1063625273901,=858220013896,=434661820055.8798,=3.6728,=0.0024,=6.6945,=5.9376,=5.0149
2012-12-04,=4846.2170,=5163.5300,=1045555735710.2998,=844413363664,=426783303149.5500,=3.6104,=0.0012,=6.6945,=5.9382,=5.0156
2012-12-03,=4814.4190,=5129.6500,=1040527953040.2002,=841802325664,=424877449490.6400,=3.5930,=0,=6.6973,=5.9387,=5.0156
2012-11-30,=5058.5370,=5389.7600,=1099141210331,=891608988098,=447769705001.1898,=3.7954,=0,=6.6973,=5.9433,=5.0165
2012-11-29,=5052.9790,=5383.8300,=1099398167618.1000,=894019992741,=448030802829.6601,=3.7963,=0.0012,=6.6973,=5.9480,=5.0208
2012-11-28,=5058.9300,=5390.1700,=1099339361124.2998,=893830295183,=448368791825.1301,=3.7961,=0,=6.6973,=5.9482,=5.0214
2012-11-27,=5128.3910,=5464.1800,=1113327643897.1001,=903606013880,=454216986902.0399,=3.8444,=0,=6.6973,=5.9484,=5.0226
2012-11-26,=5208.7220,=5549.7800,=1125399410632.8999,=904017479067,=460168689610.2500,=3.8861,=0,=6.6974,=5.9489,=5.0226
2012-11-23,=5313.5430,=5661.4600,=1148450344503.8003,=922586571919,=469783826100.0800,=3.9657,=0.0048,=6.6974,=5.9494,=5.0277
2012-11-22,=5255.3280,=5599.4300,=1132790032812,=909685562230,=464320490757.5900,=3.9116,=0,=6.6974,=5.9501,=5.0289
2012-11-21,=5328.5550,=5677.4500,=1148167573294.2998,=921839804865,=470548861128.4800,=3.9647,=0.0024,=6.6974,=5.9509,=5.0295
2012-11-20,=5318.7120,=5666.9700,=1145210193124.8999,=918901561429,=469268744082.2700,=3.9545,=0.0012,=6.6974,=5.9523,=5.0326
2012-11-19,=5327.9280,=5676.7900,=1144536068734.6997,=917768938098,=469606280406.3099,=3.9522,=0,=6.6998,=5.9538,=5.0326
