日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2022-09-07,=21285.5000,=26701.4600,=6617295225559.0703,=5933103703073,=2873231595670.7095,=3.6952,=0.6248,=4.2375,=3.4295,=3.0378
2022-09-06,=21581.6900,=27073.0200,=6712929802691.6797,=6019197554192,=2913089342500.7300,=3.7451,=0.6480,=4.2375,=3.4289,=3.0378
2022-09-05,=21521.2400,=26997.1800,=6685716858139.6904,=5992452886542,=2902635509814.3301,=3.7388,=0.6448,=4.2375,=3.4283,=3.0378
2022-09-02,=21826.3100,=27379.8800,=6800518780882.7197,=6098835204044,=2950768280852.5498,=3.7744,=0.6569,=4.2375,=3.4282,=3.0378
2022-09-01,=22061.2900,=27674.6400,=6864886041489.2598,=6155578327496,=2975943982405.3896,=3.7937,=0.6658,=4.2380,=3.4282,=3.0376
2022-08-31,=22369.3700,=28061.1100,=6979647471253.5889,=6264634317194,=3027460806260.9600,=3.8185,=0.6729,=4.2380,=3.4282,=3.0376
2022-08-30,=22180.9900,=27824.8100,=6866441650688.6016,=6153945755572,=2972653391672.2603,=3.8191,=0.6734,=4.2380,=3.4282,=3.0376
2022-08-29,=22200.9200,=27849.8000,=6880824173689.9102,=6171813542050,=2980388775919.2017,=3.8135,=0.6718,=4.2380,=3.4281,=3.0376
2022-08-26,=22425.5800,=28131.6300,=6954844466570.8896,=6241106570275,=3003930784952.6548,=3.8408,=0.6807,=4.2380,=3.4279,=3.0376
2022-08-25,=22185.5900,=27799,=6883744021992.4717,=6180077687764,=2976228760036.7202,=3.7839,=0.6612,=4.2382,=3.4279,=3.0375
2022-08-24,=21787.6500,=27299.0800,=6765558141827.3213,=6070805826100,=2925602857616.2856,=3.7288,=0.6417,=4.2382,=3.4278,=3.0375
2022-08-23,=21913.4200,=27456.6600,=6813592125021.6191,=6112452372743,=2945317027208.7197,=3.7847,=0.6617,=4.2382,=3.4277,=3.0375
2022-08-22,=22107.6600,=27700.0400,=6889873181129.3203,=6181442491738,=2975138296367.9922,=3.7878,=0.6634,=4.2382,=3.4276,=3.0375
2022-08-19,=21984.3500,=27545.5400,=6868212240581.9287,=6162933518739,=2966001894111.0649,=3.7427,=0.6489,=4.2382,=3.4275,=3.0375
2022-08-18,=21849.3700,=27376.4100,=6852054838301.3311,=6149180682330,=2941782200546.4424,=3.7606,=0.6541,=4.2394,=3.4275,=3.0373
2022-08-17,=22218.0400,=27838.3400,=6956995289363.0889,=6232619050617,=2986824064262.0869,=3.8150,=0.6716,=4.2394,=3.4273,=3.0373
2022-08-16,=22093.2200,=27681.9400,=6927966843693.9297,=6206681808670,=2974942558301.3062,=3.7932,=0.6658,=4.2394,=3.4272,=3.0373
2022-08-15,=22084.4200,=27670.9100,=6935310319819.0107,=6218478892394,=2973962943604.8228,=3.7907,=0.6654,=4.2394,=3.4267,=3.0373
