日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB等权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-17,=12327.9000,=17295.7800,=3867205312775.4102,=3539871471203,=1747150613827.4231,=2.3216,=0.0104,=4.0356,=3.3323,=2.9107
2026-07-16,=12536.4900,=17579.7200,=3917868936568.3198,=3584480778554,=1768529718720.8701,=2.3679,=0.0152,=4.0363,=3.3323,=2.9107
2026-07-15,=12439.5200,=17374.9400,=3894021685029.4609,=3564786415354,=1756912111915.2202,=2.3371,=0.0114,=4.0363,=3.3323,=2.9108
2026-07-14,=11997.6600,=16757.7800,=3764615653766.2905,=3446562190692,=1699026655662.8943,=2.2524,=0.0041,=4.0363,=3.3325,=2.9111
2026-07-13,=11953.6100,=16696.2500,=3749826531103.7202,=3432351807805,=1692985266805.0906,=2.2361,=0.0031,=4.0363,=3.3326,=2.9113
2026-07-10,=11968.1500,=16715.8500,=3747676555434.5190,=3431126058871,=1691240903985.1182,=2.2484,=0.0036,=4.0363,=3.3327,=2.9117
2026-07-09,=11736.4700,=16391.6300,=3674602259984.2500,=3364111476377,=1659377317753.1021,=2.1996,=0.0015,=4.0366,=3.3327,=2.9117
2026-07-08,=11853.8200,=16555.5300,=3717570730759.0103,=3405501999982,=1678919647054.9976,=2.2246,=0.0022,=4.0366,=3.3328,=2.9127
2026-07-07,=11942.8500,=16679.8700,=3720534174264.2100,=3403519464053,=1681112257361.3899,=2.2360,=0.0024,=4.0366,=3.3328,=2.9128
2026-07-06,=12125.1800,=16934.5200,=3781372883873.3789,=3459616950491,=1706419928279.6499,=2.2836,=0.0051,=4.0366,=3.3329,=2.9135
2026-07-03,=11888.2800,=16603.6600,=3725148660498.7998,=3411746420413,=1678835432499.6602,=2.2530,=0.0029,=4.0366,=3.3330,=2.9149
2026-07-02,=11885.5800,=16596.6300,=3730629610829.6299,=3437541824555,=1682533784486.0845,=2.2398,=0.0024,=4.0383,=3.3332,=2.9149
2026-07-01,=11921.4700,=16646.7300,=3730828662608.0698,=3437162323754,=1681324018671.8042,=2.2451,=0.0024,=4.0383,=3.3334,=2.9150
2026-06-30,=11658.4600,=16279.4800,=3670753232876.3701,=3387969928141,=1653837618888.9036,=2.1877,=0.0007,=4.0383,=3.3339,=2.9153
2026-06-29,=11779.9200,=16435.2900,=3705438497594.1382,=3417232441329,=1669930894480.4617,=2.2051,=0.0012,=4.0383,=3.3345,=2.9158
2026-06-26,=11451.0900,=15976.5100,=3613457297878.0308,=3331823489520,=1627194224046.8601,=2.1590,=0,=4.0383,=3.3346,=2.9160
2026-06-25,=11592.1800,=16135.2000,=3694360091674.5703,=3411171365808,=1661627763019.3645,=2.1993,=0.0007,=4.0384,=3.3347,=2.9160
2026-06-24,=11564.9200,=16097.2600,=3684781655792.2412,=3400790900198,=1656808215894.2500,=2.2114,=0.0010,=4.0384,=3.3348,=2.9162
2026-06-23,=11746.1100,=16332.9200,=3736214573913.3179,=3446620514913,=1680233112900.4199,=2.2546,=0.0012,=4.0384,=3.3349,=2.9162
2026-06-22,=11933.8800,=16589.4500,=3792983596949.9888,=3499627742518,=1706424076337.8440,=2.2918,=0.0041,=4.0384,=3.3349,=2.9170
2026-06-18,=11832.4800,=16448.5000,=3744536837043.0298,=3453459621087,=1683933586404.1399,=2.2824,=0.0027,=4.0384,=3.3349,=2.9172
2026-06-17,=12111.3800,=16831.7000,=3828650423210.6802,=3530658498753,=1721540811363.3721,=2.3297,=0.0068,=4.0385,=3.3352,=2.9172
2026-06-16,=12234.7800,=16989.1600,=3872266853592.8599,=3568822753659,=1740227070187.1541,=2.3539,=0.0083,=4.0385,=3.3354,=2.9175
2026-06-15,=12453.5700,=17292.9600,=3934258299925.5410,=3624949492278,=1768152136949.0081,=2.4029,=0.0124,=4.0385,=3.3356,=2.9175
2026-06-12,=12532.0100,=17381.2100,=4017229560115.6992,=3705322831127,=1809550890916.5120,=2.3494,=0.0075,=4.0385,=3.3357,=2.9176
2026-06-11,=12412.8100,=17214.6400,=3977528047951.8398,=3671878389198,=1792870972624.8464,=2.3099,=0.0053,=4.0385,=3.3357,=2.9180
2026-06-10,=12420.4600,=17225.2400,=3975981368811.8101,=3667967967166,=1791428467460.4141,=2.3259,=0.0061,=4.0385,=3.3357,=2.9180
2026-06-09,=12302.3500,=17061.4500,=3932140160305.9009,=3626385489669,=1771219779251.0295,=2.3054,=0.0049,=4.0385,=3.3359,=2.9187
2026-06-08,=12364.6500,=17147.8600,=3951115442425.5498,=3645120941738,=1780564644600.8335,=2.3212,=0.0054,=4.0385,=3.3360,=2.9189
2026-06-05,=12557.5100,=17410.3800,=4003300792466.5308,=3692284387914,=1802944192695.2524,=2.3654,=0.0080,=4.0385,=3.3360,=2.9191
2026-06-04,=12623.7600,=17432.8500,=4006648586394.9302,=3695886800789,=1808051345784.8535,=2.3651,=0.0078,=4.0385,=3.3361,=2.9196
2026-06-03,=12856.3300,=17740.8000,=4073558065846.1211,=3753771795261,=1836536625486.6875,=2.4154,=0.0117,=4.0400,=3.3363,=2.9196
2026-06-02,=13034.5700,=17979.3600,=4138458966668.8198,=3813213102302,=1865106637040.1599,=2.4493,=0.0132,=4.0400,=3.3365,=2.9205
2026-06-01,=13244.4800,=18268.4600,=4185941986086.4102,=3854188499644,=1885940605625.7395,=2.4957,=0.0171,=4.0400,=3.3366,=2.9211
2026-05-29,=13190.3900,=18193.8500,=4189991576584.6699,=3862601696716,=1889122092687.4116,=2.4625,=0.0141,=4.0400,=3.3367,=2.9212
2026-05-28,=12865.4100,=17745.5900,=4069919056588.0698,=3749573288476,=1833822110207.1985,=2.4124,=0.0115,=4.0400,=3.3371,=2.9214
2026-05-27,=13099.6500,=18067.6000,=4151302290140.9302,=3824021834990,=1869304217215.6699,=2.4522,=0.0129,=4.0411,=3.3375,=2.9214
2026-05-26,=13074.6100,=18016.2200,=4110709491533.8198,=3784342906208,=1853140738085.1465,=2.4458,=0.0127,=4.0411,=3.3375,=2.9216
2026-05-25,=13104.6400,=18049.8300,=4134015921145.0986,=3809386357559,=1862288805056.5315,=2.4385,=0.0122,=4.0411,=3.3376,=2.9223
2026-05-22,=13093.3400,=18034.2700,=4137037425066.8589,=3811210958596,=1862875114489.2544,=2.4407,=0.0122,=4.0411,=3.3377,=2.9223
2026-05-21,=13270.0800,=18277.7100,=4192190894349.5210,=3863258817448,=1890058555490.5640,=2.4616,=0.0127,=4.0411,=3.3377,=2.9227
2026-05-20,=13420.8000,=18483.4800,=4230777072330.7900,=3897104048284,=1906245910900.1096,=2.4982,=0.0161,=4.0422,=3.3380,=2.9227
2026-05-19,=13451.4600,=18525.7100,=4247127171147.1001,=3910692839382,=1913532437201.2280,=2.5032,=0.0171,=4.0422,=3.3382,=2.9229
2026-05-18,=13467.5700,=18547.8900,=4249274462522.2700,=3912923994043,=1914210154697.0603,=2.5038,=0.0171,=4.0422,=3.3385,=2.9230
2026-05-15,=13642.8100,=18781.5700,=4295479840818.6694,=3951725240816,=1935507258258.8601,=2.5298,=0.0198,=4.0422,=3.3388,=2.9231
2026-05-14,=13850.6700,=19067.7300,=4352859857293.6899,=4004978557057,=1960139379464.7200,=2.5817,=0.0283,=4.0422,=3.3389,=2.9247
2026-05-13,=13839.3100,=19052.1000,=4355778558935.4189,=4005848374334,=1960347960518.6597,=2.5891,=0.0296,=4.0451,=3.3390,=2.9247
2026-05-12,=13938.7100,=19188.9400,=4386589846841.7998,=4034753237321,=1974848330682.0896,=2.5995,=0.0320,=4.0451,=3.3393,=2.9249
2026-05-11,=14146.9700,=19475.6400,=4435101766829.7002,=4077283718202,=1997698190645.2600,=2.6286,=0.0408,=4.0451,=3.3395,=2.9255
2026-05-08,=14116.9500,=19434.3100,=4443811005627.6807,=4088227490889,=1995304325916.8997,=2.6272,=0.0396,=4.0451,=3.3396,=2.9257
2026-05-07,=14214.3600,=19568.4100,=4463413397332.0996,=4105774284925,=2003547092753.7695,=2.6417,=0.0448,=4.0451,=3.3398,=2.9257
2026-05-06,=14272.1200,=19647.9200,=4477518762516.7695,=4116421287578,=2010731858315.4297,=2.6614,=0.0519,=4.0472,=3.3399,=2.9257
2026-04-30,=14358.2300,=19766.4700,=4511969248634.1699,=4150988604855,=2025227604103.1597,=2.6630,=0.0521,=4.0472,=3.3401,=2.9267
2026-04-29,=14352.7300,=19758.9100,=4536968036493.9805,=4178086099275,=2019366941077.4705,=2.7072,=0.0624,=4.0472,=3.3402,=2.9273
2026-04-28,=14103.8500,=19404.0800,=4498226335356.2295,=4145827720900,=1996830517310.7903,=2.6516,=0.0485,=4.0472,=3.3403,=2.9275
2026-04-27,=14051.1500,=19331.5800,=4488132227004.8896,=4137719031290,=1991425984501.5801,=2.6670,=0.0522,=4.0472,=3.3404,=2.9278
2026-04-24,=14198.5100,=19534.3100,=4575848651483.5195,=4222826969453,=2030746639238.5701,=2.6855,=0.0563,=4.0488,=3.3405,=2.9278
2026-04-23,=14193.6000,=19527.5700,=4534798642900.8096,=4179299949373,=2011342913352.9597,=2.6788,=0.0551,=4.0488,=3.3405,=2.9286
2026-04-22,=14187.8000,=19519.5900,=4518719140259.0791,=4159906605785,=2005014642893.6204,=2.6760,=0.0547,=4.0488,=3.3406,=2.9291
2026-04-21,=14285.9000,=19654.5500,=4541717119266.5107,=4180220024052,=2016085183137.3701,=2.7077,=0.0615,=4.0488,=3.3408,=2.9294
2026-04-20,=14275.1100,=19633.0100,=4535673404376.8115,=4174475368596,=2014344283409.0803,=2.6940,=0.0576,=4.0488,=3.3410,=2.9294
2026-04-17,=14276.3700,=19634.7300,=4533542217399.7100,=4171528641305,=2013009982320.9500,=2.6969,=0.0586,=4.0495,=3.3411,=2.9294
2026-04-16,=14490.6600,=19929.4600,=4634635616878.6104,=4269289135429,=2060984537411.0095,=2.7251,=0.0667,=4.0495,=3.3412,=2.9315
2026-04-15,=14481.9200,=19917.4400,=4634575515929.5400,=4271457293775,=2073660474049.1299,=2.7195,=0.0650,=4.0495,=3.3413,=2.9316
2026-04-14,=14457.6900,=19884.1100,=4607657743749.8486,=4244820874826,=2061817044487.2700,=2.7264,=0.0673,=4.0495,=3.3415,=2.9317
2026-04-13,=14319.0500,=19693.4300,=4579813507314.1689,=4221554512979,=2047465922494.7900,=2.7061,=0.0602,=4.0495,=3.3415,=2.9323
2026-04-10,=14319.4300,=19693.9600,=4590750099562.3096,=4234287114852,=2052062351784.2100,=2.7010,=0.0592,=4.0504,=3.3416,=2.9323
2026-04-09,=14363.5200,=19754.6000,=4605847740059.8896,=4249179235377,=2059319474031.6003,=2.6995,=0.0590,=4.0504,=3.3416,=2.9329
2026-04-08,=14560.5300,=20025.5500,=4652592549117.5303,=4290196359405,=2080034799209.7507,=2.7362,=0.0698,=4.0504,=3.3416,=2.9332
2026-04-07,=14354.3500,=19741.9900,=4585476845754.2793,=4228914722427,=2048824597104.4497,=2.6994,=0.0587,=4.0504,=3.3418,=2.9333
2026-04-03,=14371.8400,=19766.0500,=4608937663167.1699,=4255528656647,=2060116559713.5105,=2.6809,=0.0556,=4.0504,=3.3421,=2.9333
2026-04-02,=14571.8400,=20041.1100,=4652577003036.7900,=4292360057475,=2079206452156.6399,=2.7190,=0.0637,=4.0532,=3.3422,=2.9333
2026-04-01,=14455.4900,=19881.0900,=4629942189284.9287,=4271030080252,=2056488923319.5601,=2.7073,=0.0598,=4.0532,=3.3424,=2.9334
2026-03-31,=14326.9400,=19704.2900,=4587502213135.7793,=4233075578895,=2040383785921.5601,=2.6756,=0.0546,=4.0532,=3.3425,=2.9335
2026-03-30,=14486.9800,=19924.3900,=4593629549050.6201,=4232070254769,=2039488928948.3999,=2.7218,=0.0637,=4.0532,=3.3425,=2.9336
2026-03-27,=14476.7400,=19910.3200,=4583563223977.0508,=4220058686851,=2035537029374.5305,=2.7099,=0.0601,=4.0532,=3.3425,=2.9342
2026-03-26,=14222.8400,=19561.1200,=4509398035931.3711,=4152172608033,=2004601618343.6997,=2.6620,=0.0519,=4.0555,=3.3425,=2.9342
2026-03-25,=14365.1300,=19756.8100,=4551223623462.9209,=4189053218949,=2021747308902.7795,=2.6901,=0.0561,=4.0555,=3.3426,=2.9345
2026-03-24,=14255.9700,=19606.6900,=4524999395381.7402,=4166691438420,=2010077121923.7800,=2.6741,=0.0539,=4.0555,=3.3426,=2.9351
2026-03-23,=14184.7700,=19508.7500,=4509307618457.3096,=4150202417575,=2003195058284.0703,=2.6438,=0.0458,=4.0555,=3.3427,=2.9352
2026-03-20,=14761.7900,=20302.3500,=4668538604123.1309,=4290058387188,=2073305758699.0601,=2.7534,=0.0742,=4.0555,=3.3429,=2.9352
2026-03-19,=14839.0400,=20408.6000,=4695949949804.3193,=4315512099297,=2083953265604.2695,=2.7883,=0.0912,=4.0589,=3.3431,=2.9352
2026-03-18,=15038.0700,=20682.3400,=4753312521074.7305,=4367872834803,=2109876085280.3296,=2.8297,=0.1211,=4.0589,=3.3434,=2.9353
2026-03-17,=15182.5100,=20880.9800,=4802918498397.2695,=4412231307619,=2130943622309.1997,=2.8569,=0.1445,=4.0589,=3.3434,=2.9354
2026-03-16,=15203.5900,=20909.9800,=4783314339732.7100,=4390839113055,=2120855133159.1909,=2.8874,=0.1712,=4.0589,=3.3434,=2.9355
2026-03-13,=15037.7900,=20681.9500,=4698045359605.4688,=4306222882983,=2082998013364.6897,=2.8720,=0.1589,=4.0589,=3.3437,=2.9360
2026-03-12,=14996.3300,=20624.9300,=4656274432178.4102,=4268459638359,=2068703011891.5601,=2.8656,=0.1538,=4.0594,=3.3439,=2.9360
2026-03-11,=14930.4300,=20534.2900,=4656989828860.2891,=4270903426994,=2066226746888.3203,=2.8621,=0.1496,=4.0594,=3.3446,=2.9361
2026-03-10,=14848.1300,=20421.1000,=4642180918791.7305,=4258898434268,=2059495200219.9500,=2.8350,=0.1259,=4.0594,=3.3452,=2.9368
2026-03-09,=14865.4200,=20443.9500,=4643509924539.8906,=4254688751632,=2058316928524.4604,=2.8361,=0.1274,=4.0594,=3.3453,=2.9368
2026-03-06,=14896.7700,=20487.0600,=4644930799379.5498,=4268538334264,=2063414922432.2495,=2.8397,=0.1292,=4.0594,=3.3453,=2.9370
2026-03-05,=14530.5400,=19983.3900,=4567358113063.9902,=4201579763481,=2028450637960.3203,=2.7683,=0.0813,=4.0595,=3.3460,=2.9370
2026-03-04,=14578.5000,=20049.3500,=4575564756688.7510,=4206195248782,=2033430511444.5205,=2.7842,=0.0872,=4.0595,=3.3467,=2.9373
2026-03-03,=14729.1900,=20256.6000,=4635122386645.4600,=4267309933778,=2059392488005.1504,=2.8062,=0.1043,=4.0595,=3.3470,=2.9377
2026-03-02,=14771.4000,=20314.6400,=4656023209181.3398,=4288224649167,=2070220899352.4304,=2.8171,=0.1113,=4.0595,=3.3473,=2.9386
2026-02-27,=14897.7900,=20488.4600,=4699499307247.2998,=4327866209310,=2088708350913.3904,=2.8370,=0.1269,=4.0595,=3.3473,=2.9391
2026-02-26,=14816.5100,=20376.3900,=4697830672392.7402,=4330235406309,=2086557466493.7100,=2.8102,=0.1066,=4.0599,=3.3473,=2.9391
2026-02-25,=14934.3100,=20538.4000,=4749114791041.1191,=4381346077929,=2109455989051.1799,=2.8215,=0.1123,=4.0599,=3.3474,=2.9397
2026-02-24,=14850.0400,=20422.5100,=4707940290785.4600,=4342018751187,=2090257309811.1597,=2.7980,=0.0980,=4.0599,=3.3476,=2.9398
2026-02-13,=14952.5200,=20563.4400,=4747621961611.6406,=4379469665446,=2108428510934.4199,=2.7945,=0.0956,=4.0599,=3.3477,=2.9398
2026-02-12,=14996.4400,=20623.8300,=4757038333635.3906,=4386580501972,=2112314552757.1499,=2.8169,=0.1102,=4.0599,=3.3478,=2.9406
2026-02-11,=15197.6100,=20900.5000,=4819139421446.6807,=4443315159899,=2139446163999.0200,=2.8567,=0.1417,=4.0600,=3.3480,=2.9406
2026-02-10,=15179.8400,=20876.0600,=4815774851070.9717,=4440817496534,=2138315370438.7200,=2.8373,=0.1259,=4.0600,=3.3482,=2.9410
2026-02-09,=15363.3800,=21126.0800,=4875056849460.4102,=4496297300881,=2164795682061.7395,=2.8586,=0.1435,=4.0600,=3.3482,=2.9412
2026-02-06,=15333.4800,=21084.9600,=4857497882741.7402,=4480207324318,=2157108549267.5105,=2.8429,=0.1309,=4.0600,=3.3482,=2.9416
2026-02-05,=15518.6100,=21332.2000,=4927647255085.5107,=4560442447591,=2193463314318.8000,=2.8479,=0.1341,=4.0600,=3.3482,=2.9417
2026-02-04,=15391.3300,=21157.2400,=4863915426314.7197,=4501121845133,=2167664838992.1697,=2.8290,=0.1190,=4.0617,=3.3482,=2.9417
2026-02-03,=15073.7500,=20720.6900,=4745238815118.1299,=4388492083038,=2115165537193.5403,=2.7920,=0.0938,=4.0617,=3.3482,=2.9421
2026-02-02,=14936.8700,=20532.5300,=4659444294889.7793,=4315541739218,=2079984343468.7400,=2.7707,=0.0816,=4.0617,=3.3482,=2.9421
2026-01-30,=14964.9900,=20571.1800,=4635652268249.8516,=4284535598716,=2069113679275.5300,=2.8236,=0.1139,=4.0617,=3.3483,=2.9424
2026-01-29,=15341.6900,=21074.3500,=4763441086292.2295,=4404962630314,=2122739426896.6204,=2.8822,=0.1624,=4.0617,=3.3483,=2.9431
2026-01-28,=14575.3300,=20021.6300,=4472210302759.7090,=4126046500345,=1995473393632.5500,=2.7731,=0.0824,=4.0619,=3.3484,=2.9431
2026-01-27,=14583.6700,=20033.0900,=4493441270063.0391,=4146692876668,=2006040231400.9199,=2.7608,=0.0777,=4.0619,=3.3485,=2.9434
2026-01-26,=14819.2100,=20356.6300,=4541315227885.3896,=4187017313205,=2027339943768.4905,=2.8122,=0.1061,=4.0619,=3.3488,=2.9436
2026-01-23,=14860.6100,=20413.5000,=4545696704520.3711,=4193727397388,=2029194484295.2400,=2.8232,=0.1123,=4.0619,=3.3490,=2.9444
2026-01-22,=14860.5800,=20413.4700,=4549014031043.1904,=4198763117223,=2030581322097.6599,=2.8101,=0.1054,=4.0619,=3.3492,=2.9454
2026-01-21,=14899.8500,=20467.4100,=4569365779817.0293,=4217756375275,=2039431486059.1599,=2.8082,=0.1047,=4.0622,=3.3493,=2.9454
2026-01-20,=15098.3500,=20740.0800,=4635844119287.7813,=4280592202433,=2068825506363.5093,=2.8307,=0.1181,=4.0622,=3.3495,=2.9455
2026-01-19,=15047.2100,=20669.8400,=4625137343544.0215,=4271366621818,=2065379359728.2505,=2.8081,=0.1045,=4.0622,=3.3497,=2.9457
2026-01-16,=15035.5700,=20653.8500,=4632059339515.2900,=4280491569851,=2066993712094.3999,=2.7777,=0.0851,=4.0622,=3.3498,=2.9458
2026-01-15,=15213.5600,=20898.3400,=4673422582284.3604,=4317568487019,=2087241210707.7800,=2.8019,=0.1005,=4.0622,=3.3499,=2.9460
2026-01-14,=15271.5900,=20978.0600,=4696357740639.8701,=4338124714671,=2097660960699.7400,=2.8065,=0.1031,=4.0653,=3.3500,=2.9460
2026-01-13,=15342.4400,=21075.3700,=4725934058888.4307,=4369027210091,=2110505676147.0801,=2.8155,=0.1061,=4.0653,=3.3502,=2.9461
2026-01-12,=15496.5800,=21287.1200,=4769106576724.4297,=4407889569931,=2130420509910.5903,=2.8403,=0.1245,=4.0653,=3.3503,=2.9465
2026-01-09,=15414.9800,=21175.0300,=4743690752222.5908,=4385339372275,=2120365047685.2505,=2.8225,=0.1104,=4.0653,=3.3505,=2.9471
2026-01-08,=15357.9300,=21096.6500,=4725959072430.3496,=4367861478115,=2111432385404.1404,=2.8048,=0.1024,=4.0653,=3.3508,=2.9477
2026-01-07,=15456,=21231.3700,=4752421808526.4814,=4393748817184,=2126724984361.5295,=2.8075,=0.1034,=4.0668,=3.3511,=2.9477
2026-01-06,=15564.9100,=21380.9800,=4778892855996.4805,=4418238147479,=2139142683161.2900,=2.8170,=0.1075,=4.0668,=3.3511,=2.9477
2026-01-05,=15430.1200,=21195.8200,=4749514064277.0303,=4393097756607,=2126115024204.2800,=2.7865,=0.0885,=4.0668,=3.3511,=2.9478
2025-12-31,=15248.5700,=20946.4300,=4653682201413.0898,=4301136521305,=2086085984673.1001,=2.7618,=0.0793,=4.0668,=3.3513,=2.9479
2025-12-30,=15348.4200,=21083.6000,=4688896805895.9609,=4333436993265,=2101811876021.6001,=2.7723,=0.0818,=4.0668,=3.3514,=2.9479
2025-12-29,=15347.7200,=21082.6300,=4702477869894.7412,=4349140436074,=2107902336828.5403,=2.7764,=0.0841,=4.0669,=3.3518,=2.9479
2025-12-26,=15415.9700,=21174.3300,=4732764514052.9404,=4379591688851,=2120773360442.0696,=2.7979,=0.0961,=4.0669,=3.3521,=2.9487
2025-12-25,=15472.5100,=21251.9800,=4741948839552.4404,=4392077480694,=2126145130444.3701,=2.8073,=0.1021,=4.0669,=3.3524,=2.9487
2025-12-24,=15362.2600,=21100.5500,=4706028706778.3994,=4357426083452,=2109131556905.8701,=2.7917,=0.0919,=4.0669,=3.3526,=2.9487
2025-12-23,=15459.6000,=21234.2600,=4732744702415.0605,=4381351504888,=2121253573207.8701,=2.7997,=0.0977,=4.0669,=3.3528,=2.9491
2025-12-22,=15561.0800,=21373.6400,=4752973518312.7393,=4398298534775,=2130956534298.9700,=2.8242,=0.1094,=4.0700,=3.3530,=2.9491
2025-12-19,=15554.4400,=21364.5100,=4753954325487.0303,=4399342933199,=2131561568273.0095,=2.8186,=0.1065,=4.0700,=3.3532,=2.9495
2025-12-18,=15453.3800,=21189.7400,=4753485297170.9199,=4401753041032,=2132412516771.6899,=2.7752,=0.0825,=4.0700,=3.3534,=2.9497
2025-12-17,=15537.4500,=21252.0100,=4776916643440.1826,=4423829449014,=2142218319639.7700,=2.7761,=0.0838,=4.0700,=3.3537,=2.9497
2025-12-16,=15477.0600,=21134.1200,=4750608906503.0684,=4399746791068,=2131603960010.2600,=2.7633,=0.0800,=4.0700,=3.3541,=2.9500
2025-12-15,=15507.0400,=21175.0700,=4759403250471.7090,=4409260570469,=2135449309971.0601,=2.7724,=0.0818,=4.0734,=3.3546,=2.9500
2025-12-12,=15417.2900,=21049.7900,=4775315232252.0303,=4433481430830,=2131265341519.8301,=2.7513,=0.0746,=4.0734,=3.3551,=2.9501
2025-12-11,=15332.5200,=20934.0600,=4754937793704.9404,=4415293648713,=2119378767782.1003,=2.7458,=0.0721,=4.0734,=3.3551,=2.9509
2025-12-10,=15418.4000,=21051.3100,=4763121379915.6914,=4419473180752,=2122750756083.9199,=2.7758,=0.0826,=4.0734,=3.3551,=2.9516
2025-12-09,=15358.9200,=20970.1000,=4744719146475.3213,=4403177567829,=2116252610166.4800,=2.7594,=0.0771,=4.0734,=3.3555,=2.9518
2025-12-08,=15545.9000,=21225.3900,=4800630856607.5400,=4456663000301,=2142713115734.9800,=2.7866,=0.0862,=4.0737,=3.3559,=2.9518
2025-12-05,=15670.3600,=21395.3200,=4840887917751.8213,=4494181394939,=2160209719222.2705,=2.7999,=0.0957,=4.0737,=3.3559,=2.9519
2025-12-04,=15636.7100,=21349.3800,=4824950465017.5322,=4479600178837,=2153906444835.0901,=2.7862,=0.0860,=4.0737,=3.3559,=2.9521
2025-12-03,=15792.7100,=21562.3700,=4864814081629.8994,=4517062814100,=2170925173405.6499,=2.8160,=0.1018,=4.0737,=3.3561,=2.9521
2025-12-02,=15917.9100,=21733.3100,=4902427730517.7813,=4550920741724,=2185841216988.9204,=2.8357,=0.1163,=4.0737,=3.3563,=2.9522
2025-12-01,=16047.2000,=21909.8300,=4942822335920.7207,=4588147474705,=2203994662587.0698,=2.8448,=0.1229,=4.0754,=3.3563,=2.9522
2025-11-28,=16082.9900,=21958.7000,=4949572630140.2813,=4593547099889,=2208669322232.8896,=2.8407,=0.1189,=4.0754,=3.3564,=2.9527
2025-11-27,=15989.5400,=21831.1000,=4931463585591.0801,=4577151474191,=2198444711788.2805,=2.8263,=0.1084,=4.0754,=3.3565,=2.9530
2025-11-26,=15992.0400,=21834.5200,=4931988997103.5088,=4578413927238,=2200021483848.7598,=2.8294,=0.1102,=4.0754,=3.3565,=2.9532
2025-11-25,=16002.6100,=21848.9600,=4931513913169.7510,=4575207961973,=2199637450800.5796,=2.8409,=0.1185,=4.0754,=3.3565,=2.9533
2025-11-24,=15973.3500,=21809.0100,=4935741732901.5391,=4579709411786,=2200208404177.2295,=2.8349,=0.1145,=4.0787,=3.3565,=2.9533
2025-11-21,=15990.6600,=21832.6400,=4960894686387.7285,=4604264339913,=2209496543362.9697,=2.8402,=0.1178,=4.0787,=3.3568,=2.9537
2025-11-20,=16116.8200,=22004.8800,=4990572525962.9883,=4627873589412,=2221772145139.2104,=2.8832,=0.1535,=4.0787,=3.3570,=2.9545
2025-11-19,=16202.7700,=22122.2500,=5014175605235.0986,=4645856520772,=2231202691792.9600,=2.9091,=0.1669,=4.0787,=3.3572,=2.9546
2025-11-18,=16252.0300,=22189.5000,=5030311365866.1797,=4661111876675,=2238409251005.1299,=2.9176,=0.1727,=4.0787,=3.3573,=2.9548
2025-11-17,=16252.6300,=22188.8200,=5030927979606.5908,=4660548008108,=2235104114277.0103,=2.9323,=0.1808,=4.0796,=3.3574,=2.9548
2025-11-14,=16333.6400,=22299.4100,=5032591239674.2197,=4652926288185,=2235366822028.7100,=2.9495,=0.1949,=4.0796,=3.3575,=2.9554
2025-11-13,=16528.6400,=22565.6300,=5087406163447.8711,=4703025441642,=2259903541317.5596,=2.9785,=0.2191,=4.0796,=3.3577,=2.9559
2025-11-12,=16444.6800,=22451.0100,=5064990522033.6094,=4680705526020,=2249504921849.0303,=2.9612,=0.2048,=4.0796,=3.3580,=2.9559
2025-11-11,=16433.4800,=22435.7200,=5058236877482,=4673318568718,=2245770522581,=2.9509,=0.1961,=4.0796,=3.3584,=2.9559
2025-11-10,=16448.9200,=22456.8000,=5061579576179.8506,=4679075319348,=2248649690388.4204,=2.9454,=0.1908,=4.0801,=3.3589,=2.9559
2025-11-07,=15911.7300,=21723.4000,=4915575273961.4600,=4546799904039,=2184520934807.5503,=2.8649,=0.1380,=4.0801,=3.3590,=2.9559
2025-11-06,=15900.1900,=21707.6400,=4913360187145.3613,=4545521249781,=2184035756709.8296,=2.8636,=0.1365,=4.0801,=3.3590,=2.9564
2025-11-05,=15882.9800,=21684.1500,=4894430492935.0391,=4526277232896,=2175490473034.6001,=2.8638,=0.1366,=4.0801,=3.3590,=2.9565
2025-11-04,=15907.2700,=21717.3100,=4912662027888.8389,=4544086635340,=2182057072717.8601,=2.8639,=0.1366,=4.0801,=3.3590,=2.9572
2025-11-03,=16143.9900,=22040.4900,=4969605010111.3701,=4594098575438,=2206997770475.5405,=2.8971,=0.1588,=4.0809,=3.3591,=2.9572
2025-10-31,=16095.4100,=21950.9500,=4956506635361.2598,=4581517503727,=2200230272264.0898,=2.8809,=0.1510,=4.0809,=3.3592,=2.9576
2025-10-30,=15966.9100,=21775.7000,=4921659556825.5693,=4553338745141,=2189133050738.7500,=2.8844,=0.1536,=4.0809,=3.3593,=2.9579
2025-10-29,=16011.7800,=21836.8900,=4936817972844.3203,=4566818032170,=2203199173810.4302,=2.9006,=0.1609,=4.0809,=3.3594,=2.9582
2025-10-28,=16016.2700,=21843.0200,=4951470252264.9902,=4583681308948,=2210514018599.3296,=2.9077,=0.1653,=4.0809,=3.3595,=2.9583
2025-10-27,=16077.5200,=21926.5500,=4958901188155.2002,=4589764802282,=2214402326448.6196,=2.9329,=0.1792,=4.0812,=3.3596,=2.9583
2025-10-24,=16021.2900,=21849.8700,=4960280607533.6895,=4595904482822,=2213529454637.3799,=2.9273,=0.1767,=4.0812,=3.3597,=2.9584
