date,net_value,turnover
2015-09-07,1.111156,0.024247967
2015-09-08,1.1002376,0.010301746
2015-09-09,1.1010174,0.011182696
2015-09-10,1.0712395,0.016169846
2015-09-11,1.0519686,0.014614999
2015-09-14,1.0867134,0.014422089
2015-09-15,1.0766596,0.014988981
2015-09-16,1.0813938,0.021358222
2015-09-17,1.0969034,0.010862879
2015-09-18,1.0965272,0.0028702617
2015-09-21,1.0881703,0.009912692
2015-09-22,1.0939109,0.0056065917
2015-09-23,1.0800964,0.011547253
2015-09-24,1.0880133,0.004237406
2015-09-25,1.0790273,0.008425936
2015-09-28,1.0817087,0.003361784
2015-09-29,1.1027547,0.012016475
2015-09-30,1.1069963,0.0074681565
2015-10-08,1.1298026,0.036361568
2015-10-09,1.129451,0.0067036897
2015-10-12,1.1280707,0.019529581
2015-10-13,1.1433659,0.0052069053
2015-10-14,1.1486261,0.010111734
2015-10-15,1.1475575,0.017048866
2015-10-16,1.151638,0.009485461
2015-10-19,1.128534,0.0037663803
2015-10-20,1.1400638,0.0076641366
2015-10-21,1.1547678,0.018702433
2015-10-22,1.1541587,0.009353928
2015-10-23,1.1539286,0.009194732
2015-10-26,1.1454505,0.0030385256
2015-10-27,1.1473281,0.0035924017
2015-10-28,1.1488031,0.011459835
2015-10-29,1.1402003,0.009819381
2015-10-30,1.1357739,0.008008547
2015-11-02,1.1619474,0.035682835
2015-11-03,1.1621312,0.0042064413
2015-11-04,1.171632,0.03201495
2015-11-05,1.1791658,0.007439159
2015-11-06,1.1759611,0.011978984
2015-11-09,1.1796991,0.0153791085
2015-11-10,1.1785346,0.005204484
2015-11-11,1.1696452,0.008422464
2015-11-12,1.1772444,0.0033127815
2015-11-13,1.1714087,0.010735549
2015-11-16,1.1661086,0.0061641857
2015-11-17,1.178015,0.0016242042
2015-11-18,1.1802142,0.005457729
2015-11-19,1.1745669,0.0066808388
2015-11-20,1.1781836,0.002501458
2015-11-23,1.1827363,0.0065450296
2015-11-24,1.1794993,0.0039265305
2015-11-25,1.1506001,0.0045844465
2015-11-26,1.1509902,0.007903673
2015-11-27,1.1576793,0.034143575
