日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2012-07-03,=6348.3950,,=1358795546777.6001,=1091168910530,=550221189495.8538,=30.8717,=0.0508,=56.7470,=49.0637,=36.5892
2012-07-02,=6283.6000,,=1337712493746.8999,=1072844412392,=542545460734.7530,=30.8654,=0.0481,=56.8050,=49.0649,=36.5892
2012-06-29,=6178.4050,,=1268314038830.8000,=1034853053574,=520434531414.2949,=30.3514,=0.0317,=56.8050,=49.0662,=36.6393
2012-06-28,=6078.3510,,=1248342225348.3997,=1018828572008,=511835215393.5363,=29.8456,=0.0138,=56.8050,=49.0853,=36.8577
2012-06-27,=6114.6810,,=1257525587446.7002,=1027475512430,=515476455385.5941,=30.0245,=0.0221,=56.8050,=49.1044,=36.9167
2012-06-26,=6063.3560,,=1246174055715.3999,=1017906330131,=510748226104.4870,=29.8570,=0.0138,=56.8050,=49.1231,=36.9294
2012-06-25,=6091.6510,,=1253488009570.6001,=1021952643285,=512954031822.7394,=29.9334,=0.0180,=56.8329,=49.1418,=36.9294
2012-06-21,=6169.8990,,=1268235570305.1003,=1034109400906,=519131238606.5103,=30.4184,=0.0277,=56.8329,=49.1487,=36.9440
2012-06-20,=6243.9840,,=1281087640221.2000,=1047701163005,=525725523012.1738,=30.6315,=0.0347,=56.8329,=49.1557,=36.9711
2012-06-19,=6280.8950,,=1287705800415.1001,=1053210800772,=528696570385.6874,=30.8602,=0.0376,=56.8329,=49.1942,=37.1092
2012-06-18,=6333.2090,,=1300014447879,=1063207465999,=533269270131.7701,=31.1202,=0.0543,=56.8329,=49.2327,=37.1469
2012-06-15,=6288.6460,,=1292054059110.6001,=1053333831898,=528915315736.7454,=30.9946,=0.0432,=56.9079,=49.2421,=37.1469
2012-06-14,=6351.4430,,=1299189245585.8999,=1060322876597,=533690457526.3100,=31.0693,=0.0475,=56.9079,=49.2514,=37.2382
2012-06-13,=6279.6640,,=1283450632289.7996,=1045999226476,=527048963159.0751,=30.8690,=0.0378,=56.9079,=49.2574,=37.2543
2012-06-12,=6117.2980,,=1252448423589.1001,=1020334077790,=513700059935.1306,=30.1040,=0.0196,=56.9079,=49.2633,=37.2984
2012-06-11,=6144.3510,,=1258041780252.8999,=1026192418434,=516251252271.6703,=30.2182,=0.0224,=56.9079,=49.2691,=37.3176
2012-06-08,=6123.7150,,=1257456525122.3003,=1026654609080,=515522185883.8720,=29.9113,=0.0154,=56.9285,=49.2749,=37.3176
2012-06-07,=6169.1210,,=1266320454735.2998,=1032346341711,=518823529964.4496,=30.1526,=0.0183,=56.9285,=49.3362,=37.3663
2012-06-06,=6177.5900,,=1267589031411,=1032608163828,=532242294185.1163,=30.2826,=0.0197,=56.9285,=49.3976,=37.3761
2012-06-05,=6217.9010,,=1276894971983.1001,=1040848765693,=536229918320.3930,=30.5182,=0.0240,=56.9285,=49.4311,=37.6158
2012-06-04,=6194.6970,,=1270221476755.8999,=1034807855863,=533607115341.8133,=30.5086,=0.0226,=56.9285,=49.4646,=37.6195
2012-06-01,=6322.7490,,=1294564319416.2000,=1054547760497,=544320931884.9903,=31.2217,=0.0424,=56.9939,=49.4779,=37.6195
2012-05-31,=6282.0370,,=1285796734883.3000,=1044251363839,=539763558715.2202,=31.0652,=0.0354,=56.9939,=49.4911,=37.6246
2012-05-30,=6236.4950,,=1272597891066.2002,=1032188039833,=534597071964.3427,=30.9326,=0.0312,=56.9939,=49.5411,=37.7911
2012-05-29,=6252.5480,,=1273255933860.5996,=1032517906062,=535252976396.8326,=31.0776,=0.0369,=56.9939,=49.5911,=37.7951
2012-05-28,=6209.1930,,=1266257336144.7000,=1027015736465,=531997226740.0873,=30.7426,=0.0256,=56.9939,=49.5935,=37.8073
2012-05-25,=6126.4880,,=1246854654394.1001,=1011059157490,=524122921105.8328,=30.4912,=0.0214,=57.0004,=49.5959,=37.8073
2012-05-24,=6221.6950,,=1265940405407,=1026806491429,=532396745238.7426,=31.0159,=0.0285,=57.0004,=49.6945,=37.8452
2012-05-23,=6387.0600,,=1302477149701.3003,=1059007089132,=547152832663.8604,=31.5869,=0.0471,=57.0004,=49.7931,=37.8488
2012-05-22,=6389.9350,,=1304512817025.8994,=1059149373850,=547572899675.4822,=31.6599,=0.0501,=57.0004,=49.8220,=37.8963
2012-05-21,=6284.6410,,=1283567906880.8000,=1040679680523,=538112307748.0806,=31.0747,=0.0315,=57.0004,=49.8508,=37.9205
2012-05-18,=6190.1660,,=1260625863110.4004,=1024542589403,=530200452756.6087,=31.0470,=0.0287,=57.0049,=49.8970,=37.9205
2012-05-17,=6284.5900,,=1278424979060.6001,=1039331479578,=537918567046.5930,=31.6200,=0.0445,=57.0049,=49.9431,=37.9817
2012-05-16,=6237.4950,,=1270532259623.5000,=1032861745079,=534164340630.7546,=31.3429,=0.0360,=57.0049,=49.9533,=38.0162
2012-05-15,=6333.9710,,=1291430976391.3999,=1049708398760,=542361440145.7060,=31.7732,=0.0504,=57.0049,=49.9635,=38.0324
2012-05-14,=6298.9140,,=1284167705427.3999,=1044505886235,=539599540619.8597,=31.5826,=0.0418,=57.0049,=49.9759,=38.0811
2012-05-11,=6387.7380,,=1304149479925.2002,=1061719473026,=547523441852.5774,=31.7916,=0.0506,=57.0659,=49.9883,=38.0811
2012-05-10,=6391.6830,,=1306989929228.7000,=1061419047556,=547920488723.8829,=31.7858,=0.0492,=57.0659,=49.9915,=38.0887
2012-05-09,=6397.1650,,=1307550817570.2998,=1064102382222,=548786040016.1128,=31.6362,=0.0420,=57.0659,=49.9946,=38.1043
2012-05-08,=6496.6540,,=1326858735723.3999,=1081238052034,=557460309005.9736,=32.2097,=0.0581,=57.0659,=50.0303,=38.1260
2012-05-07,=6547.0580,,=1335732060624.3997,=1088701378677,=561749846525.6057,=32.4640,=0.0640,=57.0659,=50.0661,=38.1982
2012-05-04,=6487.1880,,=1324789028428.7002,=1080296240072,=557093245741.3181,=32.3450,=0.0626,=57.0989,=50.0725,=38.1982
2012-05-03,=6374.1410,,=1299236571766.5996,=1058435489072,=546842830036.5626,=31.9166,=0.0510,=57.0989,=50.0789,=38.3813
2012-05-02,=6298.4600,,=1286754595438,=1047773952500,=541290540326.9358,=31.4112,=0.0394,=57.0989,=50.0991,=38.3957
2012-04-27,=6234.2650,,=1273890181720.3999,=1038300041280,=539919133910.3989,=31.2635,=0.0336,=57.0989,=50.1193,=38.5518
2012-04-26,=6173.7750,,=1255572727882.7000,=1024007962719,=531921012690.1790,=32.0038,=0.0498,=57.0989,=50.1293,=38.6986
2012-04-25,=6125.0570,,=1244076754059.1001,=1013634941060,=527040324799.8175,=33.2208,=0.0821,=57.1162,=50.1393,=38.6986
2012-04-24,=6089.1670,,=1237418615468.8999,=1008370353549,=523645439539.0511,=33.0032,=0.0749,=57.1162,=50.1671,=38.8248
2012-04-23,=6103.9840,,=1241167251309.3000,=1010457852651,=524867836226.2400,=33.3595,=0.0868,=57.1162,=50.1949,=38.9055
2012-04-20,=6159.2550,,=1251513710255.3003,=1017542295656,=528297478507.6899,=34.4473,=0.1178,=57.1162,=50.2582,=39.1576
2012-04-19,=6097.7380,,=1237847552503.3000,=1007158185525,=508793916525.9900,=33.1670,=0.0782,=57.1162,=50.3215,=39.1881
2012-04-18,=6177.2560,,=1254026461870.9004,=1020726519383,=513362970622.9499,=33.3336,=0.0842,=57.1755,=50.3265,=39.1881
2012-04-17,=6115.3130,,=1240681591482.8000,=1009687018441,=506973518032.5100,=32.9618,=0.0740,=57.1755,=50.3314,=39.1998
2012-04-16,=6173.7730,,=1250972939870.2000,=1019546381232,=512020593536.0201,=33.2573,=0.0800,=57.1755,=50.3319,=39.6969
