日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率等权,股息率 分位点,股息率 80%分位点值,股息率 50%分位点值,股息率 20%分位点值
2017-10-26,=11880.4764,=13841.8000,=2344328356229.7002,=2134908110365,=1029924678184.3500,=0.0131,=0.7739,=0.0135,=0.0102,=0.0055
2017-10-25,=11687.8269,=13617.3400,=2281786765457.2002,=2073507334048,=1005761966846.5298,=0.0132,=0.7812,=0.0135,=0.0102,=0.0055
2017-10-24,=11689.2854,=13619.0400,=2283584692658,=2076940082037,=1004625111556.0968,=0.0132,=0.7850,=0.0135,=0.0102,=0.0055
2017-10-23,=11657.5813,=13582.1000,=2283979074587.6001,=2077075486699,=1000543610588.7964,=0.0132,=0.7864,=0.0135,=0.0102,=0.0055
2017-10-20,=11590.7440,=13504.2300,=2272868432434.5000,=2068826479039,=995476973508.8098,=0.0133,=0.7928,=0.0135,=0.0102,=0.0055
2017-10-19,=11709.3683,=13642.4400,=2298207291605.2012,=2092215930036,=1006297180184.6968,=0.0133,=0.7882,=0.0135,=0.0102,=0.0055
2017-10-18,=11501.0881,=13399.7800,=2245009130101.2002,=2042510282384,=985877924349.2566,=0.0134,=0.7960,=0.0135,=0.0102,=0.0055
2017-10-17,=11299.5551,=13164.9700,=2215610308447.3999,=2014034568219,=970068736291.4731,=0.0134,=0.7979,=0.0135,=0.0102,=0.0055
2017-10-16,=11283.2078,=13145.9300,=2216717920626.1001,=2015377030758,=969925572730.9200,=0.0134,=0.7983,=0.0135,=0.0102,=0.0055
2017-10-13,=11369.6114,=13246.5900,=2229112934626.6001,=2026588747804,=974827903170.0420,=0.0133,=0.7927,=0.0135,=0.0102,=0.0055
2017-10-12,=11350.3661,=13224.1700,=2213706010982.7998,=2012332204531,=970762119997.8691,=0.0133,=0.7951,=0.0135,=0.0102,=0.0055
2017-10-11,=11386.7661,=13266.5800,=2221174712951.6001,=2019435566240,=973434552467.2892,=0.0133,=0.7905,=0.0135,=0.0102,=0.0055
2017-10-10,=11146.4848,=12986.6300,=2179307569973.8997,=1981147006931,=954590266493.8055,=0.0135,=0.7984,=0.0135,=0.0102,=0.0055
2017-10-09,=11028.5691,=12849.2500,=2146005926961.6001,=1951463950743,=943083938550.2422,=0.0137,=0.8068,=0.0135,=0.0102,=0.0055
2017-09-29,=10899.4361,=12698.8000,=2118693780283.0996,=1925947351197,=931395912062.9264,=0.0138,=0.8127,=0.0135,=0.0102,=0.0055
2017-09-28,=10812.4439,=12597.4400,=2111761637008.5000,=1920458535426,=924843987714.2260,=0.0139,=0.8166,=0.0135,=0.0102,=0.0055
2017-09-27,=10636.5133,=12392.4700,=2078476898436,=1888693604126,=909244638360.4296,=0.0140,=0.8274,=0.0135,=0.0102,=0.0055
2017-09-26,=10660.3528,=12420.2500,=2080507218476.5000,=1890850394926,=911332678242.4069,=0.0140,=0.8313,=0.0134,=0.0102,=0.0055
2017-09-25,=10673.4151,=12435.4600,=2082556162884.8000,=1892374552448,=911779544553.2966,=0.0140,=0.8278,=0.0134,=0.0102,=0.0055
2017-09-22,=10563.1289,=12306.9700,=2059694725731.8000,=1870558576775,=902014194886.0128,=0.0141,=0.8337,=0.0134,=0.0102,=0.0054
2017-09-21,=10553.4018,=12295.6400,=2057864093440.5000,=1862286601023,=901194719076.6852,=0.0140,=0.8326,=0.0134,=0.0102,=0.0054
2017-09-20,=10571.4347,=12316.6500,=2059482242479.3000,=1863240879569,=901727750110.3282,=0.0140,=0.8245,=0.0133,=0.0102,=0.0054
2017-09-19,=10474.6593,=12203.9000,=2045036570547.1001,=1850556448194,=894908915760.0145,=0.0140,=0.8329,=0.0133,=0.0102,=0.0054
2017-09-18,=10496.8584,=12229.7600,=2049692114557.9009,=1855348155365,=896840336210.7695,=0.0140,=0.8238,=0.0133,=0.0102,=0.0054
2017-09-15,=10328.8139,=12033.9700,=2014668393244.6001,=1822060584824,=882176039987.2830,=0.0142,=0.8473,=0.0133,=0.0102,=0.0054
2017-09-14,=10264.0250,=11958.4900,=2008747821330.8000,=1816956427999,=877407902155.2129,=0.0142,=0.8512,=0.0133,=0.0102,=0.0054
2017-09-13,=10264.7206,=11959.3000,=2008248494712.2000,=1805245282961,=877691088028.0330,=0.0142,=0.8501,=0.0133,=0.0102,=0.0054
2017-09-12,=10116.3516,=11786.4400,=1979671362757,=1778132771620,=865303816208.0731,=0.0143,=0.8681,=0.0133,=0.0102,=0.0054
2017-09-11,=10045.2087,=11703.5500,=1962136504798.7000,=1760658847178,=858332676084.7595,=0.0144,=0.8811,=0.0133,=0.0102,=0.0054
2017-09-08,=10012.5888,=11665.5400,=1951459242173.1001,=1750929880015,=855051125092.0267,=0.0144,=0.8860,=0.0133,=0.0102,=0.0054
2017-09-07,=10073.1103,=11736.0600,=1968666447211.1001,=1768260641860,=861058951656.4500,=0.0144,=0.8780,=0.0133,=0.0102,=0.0054
2017-09-06,=10178.0132,=11858.2800,=1986756619468.7000,=1784551921573,=869865001285.8835,=0.0142,=0.8598,=0.0133,=0.0101,=0.0054
2017-09-05,=10239.6755,=11930.1200,=2000584013464.5000,=1797742320911,=875711886865.2833,=0.0142,=0.8547,=0.0133,=0.0101,=0.0054
2017-09-04,=10190.7174,=11873.0800,=1996978389462.1003,=1794862966935,=872625986785.5432,=0.0142,=0.8576,=0.0133,=0.0101,=0.0054
2017-09-01,=10247.7560,=11939.5300,=2008977563442.9004,=1805766460571,=877386715861.3729,=0.0142,=0.8520,=0.0133,=0.0101,=0.0054
2017-08-31,=10219.6723,=11906.8100,=2000609546274.1001,=1797921003631,=873970045078.3564,=0.0142,=0.8565,=0.0133,=0.0101,=0.0054
2017-08-30,=10212.9167,=11898.9400,=2006105665229.8999,=1802902157009,=867929984956.5123,=0.0139,=0.8272,=0.0132,=0.0101,=0.0054
2017-08-29,=10155.9055,=11832.5200,=1992215078803.8999,=1791016156477,=862992656284.3015,=0.0140,=0.8296,=0.0132,=0.0101,=0.0054
