iter,val_sharpe,val_net,val_mdd,turn_mean,equity_mean,equity_min,equity_max,act_std,act_sat
0,-0.7005,0.7984203067444134,-0.3144,0.0029733525221920356,0.8534787268407883,0.8482874035835266,0.8570610284805298,0.01914624497294426,0.0
1,-0.703,0.7962959942571141,-0.3163,0.004800691079067928,0.8593232497092216,0.8515252470970154,0.867225706577301,0.03138596564531326,0.0
2,-0.7122,0.79281793038091,-0.3195,0.005719780841822265,0.855465409576252,0.8482096195220947,0.8631683588027954,0.032838545739650726,0.0
3,-0.726,0.7880651959727117,-0.3245,0.008231605199502787,0.8567227333463648,0.8443320393562317,0.8637114763259888,0.04759271815419197,0.0
4,-0.7284,0.7893927545817372,-0.3226,0.011316947118248991,0.8458235542620381,0.8362181186676025,0.8603309988975525,0.06399764120578766,0.0
5,-0.7196,0.7950495155976162,-0.3181,0.01618051404754321,0.8354579845850613,0.8039672374725342,0.8595679998397827,0.0865057110786438,0.0
6,-0.7292,0.7914363485075537,-0.322,0.0191839868903801,0.8373416411193041,0.811133861541748,0.8579269647598267,0.0965895801782608,0.0
7,-0.7417,0.7864683009504281,-0.3246,0.023181859363791763,0.8381523440815641,0.7889928817749023,0.8641055822372437,0.09676530212163925,0.0
8,-0.7608,0.7768440888307424,-0.3347,0.0315650914625455,0.8437599441483884,0.7819421291351318,0.8769412040710449,0.11896493285894394,0.0
9,-0.7601,0.7783080297436052,-0.3325,0.031416230077277806,0.8427977238291053,0.7747920155525208,0.8792132139205933,0.13940706849098206,0.0
10,-0.7695,0.7748215243882397,-0.3345,0.03401901852005699,0.8401251374393381,0.7686678171157837,0.8837202787399292,0.16084787249565125,0.0
11,-0.7686,0.7728309937727281,-0.3368,0.03831332463998094,0.8364174348906377,0.75,0.8978846669197083,0.1923535317182541,0.0
12,-0.7496,0.7788118496158599,-0.3304,0.0500015004280968,0.8305094621301125,0.7499999403953552,0.9113841652870178,0.25542381405830383,0.0
13,-0.7614,0.7792013549624814,-0.3296,0.04861812087904168,0.818498316845159,0.7499999403953552,0.9172118902206421,0.2853694558143616,0.0
14,-0.7719,0.774381214913667,-0.3382,0.05601010143783571,0.815988646613227,0.7499999403953552,0.9264864921569824,0.34359726309776306,0.0
15,-0.7506,0.7779366202136899,-0.3382,0.06348277697853717,0.8072080366500389,0.7499999403953552,0.9394530057907104,0.4253113567829132,0.0
16,-0.7473,0.7790127080951926,-0.3385,0.06673536402937759,0.8068441163254468,0.7499999403953552,0.9452150464057922,0.5019276142120361,0.0
17,-0.7377,0.7808370667016217,-0.3411,0.06921273483277222,0.8098481389356771,0.7499999403953552,0.9500000476837158,0.5953998565673828,0.0
18,-0.7471,0.7776530969142305,-0.3478,0.07080206042656334,0.8117056185626642,0.7499999403953552,0.9500000476837158,0.6697433590888977,0.0
