date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合,PPO月度,PPO原生日频
2018-03-12,1109365.4525356984,2188255.541278363,2150594.1469276454,4635872.688994613,2266329.7582536223,2979069.5001514726,1960695.6872257856,2775175.822950221,2808899.3193901354
2018-03-13,1097515.475324893,2175857.3678443255,2144186.24519469,4611496.803129847,2248804.3142218105,2974570.622379121,1957300.2459066294,2758176.6617014254,2791732.2431409718
2018-03-14,1093737.6795386886,2171578.8541638004,2141476.973836449,4588818.275456965,2251557.7206554124,2971162.214414394,1956404.4544429912,2753051.028478972,2785627.913799333
2018-03-15,1101798.6937601143,2179353.552222897,2144896.3337697443,4595514.88535749,2266006.5335286516,2972119.3224775875,1958038.3746058042,2764672.2109619076,2796908.8643450597
2018-03-16,1089680.0852641095,2163790.3481801613,2136076.996108744,4563868.737953908,2243235.0095994156,2964559.903703415,1952395.5672361057,2744207.756729331,2776295.5177043625
2018-03-19,1095588.5247916826,2169235.9506992334,2138464.57012786,4572298.1932647545,2248704.645220264,2965316.65493656,1952991.0967998665,2752716.736841863,2785060.8761894223
2018-03-20,1095039.547545139,2166966.3487329846,2139417.524709378,4578446.297883632,2244224.336188366,2969609.6705649584,1954887.5400213697,2747844.9353886666,2779797.049853279
2018-03-21,1089378.6028540141,2157639.3213670976,2134918.089993004,4558587.337480229,2234379.082090491,2966689.842452582,1952803.36580627,2735011.946252209,2766356.4622853254
2018-03-22,1079682.038622988,2151623.9095515064,2136791.825246209,4557763.559941547,2222580.583126948,2975965.092729331,1957841.388418081,2724024.141631202,2754933.925155648
2018-03-23,1047654.8404255832,2114439.043456461,2125489.6636730726,4449357.262272167,2192611.452414115,2977017.7857736293,1960466.5011352836,2673299.934130422,2701361.2675346243
2018-03-26,1042801.6665601716,2118261.6566037377,2125137.0044423547,4470511.941715317,2186715.648365359,2974779.704538229,1958011.8193822901,2677792.0469353884,2705857.8623946616
2018-03-27,1052207.7450231914,2130761.350936289,2130756.0087005915,4516624.573612769,2192720.3401128915,2978897.833710452,1959168.1003611956,2693473.4002709836,2722391.868593464
2018-03-28,1030943.3018884952,2104860.338538417,2117004.755770919,4460833.434940744,2155799.283039607,2968346.775687957,1951345.079875907,2659447.546078429,2687741.173807944
2018-03-29,1049765.5458661944,2120503.647222764,2117932.402434444,4485514.081916158,2177405.0860968963,2957920.3496392136,1945426.2824972735,2683970.675245192,2712406.609405788
2018-03-30,1048140.9354016285,2125893.6570006134,2123060.1474156743,4505153.482666131,2175324.0877664587,2965594.330648146,1949635.148122894,2690425.1901531355,2718249.872165893
2018-04-02,1044633.1469932013,2120844.0046097124,2122879.348100992,4503412.895036142,2166255.4693041095,2966515.3402805724,1951076.4817132475,2682855.396996665,2710691.3863953417
2018-04-03,1037897.1001607206,2121064.060399385,2125118.188772248,4493216.292316538,2172297.414585545,2973221.7716994015,1954664.3091211414,2683374.3335988116,2710578.944690283
2018-04-04,1035196.5570613106,2125870.3464357336,2127036.6519151875,4485550.428640153,2185705.5399782993,2978041.0185343865,1956056.08586478,2692461.3544666427,2718807.9750223844
2018-04-09,1036531.3971256384,2125064.3640500084,2129099.024504409,4498596.387401021,2180655.071418112,2981100.2443523933,1958466.7906426014,2691315.1113416282,2717817.8320487556
