date,沪深300,等权,风险平价,MVO,动量,动态评分,LGB融合
2017-05-23,922000.3866854489,1914441.753969427,1936355.8224824453,4371340.971842181,1918598.285081901,2608847.9956442444,1765698.1905602564
2017-05-24,921991.2398562159,1910298.3300076283,1931256.586369618,4352478.93401558,1910319.6644800366,2589201.045300073,1753475.6659666016
2017-05-25,941662.0230912643,1927886.1867550637,1950292.2181908027,4394939.696075921,1928955.8554788618,2607754.4343618136,1765033.844928732
2017-05-26,940035.1684266852,1929572.286625129,1951651.3424956368,4398882.737962054,1930686.47165579,2610730.501702156,1767082.460520199
2017-05-31,940565.0082493214,1922845.4871904068,1945330.388986196,4386587.106312389,1925289.8718597547,2601084.9845772916,1759788.862842841
2017-06-01,942712.3181374802,1915660.213316155,1940343.9782383982,4390903.70306997,1927184.4426996484,2603140.053211642,1756156.474825145
2017-06-02,940276.768845823,1918720.8904483747,1941731.1701784357,4383884.48132454,1924103.6794075286,2598481.414608862,1756304.1130539898
2017-06-05,934067.2211839359,1922514.538740187,1945861.5287260818,4386762.053644271,1925366.6569133778,2609972.9795329785,1766989.4030165605
2017-06-06,941336.4005233987,1933107.5405035978,1956968.074053941,4412278.155953739,1936565.771887081,2625339.270084937,1777096.420396101
2017-06-07,954266.3938345888,1958619.4207234469,1980316.220029395,4457944.4858736675,1956608.8988896948,2643960.5889519947,1791401.745963082
2017-06-08,960996.0963540628,1966463.8202404222,1987431.7839998188,4482478.541430625,1967376.9897846598,2648585.6827904973,1791372.9706700703
2017-06-09,966916.9733554188,1971266.123261209,1990857.3370427242,4491825.265069749,1971479.302567092,2644315.3727416764,1787339.87269793
2017-06-12,965020.4506732492,1969908.3606325267,1989814.0105651927,4506111.355739401,1977749.5224460429,2646878.6817179113,1784011.0727603936
2017-06-13,966897.7885533968,1980988.028227329,1999372.0513910137,4518565.160022586,1983215.544816381,2653347.1152601587,1791301.2185555892
2017-06-14,957184.1761328003,1975857.8963168724,1994209.7154160144,4508016.119565999,1978585.5305805576,2651318.8493553763,1790306.8340724106
2017-06-15,953940.0392798355,1968848.4118221384,1985472.9114976202,4473258.8408157155,1963330.4278937713,2630374.438296424,1780557.1275594055
2017-06-16,952313.2711991196,1962688.0092541557,1979466.0547435954,4455556.345354316,1955560.734874469,2622086.611625307,1776163.424972385
2017-06-19,963085.7457662612,1974860.9043886436,1991176.3070901982,4481587.738827269,1966986.0131122482,2631786.6026571365,1782238.9596002658
2017-06-20,960111.1918469989,1976988.3967136107,1992020.6470986505,4483573.526623042,1967857.5829769757,2629444.782804581,1780783.0386812354
2017-06-21,972231.0896275636,1988949.9960142705,2004320.3380134194,4517179.132441957,1982607.212005831,2643349.0051903003,1787748.718857584
2017-06-22,973299.6048212281,1984247.8044601737,2002056.4294746092,4524414.814882537,1985782.9807256174,2650879.372672647,1789102.009307198
2017-06-23,982723.7585889709,1990388.951717343,2008721.1588762766,4538547.535859298,1991985.8860592926,2657695.049093918,1793443.019399029
2017-06-26,994843.0738369697,2013795.8037132767,2030130.051271243,4582167.964639127,2011131.0592202526,2674914.5443522707,1806078.9835685221
2017-06-27,995372.2686122811,2015421.4925364263,2031172.3969077233,4591154.670946315,2015075.3590176303,2674344.436193206,1803537.3187347455
2017-06-28,988624.1575713077,2008549.8600875495,2024148.479619181,4575072.55066221,2008016.854866086,2666734.960138352,1798780.2367625393
2017-06-29,994543.9385233104,2014630.51011693,2029522.272227338,4584487.427641398,2012149.080410348,2668208.3286798894,1800195.5506229664
2017-06-30,992916.9274004987,2009164.1275387167,2022640.8741959787,4563162.908905647,2002789.6675116175,2651579.9103378034,1790413.3898986403
2017-07-03,988594.7342441423,2011238.9773566406,2023001.2766662862,4561819.829150743,2006618.8576158627,2647827.379123093,1789657.1386546157
2017-07-04,980499.364590035,1993568.7501706923,2005242.703420152,4506396.313262699,1987577.551096046,2623629.9025387797,1775444.5160818228
2017-07-05,993156.8914368149,2007365.342236263,2018574.9523676045,4555747.296396128,2006181.1966843002,2635985.5464828457,1782534.3246519198
