策略,年化收益,年化波动,夏普比率,索提诺比率,最大回撤,卡玛比率,月均换手率,权重集中度HHI,胜率,95%VaR,年化收益/最大回撤
等权,0.1417,0.2576,0.4532,0.8132,-0.3771,0.3759,0.0037,0.1814,0.5107,-0.015,0.3759
风险平价,0.1353,0.2057,0.5361,1.17,-0.2771,0.4882,0.0478,0.2627,0.5222,-0.0097,0.4882
MVO,0.2889,0.7631,0.3458,1.852,-0.33,0.8755,0.4103,0.3671,0.5118,-0.0125,0.8755
动量,0.1757,0.3361,0.4484,0.695,-0.4836,0.3633,0.1202,0.3327,0.5297,-0.0181,0.3633
动态评分,0.2001,0.3519,0.4975,2.0648,-0.1782,1.123,0.2176,0.345,0.5304,-0.0092,1.123
LGB融合,0.1222,0.15,0.6479,1.3044,-0.1694,0.7214,0.1155,0.3259,0.5365,-0.0095,0.7214
