日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-10-30,=8440.6032,=9066.9624,=1277476906577.2100,=1083952401985,=674357505327.4199,=75.8472,=0.0034,=116.5521,=98.9820,=89.5250
2020-10-29,=8244.9793,=8856.8216,=1241638752293.2998,=1053088129184,=644929244349.1700,=73.9812,=0,=116.5521,=99.0053,=89.5654
2020-10-28,=8274.4828,=8888.5145,=1244343255707.8899,=1055680745920,=595511509571.9601,=78.2257,=0,=116.5521,=99.0286,=89.8875
2020-10-27,=8264.5216,=8877.8141,=1242368881929.5000,=1054152688764,=594379927532.9199,=79.6469,=0.0035,=116.7130,=99.0308,=89.8875
2020-10-26,=8223.2452,=8833.4746,=1232322001962.9399,=1045627305252,=590144555958.9100,=79.2654,=0,=116.7130,=99.0331,=89.9493
2020-10-23,=8224.4567,=8834.7760,=1229824477266.0200,=1043697098995,=603308462306.0800,=80.1077,=0,=116.7130,=99.0546,=90.0034
2020-10-22,=8399.1611,=9022.4449,=1257946574725.6201,=1065334283486,=616861664031.5801,=81.9395,=0.0106,=116.7130,=99.0762,=90.0077
2020-10-21,=8415.3352,=9039.8192,=1259044943802.1899,=1066482741175,=617715231301.8199,=82.0111,=0.0106,=116.7130,=99.0836,=90.0696
2020-10-20,=8673.8643,=9317.5332,=1295260374191.7900,=1096869235939,=635214974235.5201,=84.9809,=0.0390,=116.7870,=99.0911,=90.0696
2020-10-19,=8614.6542,=9253.9292,=1287977652508.2598,=1089503467329,=631205100036.3199,=84.5031,=0.0356,=116.7870,=99.0994,=90.0938
2020-10-16,=8714.0042,=9360.6517,=1305922084557.6404,=1104246495116,=638177923047.6101,=85.6804,=0.0500,=116.7870,=99.1077,=90.5126
2020-10-15,=8824.5247,=9479.3737,=1324231257810.2000,=1117699935149,=645964534450.2600,=86.8817,=0.1004,=116.7870,=99.1996,=90.8080
2020-10-14,=8889.5922,=9549.2697,=1333476588112.4297,=1125982834715,=650430096557.8801,=87.4882,=0.1079,=116.7870,=99.2916,=90.9274
2020-10-13,=9095.5280,=9770.4876,=1365135530456.8501,=1152976954292,=664930753647.6899,=89.5654,=0.1661,=116.9621,=99.2954,=90.9274
2020-10-12,=9124.8665,=9802.0032,=1371811455917.5798,=1156032100511,=667030168192.6100,=90.0034,=0.1739,=116.9621,=99.2993,=90.9699
2020-10-09,=8736.0304,=9384.3124,=1311054770903.8799,=1105470209827,=638134907569.9200,=86.0172,=0.0582,=116.9621,=99.3149,=91.1257
2020-09-30,=8456.0288,=9083.5325,=1268369017244.1001,=1069949507268,=617397998055.0701,=83.2166,=0.0182,=116.9621,=99.3306,=91.1366
2020-09-29,=8487.0415,=9116.8466,=1271444988656.2998,=1072218622843,=619154873108.7500,=83.4184,=0.0183,=116.9621,=99.3397,=91.2482
2020-09-28,=8376.1406,=8997.7160,=1257967789467,=1059956403467,=611520872378.8099,=82.5342,=0.0110,=117.2277,=99.3487,=91.2482
2020-09-25,=8444.3683,=9071.0067,=1263307422473.2002,=1066779390913,=616269056223,=82.8845,=0.0111,=117.2277,=99.3761,=91.2773
2020-09-24,=8532.4451,=9165.6195,=1280721368385.2000,=1081238352245,=623251583698.0699,=84.0270,=0.0185,=117.2277,=99.4034,=91.3243
2020-09-23,=8738.3372,=9386.7904,=1310337856158,=1105903754481,=637984427072.1599,=85.9701,=0.0372,=117.2277,=99.5393,=91.3743
2020-09-22,=8629.3413,=9269.7062,=1295608957373.6001,=1092900232377,=629791472683.9000,=85.0038,=0.0187,=117.2277,=99.6752,=91.3989
2020-09-21,=8827.7716,=9482.8615,=1324074228707.7000,=1116296104915,=644100033430.4700,=86.8714,=0.0712,=117.2720,=99.6808,=91.3989
2020-09-18,=8838.3586,=9494.2341,=1330720380200.1001,=1120969899805,=645479034094.2900,=87.3074,=0.0752,=117.2720,=99.6864,=91.5119
2020-09-17,=8767.5751,=9418.1979,=1321748712350.3999,=1113858401988,=640199058664.6399,=86.7188,=0.0566,=117.2720,=99.6877,=91.5576
2020-09-16,=8629.2755,=9269.6354,=1302282488776.8999,=1098257850399,=629264649670.1001,=85.4416,=0.0227,=117.2720,=99.6890,=91.5901
2020-09-15,=8673.0855,=9316.6964,=1304640070813.5000,=1099513872026,=632603065474.4199,=85.5963,=0.0228,=117.2720,=99.6906,=91.5946
2020-09-14,=8625.0644,=9265.1118,=1298301428970.7000,=1095113827884,=628063229775.5801,=85.1804,=0.0191,=117.3555,=99.6922,=91.5946
2020-09-11,=8516.7919,=9148.8046,=1278972114353.6001,=1079591585699,=620029697609.8601,=83.9123,=0.0153,=117.3555,=99.9264,=91.8410
2020-09-10,=8236.6370,=8847.8600,=1233383433326.6001,=1040708691352,=599129835348.8099,=80.9212,=0,=117.3555,=100.1607,=92.0350
2020-09-09,=8298.0389,=8913.8184,=1239503614882.7002,=1044943922366,=603819448362.4099,=81.3228,=0,=117.3555,=100.4285,=92.0439
2020-09-08,=8755.5683,=9405.3001,=1310225525911.5000,=1102822373686,=638138944271.3901,=85.9628,=0.0078,=117.3555,=100.6963,=92.1041
2020-09-07,=8928.6184,=9591.1919,=1342146084601.1001,=1125534322118,=651322791768.2100,=88.0570,=0.0623,=117.4559,=100.7701,=92.1041
2020-09-04,=9215.6321,=9899.5042,=1384075246767,=1161962934345,=673414905399.1200,=90.8080,=0.1289,=117.4559,=100.8438,=92.1862
2020-09-03,=9034.9718,=9705.4375,=1357063464645.6001,=1139037279688,=660264022844.2400,=89.0358,=0.0941,=117.4559,=101.0776,=92.2048
2020-09-02,=9035.2447,=9705.7307,=1345559815946.9998,=1129378330896,=659396912066.0901,=88.2810,=0.0630,=117.4559,=101.3114,=92.3740
2020-09-01,=9188.1711,=9870.0055,=1363165688230.8999,=1145096264842,=670155160622.6699,=89.4361,=0.0909,=117.4559,=101.4053,=92.4606
2020-08-31,=9193.2661,=9875.4786,=1364520263677.8999,=1145170677672,=671088502661.9200,=89.5250,=0.0913,=117.5855,=101.4991,=92.4606
