日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM正数等权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-03-02,=10751.5433,=11574.8616,=1964523208058.1299,=1671687604518,=1101869629506.3501,=5.1781,=0.1775,=6.8466,=6.1378,=5.2907
2022-03-01,=10919.7939,=11755.9963,=1997044151507.2400,=1698324437808,=1119419208438.6001,=5.2298,=0.1876,=6.8466,=6.1386,=5.2916
2022-02-28,=10895.9059,=11730.2791,=1992424844363.4800,=1694310625155,=1116963535383.8899,=5.2196,=0.1863,=6.8477,=6.1394,=5.2916
2022-02-25,=10839.9899,=11670.0812,=1982821515789.2500,=1685034876905,=1111240899884.4299,=5.2400,=0.1882,=6.8477,=6.1404,=5.3037
2022-02-24,=10719.4648,=11540.3267,=1959474209125.2295,=1666422102318,=1099101633453.7400,=5.1967,=0.1787,=6.8477,=6.1414,=5.3074
2022-02-23,=10812.0461,=11639.9976,=1976008338138.3601,=1680047202650,=1108227086799.7500,=5.2907,=0.1938,=6.8477,=6.1422,=5.3122
2022-02-22,=10233.4489,=11017.0933,=1867261788256.9500,=1590903233219,=1049156024012.8199,=5.1022,=0.1694,=6.8477,=6.1430,=5.3220
2022-02-21,=10170.8989,=10949.7534,=1853717479973.5000,=1578734579949,=1042489309151.1996,=5.1353,=0.1746,=6.8804,=6.1512,=5.3220
2022-02-18,=10178.1199,=10957.5274,=1858075788056.1499,=1579336098952,=1043585076714.2900,=5.0782,=0.1634,=6.8804,=6.1594,=5.3447
2022-02-17,=10278.7328,=11065.8449,=1877857794351.4199,=1595710331710,=1054142480118.0198,=5.0875,=0.1636,=6.8804,=6.1597,=5.3472
2022-02-16,=10162.3520,=10940.5520,=1854548471933.7200,=1576586921792,=1042061720852.9502,=5.0919,=0.1656,=6.8804,=6.1600,=5.3743
2022-02-15,=10222.1037,=11004.8793,=1865882735219.6497,=1586097248127,=1048307511762.8700,=5.1277,=0.1675,=6.8804,=6.1647,=5.3853
2022-02-14,=9844.7726,=10598.6534,=1795889967035.4204,=1525824170439,=1008872097910.5702,=4.9318,=0.1412,=6.8848,=6.1695,=5.3853
2022-02-11,=9945.3113,=10706.8911,=1810337681404.8696,=1536744736455,=1018697958763.4900,=4.9443,=0.1414,=6.8848,=6.1710,=5.4047
