日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2020-04-14,=7022.6519,=7527.9815,=964859094375.1000,=729042004817,=415309265490.6042,=6.6097,=0.6646,=7.2456,=6.2774,=5.5415
2020-04-13,=6752.3872,=7238.2694,=926952141538.7000,=701684216176,=399301355460.2099,=6.3500,=0.5350,=7.2502,=6.2693,=5.5359
2020-04-10,=6981.3261,=7483.6821,=963189885177.7000,=726323606697,=412919715819.2270,=6.5982,=0.6474,=7.2502,=6.2613,=5.5359
2020-04-09,=7342.3029,=7870.6338,=1012510801128.1000,=764099927062,=434366386699.3446,=6.9497,=0.7355,=7.2502,=6.2599,=5.5359
2020-04-08,=7451.2105,=7987.3781,=1029349802459.9000,=775405148775,=440778776611.1766,=7.0653,=0.7532,=7.2502,=6.2586,=5.5359
2020-04-07,=7409.8887,=7943.0830,=1024172300064.2000,=772295718412,=438222293517.5744,=7.0298,=0.7516,=7.2502,=6.2515,=5.5359
2020-04-03,=7224.9904,=7744.8799,=1000846108019.2000,=753483016831,=427282892207.9397,=6.8697,=0.7368,=7.2507,=6.2445,=5.4769
2020-04-02,=7312.7044,=7838.9056,=1014481865336.5000,=762847619977,=432425556805.2699,=6.9633,=0.7483,=7.2507,=6.2295,=5.4769
2020-04-01,=6794.3324,=7283.2331,=942802814584.3000,=707710905717,=401374131313.3418,=6.4734,=0.6133,=7.2507,=6.2144,=5.4769
2020-03-31,=6697.8805,=7179.8407,=933029464193.2000,=697661858126,=395713391847.1717,=6.4067,=0.5839,=7.2507,=6.2120,=5.4769
2020-03-30,=6771.3948,=7258.6449,=943107102995,=705002528167,=398993076401.5746,=6.4857,=0.6216,=7.2507,=6.2097,=5.4769
2020-03-27,=6950.6067,=7450.7524,=961078151326.8000,=725870672911,=409257670210.7392,=6.6186,=0.6803,=7.2945,=6.2087,=5.4566
2020-03-26,=7044.9268,=7551.8595,=969802010899.5000,=734711551204,=409422576289.5430,=6.6911,=0.6918,=7.2945,=6.2078,=5.4566
2020-03-25,=7283.1065,=7807.1780,=1005779032128.7000,=760320105855,=423084023916.9100,=6.9393,=0.7379,=7.2945,=6.2046,=5.4566
2020-03-24,=7136.9051,=7650.4564,=980803216710,=744538846719,=414607039349.9177,=6.7670,=0.7153,=7.2945,=6.2014,=5.4566
2020-03-23,=7130.7191,=7643.8253,=979467453266.5000,=744778812512,=414186906572.6248,=6.7617,=0.7133,=7.2945,=6.1899,=5.4566
2020-03-20,=7737.7741,=8294.5622,=1056647558916.3000,=807835871779,=449595856202.2105,=7.2945,=0.7958,=7.3682,=6.1783,=5.4496
2020-03-19,=7840.9185,=8405.1285,=1069616946151.8000,=817120395210,=455421877074.5907,=7.3840,=0.8156,=7.3682,=6.1748,=5.4496
2020-03-18,=7581.0016,=8126.5087,=1033652133174.8000,=789006789005,=440412524662.1381,=7.1358,=0.7571,=7.2507,=6.1713,=5.4496
2020-03-17,=7687.7331,=8240.9203,=1047491181480.3000,=800232922285,=446605120120.9580,=7.2313,=0.7698,=7.2507,=6.1656,=5.4496
2020-03-16,=7526.5879,=8068.1796,=1026389339402.1000,=780592074132,=437241109029.6743,=7.0856,=0.7609,=7.2507,=6.1599,=5.4496
2020-03-13,=8034.0836,=8612.1933,=1096129626524.7000,=833063874426,=466743321538.3017,=7.5671,=0.8467,=7.3682,=6.1500,=5.4431
2020-03-12,=7803.3259,=8364.8310,=1071484308029.5000,=810189459888,=453289220127.8075,=7.3969,=0.8235,=7.2507,=6.1401,=5.4431
2020-03-11,=7767.1473,=8326.0491,=1067320886185.2000,=809042623396,=451162457183.6244,=7.3682,=0.8148,=7.2502,=6.1393,=5.4431
2020-03-10,=8112.2350,=8695.9683,=1113191619551.1001,=845380650341,=471210741355.0870,=7.6849,=0.8731,=7.2456,=6.1385,=5.4431
2020-03-09,=7546.3710,=8089.3863,=1038458676140.5000,=786081928659,=438346606344.4892,=7.1689,=0.7895,=7.2381,=6.1308,=5.4431
2020-03-06,=8254.8278,=8848.8216,=1138506271556.2998,=861048603310,=479525542659.2321,=7.8596,=0.8788,=7.2456,=6.1231,=5.4308
2020-03-05,=8369.8426,=8972.1126,=1152883979681.7998,=871842159202,=486325733035.6124,=7.9589,=0.9084,=7.2381,=6.0931,=5.4308
2020-03-04,=8287.3606,=8883.6954,=1140804969599.3999,=863128559876,=481578690215.7067,=7.8755,=0.8923,=6.8165,=6.0630,=5.4308
2020-03-03,=8624.3953,=9244.9822,=1186282065794.6001,=898691103835,=501143474381.2033,=8.1894,=0.9380,=6.7977,=6.0512,=5.4308
2020-03-02,=8575.5224,=9192.5926,=1177696731565.1001,=892370597729,=498317163962.4830,=8.1302,=0.9375,=6.7844,=6.0393,=5.4308
2020-02-28,=8530.7854,=9144.6364,=1173975024229.8000,=888069410906,=495637967412.0915,=8.1045,=0.9370,=6.7844,=6.0158,=5.4291
