iter,val_sharpe,val_net,val_mdd,turn_mean,equity_mean,equity_min,equity_max,act_std,act_sat
0,0.4717,1.1428763360056993,-0.1646,0.0025536990891208513,0.8551089716697365,0.8519745469093323,0.8591841459274292,0.009904921986162663,0.0
1,0.4454,1.1357400798971724,-0.1657,0.003923287397352778,0.8649719418659985,0.8607304096221924,0.8686671853065491,0.01741107739508152,0.0
2,0.4631,1.1395790387821116,-0.1635,0.006691766275995386,0.8708940320481549,0.8607353568077087,0.8756263256072998,0.030650539323687553,0.0
3,0.4721,1.1419719668999426,-0.1626,0.007421022454423381,0.8805845183518166,0.8646324872970581,0.8886170983314514,0.03454241529107094,0.0
4,0.499,1.1472714789377898,-0.1583,0.008378992519543677,0.877117028953352,0.8636226654052734,0.8857437372207642,0.03842293098568916,0.0
5,0.4641,1.1374625776351732,-0.1591,0.009538611534956247,0.8754141249633917,0.8595958948135376,0.8842095732688904,0.049035556614398956,0.0
6,0.4764,1.1412385433778425,-0.1584,0.010099987763920376,0.8868796667506416,0.8727998733520508,0.8939322829246521,0.04662265628576279,0.0
7,0.4451,1.1312404729230685,-0.1589,0.010265772748818545,0.9063382848634924,0.8930304050445557,0.9124507904052734,0.050893571227788925,0.0
8,0.4274,1.1272925285085524,-0.158,0.00816407751709863,0.9207651363352318,0.905788779258728,0.9272609949111938,0.053881965577602386,0.0
9,0.3702,1.1110045057693794,-0.16,0.008454730160765546,0.9174346943743759,0.9023658037185669,0.9253316521644592,0.05722144991159439,0.0
10,0.3876,1.1126698498792202,-0.1546,0.009276200005860203,0.9090290657091255,0.8929765224456787,0.9184353351593018,0.06221095100045204,0.0
11,0.3734,1.1102231692072329,-0.1598,0.00789026814670722,0.9123315708733971,0.8996090888977051,0.9197002053260803,0.06571851670742035,0.0
12,0.3418,1.1033649289462408,-0.1655,0.006937947648806333,0.9163642777463417,0.9069157838821411,0.925004243850708,0.07178188860416412,0.0
13,0.321,1.0973283091852761,-0.168,0.005298962865496023,0.9076730519319776,0.9031955599784851,0.9148246645927429,0.0728200152516365,0.0
14,0.3167,1.0969458360703406,-0.1717,0.0037494852676596448,0.8956283780441648,0.8931490182876587,0.9005222320556641,0.06809625774621964,0.0
15,0.3255,1.0995178201073204,-0.1713,0.003336358664286165,0.8918962228269737,0.8894665241241455,0.8958884477615356,0.07337982952594757,0.0
16,0.3235,1.0995168524206977,-0.1736,0.0021283164407017692,0.8849300631190826,0.8834384679794312,0.8889631628990173,0.0622238852083683,0.0
17,0.3265,1.10069847922339,-0.1741,0.0014014162105421462,0.8811822719960907,0.8802450299263,0.884667158126831,0.06106184050440788,0.0
18,0.3308,1.1019973629330717,-0.1738,0.0010644927051869668,0.8784548874971121,0.8779047727584839,0.8809390068054199,0.0604187548160553,0.0
19,0.3308,1.1020656013857986,-0.174,0.0008460277944874365,0.8769392100894081,0.8766323924064636,0.8784600496292114,0.06232607737183571,0.0017047391749062393
20,0.3326,1.1026141592733418,-0.1739,0.0007282837798601119,0.8763119352176821,0.876131534576416,0.8773852586746216,0.0593189001083374,0.13092396863279918
21,0.3339,1.1029645040893474,-0.1737,0.0006825437764848331,0.8761449974021366,0.8759759664535522,0.8769469261169434,0.05535881593823433,0.13944766450733037
22,0.3338,1.1030071589811743,-0.1738,0.0006356412513728358,0.875995375233789,0.8758352994918823,0.8761335611343384,0.043949298560619354,0.14149335151721787
23,0.3342,1.1031286131920846,-0.1738,0.0006180460562569429,0.8757319909860525,0.8755835890769958,0.8758243322372437,0.038617901504039764,0.14285714285714285
24,0.3339,1.1030417034847364,-0.1739,0.0006116513420687655,0.8754529769494596,0.8753126859664917,0.875541090965271,0.042186181992292404,0.14285714285714285
25,0.3341,1.1030745777790185,-0.1738,0.0006090393890059933,0.8750719890389635,0.8749010562896729,0.8751695156097412,0.04678413271903992,0.14285714285714285
26,0.3336,1.1029454678567026,-0.1739,0.0005992404529758171,0.8750079564376776,0.8748341798782349,0.8751099109649658,0.05233556404709816,0.14285714285714285
27,0.3337,1.1029776526138781,-0.1739,0.0005802206321661683,0.8749164462374047,0.8747483491897583,0.8750119209289551,0.05103057995438576,0.14285714285714285
28,0.3338,1.103023035870605,-0.1739,0.0005748907286398167,0.8749193931820853,0.8747738003730774,0.8750016689300537,0.0525546558201313,0.14285714285714285
29,0.3336,1.1029763130958596,-0.174,0.0005644136475207982,0.8747674999202919,0.8746361136436462,0.8748478293418884,0.052416231483221054,0.14285714285714285
30,0.3334,1.102928939365035,-0.174,0.0005549928240104621,0.874789015063238,0.8746640682220459,0.8748620748519897,0.052259717136621475,0.14285714285714285
31,0.3334,1.1029654980377819,-0.1741,0.0005523509441525954,0.8750075736307585,0.8748966455459595,0.8750656247138977,0.05067725107073784,0.14285714285714285
32,0.3334,1.1029482639110249,-0.1741,0.0005536388099051319,0.8749857766816042,0.874849259853363,0.8750507831573486,0.05621480941772461,0.14285714285714285
33,0.3335,1.1029874997988964,-0.1741,0.0005458353136206014,0.8750605152159716,0.8749735951423645,0.8751052618026733,0.0538664385676384,0.14285714285714285
34,0.3335,1.1029626759904427,-0.174,0.0005408486346925357,0.874968682240188,0.8748732805252075,0.8750151991844177,0.055450089275836945,0.14285714285714285
