date,hs300_pe,hs300_pb,zz500_pe,zz500_pb,kc50_pe,bond_10y_yield,hs300_erp,hs300_pe_quantile,hs300_pb_quantile,zz500_pe_quantile,zz500_pb_quantile
2015-04-02,14.67,2.06,46.12,3.95,,3.5438,3.2728325835037495,,,,
2015-04-03,14.75,2.07,46.64,4.02,,3.572,3.207661016949152,,,,
2015-04-07,15.12,2.12,47.68,4.12,,3.5987,3.015056613756615,,,,
2015-04-08,15.3,2.14,47.33,4.09,,3.6938,2.8421477124183014,,,,
2015-04-09,15.15,2.12,47.08,4.06,,3.704,2.8966600660065995,,,,
2015-04-10,15.44,2.16,48.49,4.15,,3.6947,2.781983937823835,,,,
2015-04-13,15.77,2.21,49.64,4.22,,3.6685,2.6726540900443894,,,,
2015-04-14,15.79,2.21,49.73,4.22,,3.6211,2.7120222292590253,,,,
2015-04-15,15.69,2.2,47.81,4.05,,3.5954,2.7780862970044615,,,,
2015-04-16,16.17,2.26,48.27,4.1,,3.56,2.6242918985776122,,,,
2015-04-17,16.5,2.31,48.81,4.14,,3.5627,2.4979060606060606,,,,
2015-04-20,16.17,2.27,47.9,4.07,,3.4554,2.7288918985776123,,,,
2015-04-21,16.42,2.3,49.72,4.2,,3.4055,2.6846339829476245,,,,
2015-04-22,16.75,2.35,50.75,4.31,,3.4052,2.564949253731343,,,,
2015-04-23,16.72,2.34,51.35,4.34,,3.4151,2.5657612440191393,,,,
2015-04-24,16.57,2.32,51.29,4.33,,3.4454,2.5896030175015086,,,,
2015-04-27,17.13,2.39,52.26,4.38,,3.3952,2.442511617046118,,,,
