iter,val_sharpe,val_net,val_mdd,turn_mean,equity_mean,equity_min,equity_max,act_std,act_sat
0,0.4589,1.1370290781864654,-0.1632,0.0027790648200346916,0.8359330761688706,0.8359329700469971,0.8359332084655762,0.013423636555671692,0.0
1,0.4903,1.144991554958232,-0.1598,0.004419443751007389,0.83593307929847,0.8359329700469971,0.8359332084655762,0.024166550487279892,0.0
2,0.5045,1.1488095774773535,-0.1594,0.006070418474497829,0.8359330818590515,0.8359329700469971,0.8359331488609314,0.032033976167440414,0.0
3,0.5059,1.1493840339590093,-0.159,0.00763172839450381,0.835933081432288,0.8359329700469971,0.8359332084655762,0.04083702713251114,0.0
4,0.5187,1.1523401590158517,-0.1573,0.007930632245000051,0.8359330818590515,0.8359329700469971,0.8359332084655762,0.04123382642865181,0.0
5,0.52,1.1516955638167603,-0.1559,0.008490061365192432,0.8359330798674881,0.8359329700469971,0.8359331488609314,0.043427299708127975,0.0
6,0.4897,1.1460281923888183,-0.1606,0.009291684784012934,0.8359330763111251,0.8359329700469971,0.8359331488609314,0.04907035455107689,0.0
7,0.4966,1.1448640406501076,-0.1583,0.011263831187404141,0.8359330748885799,0.8359329700469971,0.8359331488609314,0.0609692819416523,0.0
8,0.5002,1.145947202492071,-0.1563,0.013490515332091111,0.8359330812900334,0.8359329700469971,0.8359332084655762,0.07084456831216812,0.0
9,0.4727,1.1374182344074713,-0.1577,0.015182437575233295,0.8359330801519972,0.8359329700469971,0.8359332084655762,0.08332715183496475,0.0
10,0.4721,1.1374671806885848,-0.1579,0.018258229947175502,0.8359330801519972,0.8359329700469971,0.8359331488609314,0.08612325042486191,0.0
11,0.4703,1.1356798653587932,-0.1559,0.01744904708748501,0.8359330798674881,0.8359329700469971,0.8359331488609314,0.08078581094741821,0.0
12,0.4512,1.1311244124691355,-0.158,0.01613518560131865,0.835933076026616,0.8359329700469971,0.8359331488609314,0.0847085639834404,0.0
13,0.4044,1.118421407669234,-0.1602,0.017259326498946598,0.8359330777336703,0.8359329700469971,0.8359331488609314,0.09069782495498657,0.0
14,0.4017,1.1163817135808836,-0.1597,0.01981365451309163,0.8359330802942517,0.8359329700469971,0.8359332084655762,0.09922101348638535,0.0
15,0.4392,1.1238376565034067,-0.1522,0.02198115337933447,0.8359330808632698,0.8359329700469971,0.8359332084655762,0.1045958623290062,0.0
16,0.4339,1.1215843279708335,-0.1512,0.02299208732806413,0.8359330774491612,0.8359329700469971,0.8359331488609314,0.1028650775551796,0.0
17,0.4506,1.126299677879199,-0.1487,0.028902884030399003,0.8359330794407246,0.8359329700469971,0.8359331488609314,0.13500022888183594,0.0
18,0.4679,1.1288670381134038,-0.1435,0.028499289369099463,0.8359330773069068,0.8359329700469971,0.8359332084655762,0.13731969892978668,0.0
19,0.4944,1.1333502480492843,-0.1385,0.027615790293154113,0.8359330812900334,0.8359329700469971,0.8359331488609314,0.1289386749267578,0.0
20,0.5528,1.1459903721084623,-0.1321,0.030676440506960157,0.8359300450095128,0.8352224230766296,0.8359331488609314,0.13966089487075806,0.0
21,0.6168,1.1563332861703761,-0.1241,0.03180065762633925,0.8352588807768355,0.8300492167472839,0.8359331488609314,0.14705368876457214,0.0
22,0.6196,1.1595391983459136,-0.1242,0.03947806149401073,0.8351263556104855,0.8295881748199463,0.8359331488609314,0.17442290484905243,0.0
23,0.6574,1.1631498092002313,-0.1223,0.036348227500417635,0.8311844883499965,0.8217397332191467,0.8359331488609314,0.17276820540428162,0.0
24,0.676,1.168961251071746,-0.1213,0.03696925510476768,0.8304793945644806,0.8181706666946411,0.8359331488609314,0.16882352530956268,0.0
25,0.691,1.1769117698354632,-0.122,0.03749766674666245,0.8312709701374209,0.8178357481956482,0.8359331488609314,0.17551180720329285,0.0
26,0.6968,1.181061526266895,-0.1212,0.04413967704075902,0.8325504525464589,0.8193803429603577,0.8359331488609314,0.1974659115076065,0.0
27,0.6921,1.1798752743577574,-0.1209,0.045437208525747556,0.8327209003500836,0.818121075630188,0.8359331488609314,0.2003033310174942,0.0
28,0.7032,1.1833126866135133,-0.1216,0.04580175905957427,0.8322680821566707,0.8163897395133972,0.8359331488609314,0.20615121722221375,0.0
29,0.7128,1.188553243186148,-0.1226,0.046904029453568925,0.832125974583455,0.8139702081680298,0.8359331488609314,0.22444774210453033,0.0
30,0.7015,1.1893301945797665,-0.1231,0.050234921872260176,0.8323227455906197,0.8138121962547302,0.8359331488609314,0.24768348038196564,0.0
31,0.7262,1.1906844707116169,-0.1213,0.047131304320188014,0.8275009799117404,0.8064454793930054,0.8359331488609314,0.26249974966049194,0.0
32,0.7698,1.1999722394418926,-0.1202,0.04528648348476266,0.8234400220019721,0.7989970445632935,0.8359331488609314,0.2594670355319977,0.0
33,0.7569,1.1961809438761555,-0.119,0.05057977046595268,0.8232420577638758,0.7966779470443726,0.8359331488609314,0.2944425940513611,0.0
34,0.744,1.1903016228869594,-0.1191,0.05117607623480954,0.825048453625745,0.8007200956344604,0.8359331488609314,0.30285170674324036,0.0
35,0.7215,1.1890380483172747,-0.1194,0.05841251093725316,0.8241969358380484,0.7941198348999023,0.8359331488609314,0.3328682482242584,0.0
36,0.721,1.188408421990493,-0.1185,0.05970136820380898,0.8208747582959105,0.7876293659210205,0.8359331488609314,0.34558558464050293,0.0
